arch_id,drivetrain,access,level,freq,work,managed,n,annual_miles,kwh_home,kwh_work,kwh_public_l2,kwh_dcfc,kwh_enroute,n_home,gas_miles,need_wheel
0,BEV,1,L1,daily,0,0,60,13101.102,3134.038,0.0,59.428,126.105,1296.157,306.267,0.0,3959.348
1,BEV,1,L1,daily,1,0,60,13135.821,2836.426,893.638,50.437,113.902,730.317,299.483,0.0,3977.459
2,BEV,1,L1,few_week,0,0,60,8758.817,2412.001,0.0,42.129,100.936,559.867,189.083,0.0,2650.938
3,BEV,1,L1,few_week,1,0,60,11435.636,1909.094,1216.52,54.6,102.774,698.983,174.133,0.0,3468.094
4,BEV,1,L1,weekly,0,0,60,7591.893,1852.881,0.0,39.468,87.642,683.826,124.983,0.0,2297.151
5,BEV,1,L1,weekly,1,0,60,8005.211,1031.931,1346.764,35.707,77.375,267.094,83.383,0.0,2422.368
6,BEV,1,L1,rare,0,0,60,6631.827,1777.166,0.0,39.926,87.88,434.464,115.233,0.0,2006.964
7,BEV,1,L1,rare,1,0,60,6565.685,535.573,1253.244,35.209,56.319,356.997,40.2,0.0,1987.934
8,BEV,1,L2,daily,0,0,60,12761.931,3789.814,0.0,44.826,87.485,374.295,276.333,0.0,3864.011
9,BEV,1,L2,daily,0,1,60,11058.978,3322.759,0.0,34.221,67.505,300.189,275.483,0.0,3346.807
10,BEV,1,L2,daily,1,0,60,12684.617,3351.621,421.41,45.125,86.811,366.171,276.933,0.0,3841.454
11,BEV,1,L2,daily,1,1,60,11829.495,3160.022,376.289,43.24,78.913,317.561,275.983,0.0,3574.688
12,BEV,1,L2,few_week,0,0,60,10366.805,2966.293,0.0,50.818,89.178,383.141,160.367,0.0,3142.442
13,BEV,1,L2,few_week,0,1,60,10870.348,3104.381,0.0,42.542,111.021,390.294,161.55,0.0,3287.554
14,BEV,1,L2,few_week,1,0,60,10336.261,2409.95,711.086,43.176,76.194,232.821,155.65,0.0,3126.243
15,BEV,1,L2,few_week,1,1,60,10990.206,2448.417,745.458,44.001,82.083,373.874,156.117,0.0,3326.724
16,BEV,1,L2,weekly,0,0,60,8873.69,2505.73,0.0,38.752,92.227,336.583,85.917,0.0,2684.175
17,BEV,1,L2,weekly,0,1,60,8097.454,2405.588,0.0,38.69,78.556,194.767,84.633,0.0,2449.008
18,BEV,1,L2,weekly,1,0,60,9651.758,1727.882,1109.408,40.895,77.107,280.283,73.817,0.0,2918.532
19,BEV,1,L2,weekly,1,1,60,8619.857,1579.777,996.935,35.665,73.548,210.855,72.0,0.0,2609.41
20,BEV,1,L2,rare,0,0,60,7411.949,2178.358,0.0,34.005,80.165,185.574,60.033,0.0,2241.485
21,BEV,1,L2,rare,0,1,60,5898.773,1767.375,0.0,31.146,66.093,111.052,49.417,0.0,1785.063
22,BEV,1,L2,rare,1,0,60,5746.082,819.486,1000.166,25.641,48.497,35.315,30.517,0.0,1739.466
23,BEV,1,L2,rare,1,1,60,6300.596,861.396,1089.736,27.418,56.722,76.655,30.833,0.0,1905.074
24,BEV,0,none,none,0,0,60,9769.737,0.0,0.0,755.805,1978.609,483.599,0.0,0.0,2955.255
25,BEV,0,none,none,1,0,60,10217.708,0.0,1586.286,376.179,1011.473,421.445,0.0,0.0,3087.374
26,PHEV,1,L1,daily,0,0,60,13054.79,2531.867,0.0,120.131,0.0,0.0,293.567,6448.89,4389.501
27,PHEV,1,L1,daily,1,0,60,10720.843,2252.748,406.386,87.743,0.0,0.0,290.617,3817.319,3604.825
28,PHEV,1,L1,few_week,0,0,60,9450.331,1413.286,0.0,95.43,0.0,0.0,152.75,5675.21,3180.596
29,PHEV,1,L1,few_week,1,0,60,9672.434,1257.653,575.441,87.268,0.0,0.0,153.05,4761.206,3252.542
30,PHEV,1,L1,weekly,0,0,60,8407.669,620.351,0.0,91.825,0.0,0.0,58.133,6598.704,2829.226
31,PHEV,1,L1,weekly,1,0,60,7116.093,493.821,701.458,69.561,0.0,0.0,56.4,3791.686,2393.385
32,PHEV,1,L1,rare,0,0,60,6445.247,210.364,0.0,74.906,0.0,0.0,18.35,5697.452,2165.669
33,PHEV,1,L1,rare,1,0,60,5894.379,159.566,774.76,56.355,0.0,0.0,18.117,3235.885,1983.83
34,PHEV,1,L2,daily,0,0,60,12600.026,2588.104,0.0,106.078,0.0,0.0,275.833,5361.034,4234.254
35,PHEV,1,L2,daily,0,1,60,13006.742,2621.94,0.0,112.425,0.0,0.0,279.5,5656.744,4364.846
36,PHEV,1,L2,daily,1,0,60,12588.279,2573.403,349.257,104.606,0.0,0.0,277.517,4458.017,4237.66
37,PHEV,1,L2,daily,1,1,60,12245.008,2575.89,349.529,98.586,0.0,0.0,277.967,4124.004,4119.28
38,PHEV,1,L2,few_week,0,0,60,10083.782,1594.831,0.0,98.795,0.0,0.0,150.633,5511.366,3383.109
39,PHEV,1,L2,few_week,0,1,60,8823.615,1570.392,0.0,83.711,0.0,0.0,151.017,4368.371,2968.001
40,PHEV,1,L2,few_week,1,0,60,10861.113,1471.887,532.646,94.736,0.0,0.0,148.367,5204.971,3649.062
41,PHEV,1,L2,few_week,1,1,60,9697.779,1439.274,535.639,90.564,0.0,0.0,148.167,4141.836,3259.549
42,PHEV,1,L2,weekly,0,0,60,7152.823,697.21,0.0,79.367,0.0,0.0,55.733,5043.811,2403.042
43,PHEV,1,L2,weekly,0,1,60,7857.336,721.821,0.0,86.961,0.0,0.0,56.533,5654.723,2644.033
44,PHEV,1,L2,weekly,1,0,60,7315.158,571.459,706.806,66.568,0.0,0.0,55.65,3683.401,2459.611
45,PHEV,1,L2,weekly,1,1,60,7925.896,568.446,711.852,75.06,0.0,0.0,55.317,4259.454,2661.79
46,PHEV,1,L2,rare,0,0,60,6066.379,252.592,0.0,73.132,0.0,0.0,18.467,5158.602,2038.405
47,PHEV,1,L2,rare,0,1,60,6054.342,249.748,0.0,76.472,0.0,0.0,18.017,5149.387,2031.0
48,PHEV,1,L2,rare,1,0,60,5441.857,184.793,732.763,52.118,0.0,0.0,17.967,2811.613,1827.379
49,PHEV,1,L2,rare,1,1,60,5867.338,190.956,752.4,69.809,0.0,0.0,18.017,3115.633,1974.252
50,PHEV,0,none,none,0,0,60,10456.458,0.0,0.0,1513.67,0.0,0.0,0.0,6370.63,3515.838
51,PHEV,0,none,none,1,0,60,9673.996,0.0,689.226,1204.69,0.0,0.0,0.0,4563.679,3252.123
