fuel_type,vpic_class,evny_class,vehicles
DIESEL,HEV,ICE,2
DIESEL,HEV,,2
DIESEL,ICE,ICE,1421
DIESEL,ICE,,328
DIESEL,UNKNOWN,ICE,33
DIESEL,UNKNOWN,,7
DIESEL,,UNKNOWN,16
ELECTRIC,BEV,BEV,1054
ELECTRIC,BEV,ICE,10
ELECTRIC,BEV,,767
ELECTRIC,HEV,ICE,4
ELECTRIC,ICE,BEV,2
ELECTRIC,ICE,,7
ELECTRIC,PHEV,PHEV,4
ELECTRIC,UNKNOWN,ICE,1
FLEX,HEV,ICE,1
FLEX,HEV,,2
FLEX,ICE,ICE,100
FLEX,PHEV,PHEV,2
FLEX,PHEV,,1
GAS,HEV,ICE,2351
GAS,HEV,PHEV,4
GAS,HEV,,2033
GAS,ICE,ICE,36093
GAS,ICE,,7359
GAS,PHEV,BEV,2
GAS,PHEV,ICE,2
GAS,PHEV,PHEV,983
GAS,PHEV,,395
GAS,UNKNOWN,ICE,564
GAS,UNKNOWN,,26
GAS,,UNKNOWN,3
NONE,HEV,ICE,6
NONE,HEV,,10
NONE,ICE,ICE,108
NONE,ICE,,20
NONE,PHEV,PHEV,7
NONE,PHEV,,2
NONE,UNKNOWN,ICE,10
NONE,,UNKNOWN,1
OTHER,HEV,ICE,2
OTHER,PHEV,PHEV,1
OTHER,PHEV,,1
PROPANE,ICE,ICE,16
PROPANE,ICE,,16
PROPANE,,UNKNOWN,1
