county,ldv,bev,phev,unknown,pas_ldv,pas_ev,ev_share_ldv,phev_share_of_ev,rank_ev_share_among_ny_counties
OUT-OF-STATE,151205,6307,1942,76,34902,1184,0.0546,0.2354,
NEW YORK,228448,8156,4148,146,198116,9324,0.0539,0.3371,1.0
TOMPKINS,59554,1793,1400,3,52639,2936,0.0536,0.4385,2.0
WESTCHESTER,667269,22532,10696,316,610182,30550,0.0498,0.3219,3.0
NASSAU,998912,34433,12734,432,907161,42675,0.0472,0.27,4.0
KINGS,501168,14863,5663,300,436824,13642,0.041,0.2759,5.0
QUEENS,787008,20843,10699,261,671546,19296,0.0401,0.3392,6.0
ROCKLAND,220420,5763,2398,110,201050,7468,0.037,0.2938,7.0
RICHMOND,281262,6541,3272,100,259010,8691,0.0349,0.3334,8.0
SUFFOLK,1262469,26966,15579,474,1134819,39011,0.0337,0.3662,9.0
ALBANY,222617,3986,3177,57,187514,5826,0.0322,0.4435,10.0
MONROE,538305,9907,6532,261,481845,15491,0.0305,0.3973,11.0
ULSTER,148250,2747,1732,21,131723,4083,0.0302,0.3867,12.0
SARATOGA,197418,3337,2520,67,173590,5402,0.0297,0.4303,13.0
COLUMBIA,53356,859,618,14,46481,1379,0.0277,0.4184,14.0
PUTNAM,88307,1581,832,40,79379,2244,0.0273,0.3448,15.0
DUTCHESS,239685,4072,2276,52,217040,5918,0.0265,0.3585,16.0
ONTARIO,91098,1465,928,19,78246,2206,0.0263,0.3878,17.0
ONONDAGA,328384,4384,3674,60,288837,7447,0.0245,0.4559,18.0
ERIE,656590,8323,7324,123,571878,12313,0.0238,0.4681,19.0
SCHENECTADY,122622,1604,1306,24,110120,2594,0.0237,0.4488,20.0
ORANGE,293005,4655,2143,73,263863,6217,0.0232,0.3152,21.0
BRONX,254764,3970,1617,76,221092,3688,0.0219,0.2894,22.0
ESSEX,29735,337,292,3,24296,555,0.0212,0.4642,23.0
RENSSELAER,118046,1380,1018,15,104029,2188,0.0203,0.4245,24.0
WARREN,55823,580,508,12,47509,972,0.0195,0.4669,25.0
MADISON,51489,498,467,15,43234,885,0.0187,0.4839,26.0
GREENE,41373,415,308,9,35968,668,0.0175,0.426,27.0
BROOME,135650,1189,1162,9,120375,2131,0.0173,0.4943,28.0
ONEIDA,159513,1317,1439,34,139279,2363,0.0173,0.5221,29.0
SULLIVAN,61190,626,399,26,53559,911,0.0168,0.3893,30.0
WAYNE,75772,712,510,12,65065,1157,0.0161,0.4173,31.0
OTSEGO,44212,361,342,6,37573,645,0.0159,0.4865,32.0
NIAGARA,155963,1420,985,30,137345,2206,0.0154,0.4096,33.0
YATES,17680,123,136,3,14344,235,0.0146,0.5251,34.0
CLINTON,60474,469,414,12,51577,785,0.0146,0.4689,35.0
SCHUYLER,15122,100,120,5,12734,199,0.0145,0.5455,36.0
CORTLAND,32228,208,235,3,27513,412,0.0137,0.5305,37.0
LIVINGSTON,48561,328,311,8,41348,586,0.0132,0.4867,38.0
JEFFERSON,76838,426,585,8,65417,921,0.0132,0.5786,39.0
HAMILTON,4762,21,41,1,3810,60,0.013,0.6613,40.0
MONTGOMERY,38898,268,230,6,33713,417,0.0128,0.4618,41.0
CAYUGA,55540,364,344,9,47255,657,0.0127,0.4859,42.0
SENECA,24214,162,140,5,20517,280,0.0125,0.4636,43.0
FRANKLIN,35295,197,237,7,29700,408,0.0123,0.5461,44.0
OSWEGO,88532,511,574,11,76035,1014,0.0123,0.529,45.0
CHEMUNG,59150,372,349,7,52389,669,0.0122,0.484,46.0
GENESEE,45254,266,285,4,38409,520,0.0122,0.5172,47.0
ST LAWRENCE,73041,362,504,14,61688,799,0.0119,0.582,48.0
DELAWARE,36738,215,217,4,30866,390,0.0118,0.5023,49.0
FULTON,39879,231,228,4,34824,421,0.0115,0.4967,50.0
WASHINGTON,49834,305,267,9,42018,528,0.0115,0.4668,51.0
SCHOHARIE,26344,146,148,1,22127,265,0.0112,0.5034,52.0
STEUBEN,72463,352,419,7,62112,717,0.0106,0.5435,53.0
TIOGA,38210,196,203,8,33203,373,0.0104,0.5088,54.0
CHAUTAUQUA,90058,467,469,5,77830,856,0.0104,0.5011,55.0
HERKIMER,44739,197,213,12,38031,378,0.0092,0.5195,56.0
ORLEANS,29616,151,113,3,25371,241,0.0089,0.428,57.0
CHENANGO,38439,187,155,2,32895,320,0.0089,0.4532,58.0
WYOMING,30888,117,120,0,25268,219,0.0077,0.5063,59.0
CATTARAUGUS,55830,186,194,8,46625,333,0.0068,0.5105,60.0
ALLEGANY,32806,116,100,9,27449,200,0.0066,0.463,61.0
LEWIS,21024,65,66,1,16845,121,0.0062,0.5038,62.0
