drivetrain,Make,Model,vehicles
PHEV,TOYOTA,RAV4 Prime (PHEV),321
PHEV,TOYOTA,Prius Prime (PHEV),289
BEV,TESLA,Model Y,217
BEV,CHEVROLET,Bolt EV,176
BEV,TESLA,Model 3,165
BEV,NISSAN,Leaf,127
PHEV,CHEVROLET,Volt,105
BEV,HYUNDAI,Ioniq 5,94
BEV,CHEVROLET,Bolt EUV,85
BEV,FORD,F-150,77
BEV,VOLKSWAGEN,ID.4,77
PHEV,CHRYSLER,Pacifica,67
PHEV,VOLVO,XC60,65
BEV,FORD,Mustang Mach-E,64
BEV,SUBARU,Solterra,60
PHEV,HYUNDAI,Ioniq,49
BEV,KIA,EV6,48
BEV,HONDA,Prologue,47
BEV,CHEVROLET,Equinox,47
PHEV,KIA,Sportage,42
BEV,KIA,Niro,41
PHEV,HONDA,Clarity,40
PHEV,VOLVO,XC90,36
PHEV,TOYOTA,Prius,35
BEV,HYUNDAI,Kona,34
PHEV,SUBARU,Crosstrek,30
PHEV,JEEP,Grand Cherokee,29
PHEV,JEEP,Wrangler,29
PHEV,KIA,Niro,28
BEV,VOLVO,XC40,27
PHEV,HYUNDAI,Tucson,27
BEV,FORD,Transit,24
BEV,TESLA,Model S,22
PHEV,FORD,C-Max,20
PHEV,HYUNDAI,Santa Fe,20
PHEV,MITSUBISHI,Outlander,19
PHEV,FORD,Escape,18
PHEV,KIA,Sorento,17
BEV,RIVIAN,R1T,17
BEV,KIA,EV9,17
BEV,VOLVO,C40,17
BEV,TOYOTA,bZ,16
BEV,NISSAN,Ariya MPV,16
BEV,HYUNDAI,Ioniq 6,16
BEV,TESLA,Model X,15
BEV,VOLKSWAGEN,e-Golf,15
PHEV,AUDI,Q5 e,15
BEV,RIVIAN,R1S,14
BEV,TOYOTA,bZ4X,14
BEV,BMW,i4,13
BEV,SUBARU,Trailseeker,13
BEV,CHEVROLET,Silverado,13
BEV,AUDI,Q4,12
BEV,NISSAN,Ariya Hatchback,12
PHEV,MAZDA,CX-90,11
PHEV,BMW,X5,10
BEV,VOLVO,EX30,10
BEV,HYUNDAI,Ioniq,10
BEV,CHEVROLET,Bolt,9
PHEV,BMW,i3,8
PHEV,LEXUS,NX,8
BEV,POLARIS,GEM,7
BEV,SUBARU,Uncharted,7
BEV,BMW,iX,7
BEV,CADILLAC,Lyriq,7
PHEV,BMW,530e,7
BEV,CHEVROLET,Blazer,6
PHEV,VOLVO,V60,6
BEV,GILLIG,Low Floor Bus,6
BEV,AUDI,e-tron,5
PHEV,AUDI,Q5,5
BEV,MINI,Hardtop,5
PHEV,MERCEDES-BENZ,GLC-Class,4
PHEV,BMW,550e,4
BEV,HYUNDAI,Ioniq 9,4
BEV,DODGE,Charger,4
BEV,KIA,Soul,4
BEV,FREIGHTLINER,EB2 106,4
BEV,TESLA,Cybertruck,4
BEV,MINI,Countryman,4
BEV,ACURA,ZDX,3
BEV,CADILLAC,Optiq,3
PHEV,DODGE,Hornet,3
PHEV,PORSCHE,Cayenne,3
PHEV,VOLVO,S60,3
PHEV,AUDI,A3,3
BEV,PORSCHE,Taycan,3
BEV,GMC,Sierra,3
BEV,FIAT,500e,3
BEV,PORSCHE,Macan,3
PHEV,BMW,330e,3
BEV,TOYOTA,C-HR,3
PHEV,FORD,Fusion,3
BEV,POLESTAR,Polestar 3,2
BEV,AUDI,A6,2
BEV,MERCEDES-BENZ,EQE-Class SUV,2
BEV,JEEP,Wagoneer S,2
BEV,INTERNATIONAL,MV60E,2
BEV,CHEVROLET,Spark,2
BEV,CLUB CAR,Low Speed Vehicle / Class A Club Car,2
BEV,GMC,Hummer EV Pickup,2
BEV,AUDI,Q6,2
BEV,MERCEDES-BENZ,EQB-Class,2
PHEV,MAZDA,CX-70,2
PHEV,LEXUS,RX,2
PHEV,LINCOLN,Corsair,2
BEV,VESPA,Elettrica,2
PHEV,MINI,Countryman,2
BEV,STARK FUTURE,Varg 1,2
BEV,TOYOTA,RAV4,2
BEV,POLESTAR,Polestar 2,2
BEV,CAN-AM,Outlander,1
BEV,BINTELLI,Sport ,1
BEV,CADILLAC,Vistiq,1
BEV,BINTELLI,Beyond,1
BEV,AUDI,SQ6,1
BEV,AUDI,RS e-tron GT,1
BEV,BMW,i5,1
BEV,UBCO,2x2 ADV,1
BEV,TOYOTA,bZ Woodland,1
BEV,SMART,Fortwo Electric Drive,1
BEV,RAM,ProMaster 3500,1
BEV,MERCEDES-BENZ,eSprinter,1
BEV,LAND,DISTRICT,1
BEV,LEXUS,RZ,1
BEV,CLUB CAR,Villager 2+2 LSV,1
BEV,HDK ELECTRIC VEHICLES,HDK EV,1
BEV,GENESIS,GV70,1
BEV,GEM WAEV,GEM,1
BEV,FORD,Focus,1
BEV,JAGUAR,I-PACE,1
BEV,LUCID,Air,1
BEV,ZERO MOTORCYCLES,DS/DSP,1
PHEV,AUDI,A7 e,1
PHEV,CADILLAC,ELR,1
PHEV,CADILLAC,CT6,1
PHEV,BMW,X3,1
BEV,WINMAX/SOLAR,E100,1
BEV,ZERO MOTORCYCLES,DSR Black Forest,1
BEV,ZERO MOTORCYCLES,S,1
BEV,ZERO MOTORCYCLES,"S, SR, SP",1
BEV,VOLVO,EX30 CC,1
BEV,VOLVO,EX90,1
BEV,VOLVO,EX40,1
PHEV,LAMBORGHINI,Revuelto,1
PHEV,LAND ROVER,Range Rover,1
PHEV,PORSCHE,Panamera,1
PHEV,MERCEDES-BENZ,AMG GT,1
PHEV,MERCEDES-BENZ,GLE-Class,1
PHEV,MERCEDES-BENZ,SL-Class,1
