zip,class_group,is_ldv,drivetrain,vehicles
01604,PAS,True,ICE,1
01970,PAS,True,ICE,1
06905,PAS,True,ICE,1
10016,PAS,True,ICE,1
10031,PAS,True,ICE,1
10040,PAS,True,ICE,1
10306,PAS,True,ICE,1
10450,PAS,True,ICE,1
10473,PAS,True,ICE,1
10502,PAS,True,HEV,1
10512,PAS,True,ICE,1
10514,PAS,True,ICE,1
10520,PAS,True,ICE,1
10541,PAS,True,ICE,1
10550,PAS,True,ICE,1
10552,PAS,True,ICE,2
10570,PAS,True,ICE,1
10580,PAS,True,PHEV,1
10598,PAS,True,ICE,1
10930,PAS,True,ICE,1
10986,PAS,True,ICE,1
10990,OTHER,False,ICE,1
11003,PAS,True,ICE,1
11201,PAS,True,ICE,1
11203,PAS,True,ICE,1
11205,PAS,True,ICE,1
11206,PAS,True,ICE,1
11207,PAS,True,ICE,1
11212,PAS,True,ICE,2
11217,PAS,True,ICE,1
11225,PAS,True,ICE,1
11226,PAS,True,ICE,1
11232,PAS,True,ICE,1
11233,PAS,True,ICE,1
11418,PAS,True,ICE,2
11434,PAS,True,ICE,1
11485,PAS,True,ICE,1
11575,PAS,True,ICE,1
11692,PAS,True,ICE,1
11701,PAS,True,ICE,1
11726,PAS,True,ICE,1
11766,PAS,True,ICE,2
11792,PAS,True,ICE,1
11967,COM,True,ICE,1
12019,OTHER,False,ICE,1
12019,PAS,True,ICE,1
12065,COM,False,ICE,5
12065,COM,True,ICE,3
12144,OTHER,False,ICE,9
12144,OTHER,True,ICE,2
12201,PAS,True,ICE,2
12207,OTHER,False,ICE,20
12207,OTHER,True,BEV,1
12207,OTHER,True,HEV,1
12207,OTHER,True,ICE,23
12207,OTHER,True,PHEV,4
12232,OTHER,False,ICE,17
12232,OTHER,True,ICE,3
12233,OTHER,False,ICE,4
12235,OTHER,True,HEV,2
12238,OTHER,False,ICE,1
12401,PAS,True,HEV,1
12443,PAS,True,ICE,1
12449,COM,False,ICE,41
12449,COM,True,BEV,6
12449,COM,True,ICE,503
12449,OTHER,False,ICE,18
12449,OTHER,False,UNKNOWN,1
12449,PAS,True,BEV,35
12449,PAS,True,ICE,112
12449,PAS,True,PHEV,15
12498,PAS,True,ICE,1
12561,PAS,True,ICE,1
12566,PAS,True,ICE,1
12866,PAS,True,HEV,1
12866,PAS,True,ICE,1
13021,COM,True,ICE,1
13021,PAS,True,ICE,3
13026,PAS,True,ICE,2
13040,PAS,True,ICE,3
13045,COM,False,ICE,2
13045,COM,True,ICE,20
13045,OTHER,False,ICE,47
13045,OTHER,False,UNKNOWN,1
13045,OTHER,True,BEV,1
13045,OTHER,True,HEV,1
13045,OTHER,True,ICE,11
13045,PAS,False,ICE,2
13045,PAS,True,BEV,1
13045,PAS,True,HEV,5
13045,PAS,True,ICE,215
13045,PAS,True,PHEV,2
13053,COM,False,ICE,14
13053,COM,True,HEV,2
13053,COM,True,ICE,181
13053,OTHER,False,BEV,2
13053,OTHER,False,ICE,279
13053,OTHER,False,UNKNOWN,2
13053,OTHER,True,BEV,3
13053,OTHER,True,HEV,5
13053,OTHER,True,ICE,122
13053,OTHER,True,PHEV,3
13053,PAS,False,ICE,5
13053,PAS,True,BEV,36
13053,PAS,True,HEV,166
13053,PAS,True,ICE,2309
13053,PAS,True,PHEV,32
13057,PAS,True,ICE,1
13062,COM,True,ICE,4
13062,OTHER,False,ICE,2
13062,OTHER,True,ICE,7
13062,PAS,False,ICE,1
13062,PAS,True,BEV,5
13062,PAS,True,HEV,5
13062,PAS,True,ICE,110
13062,PAS,True,PHEV,1
13063,PAS,True,ICE,2
