county,year,ev_type,transaction_type,rebates,rebate_usd,data_through
ALBANY,2017,BEV,Lease,74,130300,2026-07-31
ALBANY,2017,BEV,Purchase,13,23900,2026-07-31
ALBANY,2017,PHEV,Lease,51,60300,2026-07-31
ALBANY,2017,PHEV,Purchase,78,91200,2026-07-31
ALBANY,2018,BEV,Lease,14,26800,2026-07-31
ALBANY,2018,BEV,Purchase,34,59000,2026-07-31
ALBANY,2018,PHEV,Lease,71,87700,2026-07-31
ALBANY,2018,PHEV,Purchase,113,139900,2026-07-31
ALBANY,2019,BEV,Lease,23,43000,2026-07-31
ALBANY,2019,BEV,Purchase,91,167000,2026-07-31
ALBANY,2019,PHEV,Lease,26,34600,2026-07-31
ALBANY,2019,PHEV,Purchase,81,91500,2026-07-31
ALBANY,2020,BEV,Lease,46,83000,2026-07-31
ALBANY,2020,BEV,Purchase,146,260500,2026-07-31
ALBANY,2020,PHEV,Lease,45,48900,2026-07-31
ALBANY,2020,PHEV,Purchase,94,105200,2026-07-31
ALBANY,2021,BEV,Lease,67,127500,2026-07-31
ALBANY,2021,BEV,Purchase,185,278700,2026-07-31
ALBANY,2021,PHEV,Lease,75,76000,2026-07-31
ALBANY,2021,PHEV,Purchase,238,249800,2026-07-31
ALBANY,2022,BEV,Lease,51,59500,2026-07-31
ALBANY,2022,BEV,Purchase,350,264000,2026-07-31
ALBANY,2022,PHEV,Lease,27,15500,2026-07-31
ALBANY,2022,PHEV,Purchase,189,140500,2026-07-31
ALBANY,2023,BEV,Lease,125,119000,2026-07-31
ALBANY,2023,BEV,Purchase,478,404000,2026-07-31
ALBANY,2023,PHEV,Lease,143,89500,2026-07-31
ALBANY,2023,PHEV,Purchase,277,195000,2026-07-31
ALBANY,2024,BEV,Lease,302,254500,2026-07-31
ALBANY,2024,BEV,Purchase,276,169500,2026-07-31
ALBANY,2024,PHEV,Lease,202,103000,2026-07-31
ALBANY,2024,PHEV,Purchase,237,118500,2026-07-31
ALBANY,2025,BEV,Lease,366,346500,2026-07-31
ALBANY,2025,BEV,Purchase,262,219500,2026-07-31
ALBANY,2025,PHEV,Lease,290,168000,2026-07-31
ALBANY,2025,PHEV,Purchase,195,104500,2026-07-31
ALBANY,2026,BEV,Lease,75,100500,2026-07-31
ALBANY,2026,BEV,Purchase,183,234000,2026-07-31
ALBANY,2026,PHEV,Lease,43,22500,2026-07-31
ALBANY,2026,PHEV,Purchase,131,91000,2026-07-31
ALLEGANY,2017,PHEV,Lease,3,4500,2026-07-31
ALLEGANY,2017,PHEV,Purchase,6,7200,2026-07-31
ALLEGANY,2018,BEV,Purchase,1,2000,2026-07-31
ALLEGANY,2018,PHEV,Lease,1,1100,2026-07-31
ALLEGANY,2018,PHEV,Purchase,6,7800,2026-07-31
ALLEGANY,2019,BEV,Purchase,2,2500,2026-07-31
ALLEGANY,2019,PHEV,Lease,1,1100,2026-07-31
ALLEGANY,2019,PHEV,Purchase,2,2800,2026-07-31
ALLEGANY,2020,BEV,Purchase,1,2000,2026-07-31
ALLEGANY,2020,PHEV,Lease,1,1100,2026-07-31
ALLEGANY,2020,PHEV,Purchase,7,7100,2026-07-31
ALLEGANY,2021,BEV,Lease,2,4000,2026-07-31
ALLEGANY,2021,BEV,Purchase,4,6500,2026-07-31
ALLEGANY,2021,PHEV,Purchase,12,15800,2026-07-31
ALLEGANY,2022,BEV,Lease,1,2000,2026-07-31
ALLEGANY,2022,BEV,Purchase,13,15500,2026-07-31
ALLEGANY,2022,PHEV,Lease,4,2500,2026-07-31
ALLEGANY,2022,PHEV,Purchase,5,4000,2026-07-31
ALLEGANY,2023,BEV,Lease,1,500,2026-07-31
ALLEGANY,2023,BEV,Purchase,8,5500,2026-07-31
ALLEGANY,2023,PHEV,Lease,3,2500,2026-07-31
ALLEGANY,2023,PHEV,Purchase,6,5000,2026-07-31
ALLEGANY,2024,BEV,Lease,5,2500,2026-07-31
ALLEGANY,2024,BEV,Purchase,19,15500,2026-07-31
ALLEGANY,2024,PHEV,Lease,4,2000,2026-07-31
ALLEGANY,2024,PHEV,Purchase,5,3000,2026-07-31
ALLEGANY,2025,BEV,Lease,6,9000,2026-07-31
ALLEGANY,2025,BEV,Purchase,10,11000,2026-07-31
ALLEGANY,2025,PHEV,Lease,5,2500,2026-07-31
ALLEGANY,2025,PHEV,Purchase,6,3500,2026-07-31
ALLEGANY,2026,BEV,Lease,3,4500,2026-07-31
ALLEGANY,2026,BEV,Purchase,3,3000,2026-07-31
ALLEGANY,2026,PHEV,Purchase,2,1000,2026-07-31
BRONX,2017,BEV,Lease,9,15600,2026-07-31
BRONX,2017,BEV,Purchase,3,2700,2026-07-31
BRONX,2017,PHEV,Lease,14,13600,2026-07-31
BRONX,2017,PHEV,Purchase,8,8800,2026-07-31
BRONX,2018,BEV,Lease,9,14700,2026-07-31
BRONX,2018,BEV,Purchase,11,16000,2026-07-31
BRONX,2018,PHEV,Lease,34,48800,2026-07-31
BRONX,2018,PHEV,Purchase,7,8300,2026-07-31
BRONX,2019,BEV,Lease,5,7000,2026-07-31
BRONX,2019,BEV,Purchase,51,96000,2026-07-31
BRONX,2019,PHEV,Lease,8,12400,2026-07-31
BRONX,2019,PHEV,Purchase,9,9300,2026-07-31
BRONX,2020,BEV,Lease,33,54000,2026-07-31
BRONX,2020,BEV,Purchase,94,173000,2026-07-31
BRONX,2020,PHEV,Lease,7,7700,2026-07-31
BRONX,2020,PHEV,Purchase,10,12200,2026-07-31
BRONX,2021,BEV,Lease,32,55500,2026-07-31
BRONX,2021,BEV,Purchase,174,270000,2026-07-31
BRONX,2021,PHEV,Lease,43,47000,2026-07-31
BRONX,2021,PHEV,Purchase,44,48100,2026-07-31
BRONX,2022,BEV,Lease,72,55500,2026-07-31
BRONX,2022,BEV,Purchase,272,162500,2026-07-31
BRONX,2022,PHEV,Lease,39,23500,2026-07-31
BRONX,2022,PHEV,Purchase,44,34000,2026-07-31
BRONX,2023,BEV,Lease,110,106000,2026-07-31
BRONX,2023,BEV,Purchase,1130,1012500,2026-07-31
BRONX,2023,PHEV,Lease,207,119000,2026-07-31
BRONX,2023,PHEV,Purchase,40,34500,2026-07-31
BRONX,2024,BEV,Lease,288,207500,2026-07-31
BRONX,2024,BEV,Purchase,331,221000,2026-07-31
BRONX,2024,PHEV,Lease,231,119500,2026-07-31
BRONX,2024,PHEV,Purchase,30,15000,2026-07-31
BRONX,2025,BEV,Lease,347,261000,2026-07-31
BRONX,2025,BEV,Purchase,189,114500,2026-07-31
BRONX,2025,PHEV,Lease,144,74500,2026-07-31
BRONX,2025,PHEV,Purchase,23,13500,2026-07-31
BRONX,2026,BEV,Lease,82,95000,2026-07-31
BRONX,2026,BEV,Purchase,122,131500,2026-07-31
BRONX,2026,PHEV,Lease,14,7500,2026-07-31
BRONX,2026,PHEV,Purchase,6,4500,2026-07-31
BROOME,2017,BEV,Lease,1,1700,2026-07-31
BROOME,2017,BEV,Purchase,5,10000,2026-07-31
BROOME,2017,PHEV,Lease,3,3300,2026-07-31
BROOME,2017,PHEV,Purchase,38,42400,2026-07-31
BROOME,2018,BEV,Lease,2,3400,2026-07-31
BROOME,2018,BEV,Purchase,3,4500,2026-07-31
BROOME,2018,PHEV,Lease,26,38200,2026-07-31
BROOME,2018,PHEV,Purchase,56,67000,2026-07-31
BROOME,2019,BEV,Lease,6,12000,2026-07-31
BROOME,2019,BEV,Purchase,17,31000,2026-07-31
BROOME,2019,PHEV,Lease,4,5600,2026-07-31
BROOME,2019,PHEV,Purchase,23,24700,2026-07-31
BROOME,2020,BEV,Lease,7,11000,2026-07-31
BROOME,2020,BEV,Purchase,37,69500,2026-07-31
BROOME,2020,PHEV,Lease,14,14800,2026-07-31
BROOME,2020,PHEV,Purchase,41,46300,2026-07-31
BROOME,2021,BEV,Lease,11,21000,2026-07-31
BROOME,2021,BEV,Purchase,43,67500,2026-07-31
BROOME,2021,PHEV,Lease,82,87300,2026-07-31
BROOME,2021,PHEV,Purchase,142,149500,2026-07-31
BROOME,2022,BEV,Lease,8,11500,2026-07-31
BROOME,2022,BEV,Purchase,95,71000,2026-07-31
BROOME,2022,PHEV,Lease,19,11500,2026-07-31
BROOME,2022,PHEV,Purchase,101,71000,2026-07-31
BROOME,2023,BEV,Lease,28,30500,2026-07-31
BROOME,2023,BEV,Purchase,112,102500,2026-07-31
BROOME,2023,PHEV,Lease,94,65500,2026-07-31
BROOME,2023,PHEV,Purchase,68,52000,2026-07-31
BROOME,2024,BEV,Lease,74,55000,2026-07-31
BROOME,2024,BEV,Purchase,71,50000,2026-07-31
BROOME,2024,PHEV,Lease,92,46000,2026-07-31
BROOME,2024,PHEV,Purchase,52,26000,2026-07-31
BROOME,2025,BEV,Lease,97,96500,2026-07-31
BROOME,2025,BEV,Purchase,89,65500,2026-07-31
BROOME,2025,PHEV,Lease,65,37500,2026-07-31
BROOME,2025,PHEV,Purchase,30,17000,2026-07-31
BROOME,2026,BEV,Lease,28,38000,2026-07-31
BROOME,2026,BEV,Purchase,66,81000,2026-07-31
BROOME,2026,PHEV,Lease,7,5500,2026-07-31
BROOME,2026,PHEV,Purchase,16,12000,2026-07-31
CATTARAUGUS,2017,BEV,Lease,1,2000,2026-07-31
CATTARAUGUS,2017,BEV,Purchase,1,2000,2026-07-31
CATTARAUGUS,2017,PHEV,Lease,3,3300,2026-07-31
CATTARAUGUS,2017,PHEV,Purchase,8,9400,2026-07-31
CATTARAUGUS,2018,PHEV,Lease,1,1100,2026-07-31
CATTARAUGUS,2018,PHEV,Purchase,7,9500,2026-07-31
CATTARAUGUS,2019,BEV,Lease,2,4000,2026-07-31
CATTARAUGUS,2019,BEV,Purchase,2,4000,2026-07-31
CATTARAUGUS,2019,PHEV,Lease,3,5100,2026-07-31
CATTARAUGUS,2019,PHEV,Purchase,3,3900,2026-07-31
CATTARAUGUS,2020,BEV,Purchase,4,8000,2026-07-31
CATTARAUGUS,2020,PHEV,Lease,1,1100,2026-07-31
CATTARAUGUS,2020,PHEV,Purchase,7,7100,2026-07-31
CATTARAUGUS,2021,BEV,Lease,1,1000,2026-07-31
CATTARAUGUS,2021,BEV,Purchase,5,8500,2026-07-31
CATTARAUGUS,2021,PHEV,Lease,11,11300,2026-07-31
CATTARAUGUS,2021,PHEV,Purchase,18,18800,2026-07-31
CATTARAUGUS,2022,BEV,Purchase,16,9500,2026-07-31
CATTARAUGUS,2022,PHEV,Lease,2,1000,2026-07-31
CATTARAUGUS,2022,PHEV,Purchase,17,13500,2026-07-31
CATTARAUGUS,2023,BEV,Lease,5,2500,2026-07-31
CATTARAUGUS,2023,BEV,Purchase,12,13500,2026-07-31
CATTARAUGUS,2023,PHEV,Lease,12,6000,2026-07-31
CATTARAUGUS,2023,PHEV,Purchase,6,4500,2026-07-31
CATTARAUGUS,2024,BEV,Lease,6,7500,2026-07-31
CATTARAUGUS,2024,BEV,Purchase,9,9000,2026-07-31
CATTARAUGUS,2024,PHEV,Lease,8,4000,2026-07-31
CATTARAUGUS,2024,PHEV,Purchase,4,2000,2026-07-31
CATTARAUGUS,2025,BEV,Lease,13,17000,2026-07-31
CATTARAUGUS,2025,BEV,Purchase,14,14500,2026-07-31
