zip,year,ev_type,rebates,data_through
06390,2022,BEV,1,2026-07-31
06390,2024,BEV,1,2026-07-31
10001,2017,BEV,1,2026-07-31
10001,2018,BEV,6,2026-07-31
10001,2018,PHEV,2,2026-07-31
10001,2019,BEV,5,2026-07-31
10001,2020,BEV,28,2026-07-31
10001,2021,BEV,16,2026-07-31
10001,2021,PHEV,5,2026-07-31
10001,2022,BEV,26,2026-07-31
10001,2022,PHEV,5,2026-07-31
10001,2023,BEV,28,2026-07-31
10001,2023,PHEV,7,2026-07-31
10001,2024,BEV,19,2026-07-31
10001,2024,PHEV,5,2026-07-31
10001,2025,BEV,19,2026-07-31
10001,2025,PHEV,2,2026-07-31
10001,2026,BEV,13,2026-07-31
10001,2026,PHEV,1,2026-07-31
10002,2017,PHEV,2,2026-07-31
10002,2018,BEV,1,2026-07-31
10002,2018,PHEV,4,2026-07-31
10002,2019,BEV,8,2026-07-31
10002,2019,PHEV,5,2026-07-31
10002,2020,BEV,28,2026-07-31
10002,2020,PHEV,9,2026-07-31
10002,2021,BEV,15,2026-07-31
10002,2021,PHEV,10,2026-07-31
10002,2022,BEV,29,2026-07-31
10002,2022,PHEV,4,2026-07-31
10002,2023,BEV,66,2026-07-31
10002,2023,PHEV,8,2026-07-31
10002,2024,BEV,41,2026-07-31
10002,2024,PHEV,12,2026-07-31
10002,2025,BEV,41,2026-07-31
10002,2025,PHEV,8,2026-07-31
10002,2026,BEV,14,2026-07-31
10002,2026,PHEV,3,2026-07-31
10003,2017,BEV,4,2026-07-31
10003,2017,PHEV,4,2026-07-31
10003,2018,BEV,3,2026-07-31
10003,2018,PHEV,4,2026-07-31
10003,2019,BEV,13,2026-07-31
10003,2019,PHEV,3,2026-07-31
10003,2020,BEV,42,2026-07-31
10003,2020,PHEV,4,2026-07-31
10003,2021,BEV,22,2026-07-31
10003,2021,PHEV,11,2026-07-31
10003,2022,BEV,34,2026-07-31
10003,2022,PHEV,7,2026-07-31
10003,2023,BEV,29,2026-07-31
10003,2023,PHEV,9,2026-07-31
10003,2024,BEV,17,2026-07-31
10003,2024,PHEV,10,2026-07-31
10003,2025,BEV,11,2026-07-31
10003,2025,PHEV,5,2026-07-31
10003,2026,BEV,11,2026-07-31
10003,2026,PHEV,3,2026-07-31
10004,2018,BEV,2,2026-07-31
10004,2019,BEV,3,2026-07-31
10004,2020,BEV,11,2026-07-31
10004,2021,BEV,3,2026-07-31
10004,2021,PHEV,2,2026-07-31
10004,2022,BEV,30,2026-07-31
10004,2023,BEV,35,2026-07-31
10004,2024,BEV,2,2026-07-31
10004,2024,PHEV,2,2026-07-31
10004,2025,BEV,3,2026-07-31
10004,2025,PHEV,1,2026-07-31
10004,2026,BEV,1,2026-07-31
10005,2018,BEV,1,2026-07-31
10005,2018,PHEV,1,2026-07-31
10005,2019,BEV,1,2026-07-31
10005,2019,PHEV,1,2026-07-31
10005,2020,BEV,8,2026-07-31
10005,2021,BEV,10,2026-07-31
10005,2021,PHEV,1,2026-07-31
10005,2022,BEV,9,2026-07-31
10005,2023,BEV,11,2026-07-31
10005,2023,PHEV,3,2026-07-31
10005,2024,BEV,7,2026-07-31
10005,2024,PHEV,2,2026-07-31
10005,2025,BEV,5,2026-07-31
10005,2026,BEV,11,2026-07-31
10006,2018,BEV,1,2026-07-31
10006,2020,BEV,4,2026-07-31
10006,2020,PHEV,2,2026-07-31
10006,2021,BEV,15,2026-07-31
10006,2022,BEV,129,2026-07-31
10006,2022,PHEV,25,2026-07-31
10006,2023,BEV,1,2026-07-31
10006,2023,PHEV,20,2026-07-31
10006,2025,BEV,5,2026-07-31
10006,2025,PHEV,1,2026-07-31
10006,2026,BEV,4,2026-07-31
10007,2018,BEV,1,2026-07-31
10007,2018,PHEV,1,2026-07-31
10007,2019,BEV,4,2026-07-31
10007,2020,BEV,13,2026-07-31
10007,2020,PHEV,2,2026-07-31
10007,2021,BEV,5,2026-07-31
10007,2021,PHEV,2,2026-07-31
10007,2022,BEV,117,2026-07-31
10007,2022,PHEV,3,2026-07-31
10007,2023,BEV,14,2026-07-31
10007,2023,PHEV,3,2026-07-31
10007,2024,BEV,7,2026-07-31
10007,2024,PHEV,6,2026-07-31
10007,2025,BEV,24,2026-07-31
10007,2025,PHEV,3,2026-07-31
10007,2026,BEV,6,2026-07-31
10009,2018,BEV,1,2026-07-31
10009,2019,BEV,1,2026-07-31
10009,2020,BEV,17,2026-07-31
10009,2021,BEV,13,2026-07-31
10009,2021,PHEV,3,2026-07-31
10009,2022,BEV,12,2026-07-31
10009,2022,PHEV,4,2026-07-31
10009,2023,BEV,23,2026-07-31
10009,2023,PHEV,3,2026-07-31
10009,2024,BEV,13,2026-07-31
10009,2024,PHEV,12,2026-07-31
10009,2025,BEV,22,2026-07-31
10009,2025,PHEV,5,2026-07-31
10009,2026,BEV,4,2026-07-31
10010,2017,BEV,1,2026-07-31
10010,2017,PHEV,4,2026-07-31
10010,2018,BEV,2,2026-07-31
10010,2018,PHEV,4,2026-07-31
10010,2019,BEV,8,2026-07-31
10010,2019,PHEV,1,2026-07-31
10010,2020,BEV,16,2026-07-31
10010,2020,PHEV,1,2026-07-31
10010,2021,BEV,13,2026-07-31
10010,2021,PHEV,9,2026-07-31
10010,2022,BEV,27,2026-07-31
10010,2022,PHEV,5,2026-07-31
10010,2023,BEV,16,2026-07-31
10010,2023,PHEV,2,2026-07-31
10010,2024,BEV,14,2026-07-31
10010,2024,PHEV,2,2026-07-31
10010,2025,BEV,16,2026-07-31
10010,2025,PHEV,5,2026-07-31
10010,2026,BEV,8,2026-07-31
10011,2017,PHEV,3,2026-07-31
10011,2018,BEV,8,2026-07-31
10011,2018,PHEV,8,2026-07-31
10011,2019,BEV,11,2026-07-31
10011,2019,PHEV,2,2026-07-31
10011,2020,BEV,42,2026-07-31
10011,2020,PHEV,5,2026-07-31
10011,2021,BEV,29,2026-07-31
10011,2021,PHEV,10,2026-07-31
10011,2022,BEV,55,2026-07-31
10011,2022,PHEV,10,2026-07-31
10011,2023,BEV,42,2026-07-31
10011,2023,PHEV,11,2026-07-31
10011,2024,BEV,21,2026-07-31
10011,2024,PHEV,13,2026-07-31
10011,2025,BEV,21,2026-07-31
10011,2025,PHEV,13,2026-07-31
10011,2026,BEV,16,2026-07-31
10011,2026,PHEV,3,2026-07-31
10012,2017,BEV,1,2026-07-31
10012,2017,PHEV,1,2026-07-31
10012,2018,BEV,2,2026-07-31
10012,2018,PHEV,3,2026-07-31
10012,2019,BEV,4,2026-07-31
10012,2020,BEV,18,2026-07-31
10012,2020,PHEV,2,2026-07-31
10012,2021,BEV,6,2026-07-31
10012,2021,PHEV,1,2026-07-31
10012,2022,BEV,22,2026-07-31
