survey,survey_year,drivetrain,segment_dimension,segment_value,parameter,category,value,unit,base_n,page,value_source,note
ownership,2024,All,all,all,invited_participants,count,46074,count,,p.1 / PDF 9,text,
ownership,2024,All,all,all,valid_responses,count,4869,count,,p.2 / PDF 10,text,
ownership,2024,All,all,all,population_represented,count,45958,count,,p.2 / PDF 10,table,Table 2
ownership,2024,All,all,all,months_owned_at_survey,min,9.4,months,,EN-1 / PDF 52,text,endnote 1
ownership,2024,All,all,all,months_owned_at_survey,max,14.1,months,,EN-1 / PDF 52,text,endnote 1
ownership,2024,All,all,all,technology_share,BEV,66,percent,4869,p.3 / PDF 11,figure,Fig 1
ownership,2024,All,all,all,technology_share,PHEV,34,percent,4869,p.3 / PDF 11,figure,
ownership,2024,All,survey_cohort,2017-2018,technology_share_by_ownership_survey_cohort,BEV,28,percent,,p.3 / PDF 11,figure,Fig 2 (cohort label as printed)
ownership,2024,All,survey_cohort,2017-2018,technology_share_by_ownership_survey_cohort,PHEV,72,percent,,p.3 / PDF 11,figure,
ownership,2024,All,survey_cohort,2018-2019,technology_share_by_ownership_survey_cohort,BEV,44,percent,,p.3 / PDF 11,figure,Fig 2 (cohort label as printed)
ownership,2024,All,survey_cohort,2018-2019,technology_share_by_ownership_survey_cohort,PHEV,56,percent,,p.3 / PDF 11,figure,
ownership,2024,All,survey_cohort,2020,technology_share_by_ownership_survey_cohort,BEV,69,percent,,p.3 / PDF 11,figure,Fig 2 (cohort label as printed)
ownership,2024,All,survey_cohort,2020,technology_share_by_ownership_survey_cohort,PHEV,31,percent,,p.3 / PDF 11,figure,
ownership,2024,All,survey_cohort,2021,technology_share_by_ownership_survey_cohort,BEV,58,percent,,p.3 / PDF 11,figure,Fig 2 (cohort label as printed)
ownership,2024,All,survey_cohort,2021,technology_share_by_ownership_survey_cohort,PHEV,42,percent,,p.3 / PDF 11,figure,
ownership,2024,All,survey_cohort,2022,technology_share_by_ownership_survey_cohort,BEV,73,percent,,p.3 / PDF 11,figure,Fig 2 (cohort label as printed)
ownership,2024,All,survey_cohort,2022,technology_share_by_ownership_survey_cohort,PHEV,27,percent,,p.3 / PDF 11,figure,
ownership,2024,All,survey_cohort,2023,technology_share_by_ownership_survey_cohort,BEV,70,percent,,p.3 / PDF 11,figure,Fig 2 (cohort label as printed)
ownership,2024,All,survey_cohort,2023,technology_share_by_ownership_survey_cohort,PHEV,30,percent,,p.3 / PDF 11,figure,
ownership,2024,All,survey_cohort,2024,technology_share_by_ownership_survey_cohort,BEV,66,percent,,p.3 / PDF 11,figure,Fig 2 (cohort label as printed)
ownership,2024,All,survey_cohort,2024,technology_share_by_ownership_survey_cohort,PHEV,34,percent,,p.3 / PDF 11,figure,
ownership,2024,All,all,all,tenure,own,85,percent,4712,p.8 / PDF 16,figure,Fig 8; no BEV/PHEV difference; text 85%
ownership,2024,All,all,all,tenure,rent,12,percent,4712,p.8 / PDF 16,figure,
ownership,2024,All,all,all,tenure,neither,2,percent,4712,p.8 / PDF 16,figure,
ownership,2024,All,all,all,residence_type,detached_house,78,percent,4709,p.8 / PDF 16,figure,Fig 9; no BEV/PHEV difference; text 78%
ownership,2024,All,all,all,residence_type,apartment_condominium,11,percent,4709,p.8 / PDF 16,figure,
ownership,2024,All,all,all,residence_type,attached_house,10,percent,4709,p.8 / PDF 16,figure,
ownership,2024,All,all,all,residence_type,other,1,percent,4709,p.8 / PDF 16,figure,
ownership,2024,All,dac,inside_dac,residence_type,detached_house,54,percent,4378,p.28 / PDF 36,figure,Fig 36 (n for both DAC groups combined)
ownership,2024,All,dac,inside_dac,residence_type,apartment_condominium,28,percent,4378,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,residence_type,attached_house,15,percent,4378,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,residence_type,other,4,percent,4378,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,residence_type,detached_house,82,percent,4378,p.28 / PDF 36,figure,Fig 36
ownership,2024,All,dac,outside_dac,residence_type,apartment_condominium,8,percent,4378,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,residence_type,attached_house,9,percent,4378,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,residence_type,other,0.7,percent,4378,p.28 / PDF 36,figure,
ownership,2024,All,all,all,household_income,lt25k,1,percent,4008,p.5 / PDF 13,figure,Fig 4; no BEV/PHEV difference
ownership,2024,All,all,all,household_income,25_50k,4,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,50_75k,8,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,75_100k,11,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,100_150k,21,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,150_200k,17,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,200_250k,13,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,250_300k,8,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,300_350k,4,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,350_400k,3,percent,4008,p.5 / PDF 13,figure,
ownership,2024,All,all,all,household_income,ge400k,11,percent,4008,p.5 / PDF 13,figure,
