Start Date,ZIP Code,Network,Energy (kWh),Charging Sessions,Charging Time (Hours),Total Duration (Hours),Active Station Count,Active Port Count
2021-10-01,14604,ChargePoint,4022.3940000000007,405,867,1574,4,8
2021-09-01,14604,ChargePoint,7455.0219999999945,730,1578,3069,4,8
2021-08-01,14604,ChargePoint,7399.77399999999,648,1561,2817,4,8
2021-07-01,14604,ChargePoint,7884.862000000012,582,1591,2824,4,8
2021-06-01,14604,ChargePoint,6827.414,556,1327,3188,4,8
2021-05-01,14604,ChargePoint,6598.309999999998,560,1329,3306,4,8
2021-04-01,14604,ChargePoint,6248.251999999999,528,1334,2884,4,8
2021-03-01,14604,ChargePoint,5330.148000000003,464,1231,2792,4,8
2021-10-01,14614,ChargePoint,3155.085999999999,245,619,991,3,6
2021-09-01,14614,ChargePoint,3852.2760000000007,350,827,1590,3,6
2021-08-01,14614,ChargePoint,5184.929999999998,390,1035,1638,3,6
2021-07-01,14614,ChargePoint,5503.298000000003,438,1099,1745,3,6
2021-06-01,14614,ChargePoint,5831.8679999999995,408,1171,1802,3,6
2021-05-01,14614,ChargePoint,5030.940000000001,378,981,1482,3,6
2021-04-01,14614,ChargePoint,4825.37,338,1030,1767,3,6
2021-03-01,14614,ChargePoint,4229.827999999999,342,925,1944,3,6
2021-09-01,14607,ChargePoint,1774.2879999999998,180,460,720,6,10
2021-08-01,14607,ChargePoint,1790.3480000000006,208,434,655,6,11
2021-07-01,14607,ChargePoint,1187.27,128,293,485,6,11
2021-06-01,14607,ChargePoint,868.748,108,226,403,5,9
2021-05-01,14607,ChargePoint,900.3000000000001,110,222,372,5,9
2021-10-01,14612,ChargePoint,3097.5170000000007,177,579,849,4,8
2021-09-01,14612,ChargePoint,3917.295999999998,342,789,994,4,8
2021-08-01,14612,ChargePoint,3648.666,458,779,885,4,8
2021-07-01,14612,ChargePoint,5303.566000000005,454,1041,1169,4,8
2021-06-01,14612,ChargePoint,3634.6960000000004,450,793,1018,4,7
2021-05-01,14612,ChargePoint,3016.1740000000027,278,596,704,4,8
2021-03-01,14612,ChargePoint,404.18399999999997,164,116,130,4,6
2021-04-01,14612,ChargePoint,2363.558,222,460,578,4,7
2021-09-01,14605,ChargePoint,809.3160000000005,110,148,199,1,2
2021-08-01,14605,ChargePoint,1575.5619999999992,240,263,304,1,2
2021-07-01,14605,ChargePoint,1491.3600000000001,212,265,364,1,2
2021-06-01,14605,ChargePoint,1906.9440000000002,204,331,428,1,2
2021-05-01,14605,ChargePoint,1711.6219999999998,244,287,364,1,2
2021-04-01,14605,ChargePoint,1025.3840000000002,176,175,223,1,2
2021-03-01,14605,ChargePoint,962.6840000000003,176,184,241,1,2
2021-10-01,14611,ChargePoint,231.87100000000007,23,39,43,4,5
2021-09-01,14611,ChargePoint,345.456,30,58,181,3,4
2021-08-01,14611,ChargePoint,573.498,28,98,103,5,8
2021-07-01,14611,ChargePoint,118.52999999999999,10,20,20,4,4
2021-07-01,14617,ChargePoint,1971.8159999999998,326,407,489,11,20
2021-06-01,14611,ChargePoint,224.93,22,40,43,5,5
2021-05-01,14611,ChargePoint,125.27000000000001,14,22,22,3,5
2021-10-01,14626,ChargePoint,2183.0369999999994,161,502,981,6,11
2021-09-01,14626,ChargePoint,3936.5539999999964,320,903,1826,7,14
2021-08-01,14626,ChargePoint,3244.7459999999996,328,791,1935,5,10
2021-07-01,14626,ChargePoint,3504.084000000001,278,811,1821,5,9
2021-06-01,14626,ChargePoint,2578.2060000000015,238,632,1827,5,10
2021-05-01,14626,ChargePoint,3380.9659999999985,280,769,2043,5,10
2021-04-01,14626,ChargePoint,5193.236000000002,446,1188,2815,5,10
2021-03-01,14626,ChargePoint,5039.439999999995,404,1121,2701,5,10
2021-10-01,14621,ChargePoint,3588.7959999999994,324,1053,2233,11,21
2021-09-01,14621,ChargePoint,5779.612000000001,572,1749,4082,11,20
2021-08-01,14621,ChargePoint,4865.499999999998,594,1520,4101,9,17
2021-07-01,14621,ChargePoint,5731.387999999999,632,1915,4469,10,19
2021-06-01,14621,ChargePoint,5223.97,602,1626,3886,9,18
2021-05-01,14621,ChargePoint,5104.584000000001,562,1473,3931,10,18
2021-04-01,14621,ChargePoint,6487.230000000005,680,2115,5993,11,21
2021-03-01,14621,ChargePoint,6350.822,658,2117,5327,10,20
2021-10-01,14627,ChargePoint,763.769,81,163,226,1,1
2021-09-01,14627,ChargePoint,1225.7420000000002,134,282,411,1,1
2021-08-01,14627,ChargePoint,986.54,100,209,284,1,1
2021-07-01,14627,ChargePoint,433.68799999999993,56,99,133,1,1
2021-06-01,14627,ChargePoint,407.952,52,88,175,1,1
2021-05-01,14627,ChargePoint,1025.4340000000002,102,211,362,1,1
2021-04-01,14627,ChargePoint,783.278,98,178,457,1,1
2021-03-01,14627,ChargePoint,525.1460000000003,68,131,333,1,1
2021-04-01,14620,ChargePoint,401.13999999999993,42,76,109,1,2
2021-03-01,14620,ChargePoint,1504.372,118,262,372,1,2
2021-06-01,14642,ChargePoint,569.3599999999999,44,115,204,1,2
2021-05-01,14642,ChargePoint,1966.9880000000007,186,385,688,1,2
2021-04-01,14642,ChargePoint,1546.2959999999996,160,333,751,1,2
2021-03-01,14642,ChargePoint,1734.3180000000002,194,377,759,1,2
2021-10-01,14620,ChargePoint,1313.6330000000003,101,279,372,1,2
2021-09-01,14620,ChargePoint,2369.354,182,515,767,1,2
2021-08-01,14620,ChargePoint,1495.1660000000006,150,330,617,1,2
2021-07-01,14620,ChargePoint,1633.9219999999996,122,352,633,1,2
2021-06-01,14620,ChargePoint,1131.4580000000005,102,250,458,1,2
2021-10-01,14607,ChargePoint,797.1729999999999,97,221,413,6,10
2021-09-01,14617,ChargePoint,1934.754000000001,306,433,495,10,17
2021-08-01,14617,ChargePoint,1593.8240000000012,280,313,334,7,13
2021-06-01,14617,ChargePoint,1563.5080000000003,238,346,360,8,14
2021-05-01,14617,ChargePoint,1785.0660000000005,306,413,457,8,14
2021-04-01,14607,ChargePoint,752.9519999999999,70,191,348,6,8
2021-03-01,14607,ChargePoint,1028.91,84,239,389,5,9
2021-03-01,14617,ChargePoint,1374.7940000000006,342,363,425,7,13
2021-04-01,14617,ChargePoint,1185.8119999999988,258,320,363,8,12
2021-10-01,14623,ChargePoint,7511.301000000002,617,1579,2538,8,16
2021-09-01,14623,ChargePoint,11941.29799999998,1046,2520,4180,8,16
2021-08-01,14623,ChargePoint,8373.379999999996,718,1728,3037,8,16
2021-07-01,14623,ChargePoint,7425.310000000007,554,1487,2223,8,16
2021-06-01,14623,ChargePoint,7254.926000000002,566,1605,2610,8,16
2021-05-01,14623,ChargePoint,7919.664000000002,702,1700,3281,8,16
2021-04-01,14623,ChargePoint,8353.307999999997,762,1894,3436,8,16
2021-03-01,14623,ChargePoint,9605.939999999997,916,2256,3644,8,16
2021-10-01,12305,ChargePoint,1714.7350000000004,111,334,547,3,6
2021-10-01,12308,ChargePoint,1257.5730000000005,99,245,481,5,8
2021-10-01,12302,ChargePoint,2471.7119999999995,239,229,252,5,10
2021-09-01,12308,ChargePoint,2721.084,224,566,1138,5,9
2021-09-01,12305,ChargePoint,2489.718,140,448,576,3,6
2021-09-01,12302,ChargePoint,4919.46,476,535,597,5,11
2021-09-01,12303,ChargePoint,362.7579999999999,34,61,75,3,5
2021-08-01,12308,ChargePoint,3440.8540000000007,282,698,1214,5,9
2021-08-01,12305,ChargePoint,1644.5920000000003,90,282,377,3,6
2021-08-01,12303,ChargePoint,566.9379999999999,26,95,108,3,4
