zcta,county,pop_part,land_part_m2,pop_share_of_zcta,ny_share_of_zcta_land
06390,36103,800.1,10480878.0,1.0,1.0
10001,36061,28267.9,1615692.0,1.0,1.0
10002,36061,72202.0,2129728.0,1.0,1.0
10003,36061,55794.1,1480445.0,1.0,1.0
10004,36061,3304.2,1179938.0,1.0,1.0
10005,36061,6710.2,188727.0,1.0,1.0
10006,36061,3999.4,250630.0,1.0,1.0
10007,36061,9128.6,414129.0,1.0,1.0
10009,36061,59897.9,1597304.0,1.0,1.0
10010,36061,30235.6,955081.0,1.0,1.0
10011,36061,47028.1,1677161.0,1.0,1.0
10012,36061,20867.6,839030.0,1.0,1.0
10013,36061,25201.0,1409917.0,1.0,1.0
10014,36061,27714.4,1255850.0,1.0,1.0
10016,36061,49900.5,1423936.0,1.0,1.0
10017,36061,17090.9,771547.0,1.0,1.0
10018,36061,11642.6,891039.0,1.0,1.0
10019,36061,45262.2,1706504.0,1.0,1.0
10020,36061,420.9,46754.0,1.0,1.0
10021,36061,38166.9,923484.0,1.0,1.0
10022,36061,35848.1,1148424.0,1.0,1.0
10023,36061,64189.9,2510429.0,1.0,1.0
10024,36061,63085.0,2292582.0,1.0,1.0
10025,36061,92267.5,2302133.0,1.0,1.0
10026,36061,36116.2,992725.0,1.0,1.0
10027,36061,66908.9,2440914.0,1.0,1.0
10028,36061,44716.3,819923.0,1.0,1.0
10029,36061,80231.0,2987117.0,1.0,1.0
10030,36061,29530.0,718112.0,1.0,1.0
10031,36061,56810.8,1733068.0,1.0,1.0
10032,36061,60245.6,1742138.0,1.0,1.0
10033,36061,50518.4,1544802.0,1.0,1.0
10034,36061,39986.3,2648152.0,1.0,1.0
10035,36061,35981.6,3638045.0,1.0,1.0
10036,36061,26192.2,1158340.0,1.0,1.0
10037,36061,17236.0,602984.0,1.0,1.0
10038,36061,22351.6,747572.0,1.0,1.0
10039,36061,32898.2,774862.0,1.0,1.0
10040,36061,40237.9,1468523.0,1.0,1.0
10044,36061,11520.0,595879.0,1.0,1.0
10065,36061,28765.4,1085419.0,1.0,1.0
10069,36061,5056.8,106197.0,1.0,1.0
10075,36061,26360.5,489565.0,1.0,1.0
10103,36061,151.3,24776.0,1.0,1.0
10110,36061,85.3,26711.0,1.0,1.0
10111,36061,151.3,24769.0,1.0,1.0
10112,36061,151.9,24865.0,1.0,1.0
10115,36061,130.2,6618.0,1.0,1.0
10119,36061,699.6,65943.0,1.0,1.0
10128,36061,58127.9,1173140.0,1.0,1.0
10152,36061,116.3,12423.0,1.0,1.0
10153,36061,81.6,12281.0,1.0,1.0
10154,36061,115.9,12382.0,1.0,1.0
10162,36061,1738.4,33146.0,1.0,1.0
10165,36061,261.3,13058.0,1.0,1.0
10167,36061,87.3,12396.0,1.0,1.0
10168,36061,407.1,13211.0,1.0,1.0
10169,36061,38.0,5396.0,1.0,1.0
10170,36061,175.4,24921.0,1.0,1.0
10171,36061,87.8,12470.0,1.0,1.0
10172,36061,87.4,12415.0,1.0,1.0
10173,36061,5.6,12297.0,1.0,1.0
10174,36061,93.1,13224.0,1.0,1.0
10177,36061,2.5,5421.0,1.0,1.0
10199,36061,1469.0,65414.0,1.0,1.0
10271,36061,244.5,6779.0,1.0,1.0
10278,36061,506.4,35671.0,1.0,1.0
10279,36061,338.9,10805.0,1.0,1.0
10280,36061,10886.3,276532.0,1.0,1.0
10282,36061,4220.9,177847.0,1.0,1.0
10301,36085,42790.7,9732406.0,1.0,1.0
10302,36085,19371.1,3090433.0,1.0,1.0
10303,36085,26737.6,8208234.0,1.0,1.0
10304,36085,43607.7,9041054.0,1.0,1.0
10305,36085,43529.9,10411102.0,1.0,1.0
10306,36085,56075.5,18722812.0,1.0,1.0
10307,36085,12011.3,4179217.0,1.0,1.0
10308,36085,28859.8,5660015.0,1.0,1.0
10309,36085,37009.0,18787995.0,1.0,1.0
10310,36085,25341.8,4668227.0,1.0,1.0
10311,36085,337.7,121555.0,1.0,1.0
10312,36085,66373.6,17797576.0,1.0,1.0
10314,36085,92387.1,33661749.0,1.0,1.0
10451,36005,50586.8,2735533.0,1.0,1.0
10452,36005,76996.6,2543928.0,1.0,1.0
10453,36005,77514.2,2334210.0,1.0,1.0
10454,36005,40300.0,2745548.0,1.0,1.0
10455,36005,43278.6,1816370.0,1.0,1.0
10456,36005,89152.4,2787861.0,1.0,1.0
10457,36005,77122.4,3415414.0,1.0,1.0
10458,36005,75556.0,3162261.0,1.0,1.0
10459,36005,51686.8,2154070.0,1.0,1.0
10460,36005,57544.8,3881496.0,1.0,1.0
10461,36005,52356.8,6185365.0,1.0,1.0
10462,36005,74663.0,3878508.0,1.0,1.0
10463,36005,55878.9,6827084.0,0.845,1.0
10463,36061,10253.0,302756.0,0.155,1.0
10464,36005,4350.7,7908514.0,1.0,1.0
10465,36005,47473.5,10153865.0,1.0,1.0
10466,36005,71009.2,5218976.0,1.0,1.0
10467,36005,95464.5,6036068.0,1.0,1.0
10468,36005,70976.4,2709578.0,1.0,1.0
10469,36005,68069.1,6282642.0,1.0,1.0
10470,36005,16187.7,3647435.0,0.9687,1.0
10470,36119,523.2,71256.0,0.0313,1.0
10471,36005,29204.8,4436899.0,1.0,1.0
10472,36005,64937.4,2790929.0,1.0,1.0
10473,36005,57708.2,5537168.0,1.0,1.0
10474,36005,10943.2,3973116.0,1.0,1.0
10475,36005,42152.3,3218509.0,1.0,1.0
10501,36119,995.5,4123875.0,1.0,1.0
10502,36119,6577.7,5397234.0,1.0,1.0
10503,36119,34.8,38497.0,1.0,1.0
10504,36119,7443.9,41781352.0,1.0,1.0
10505,36119,883.7,2007327.0,1.0,1.0
10506,36119,5287.4,43080639.0,1.0,1.0
10507,36119,5600.0,19239414.0,1.0,1.0
10509,36079,19421.7,93348618.0,0.9996,1.0
10509,36119,8.0,85723.0,0.0004,1.0
10510,36119,10638.6,26167168.0,1.0,1.0
10511,36119,2438.2,3894002.0,1.0,1.0
10512,36079,24160.5,135051372.0,0.9995,1.0
10512,36027,11.4,102616.0,0.0005,1.0
10514,36119,9835.6,32952964.0,1.0,1.0
10516,36079,5971.1,81500615.0,1.0,1.0
10517,36119,466.4,911166.0,1.0,1.0
10518,36119,1458.7,9866163.0,1.0,1.0
10519,36119,136.6,647231.0,1.0,1.0
10520,36119,14098.9,37423358.0,1.0,1.0
10522,36119,11520.2,6328659.0,1.0,1.0
10523,36119,8410.6,9442168.0,1.0,1.0
10524,36079,4606.1,53966127.0,1.0,1.0
10526,36119,1776.6,9189313.0,1.0,1.0
10527,36119,1570.7,5786727.0,1.0,1.0
10528,36119,13397.7,9787224.0,1.0,1.0
10530,36119,12578.9,10138211.0,1.0,1.0
10532,36119,5646.7,6059316.0,1.0,1.0
10533,36119,7742.6,9209214.0,1.0,1.0
10535,36119,755.9,1178155.0,1.0,1.0
10536,36119,11876.5,68937559.0,1.0,1.0
10537,36079,707.1,2211489.0,0.5849,1.0
10537,36119,501.8,566954.0,0.4151,1.0
10538,36119,16851.0,9101194.0,1.0,1.0
10540,36119,715.0,1394970.0,1.0,1.0
10541,36079,23119.1,61604176.0,0.9459,1.0
10541,36119,1321.4,2537714.0,0.0541,1.0
10542,36079,22.7,76374.0,1.0,1.0
10543,36119,22061.3,11093308.0,1.0,1.0
10545,36119,235.9,323894.0,1.0,1.0
10546,36119,825.9,3122927.0,1.0,1.0
10547,36119,7780.1,12686484.0,1.0,1.0
10548,36119,3710.2,5339864.0,1.0,1.0
10549,36119,19517.1,49451202.0,1.0,1.0
10550,36119,38633.5,5148364.0,0.9995,1.0
10550,36005,17.9,1087.0,0.0005,1.0
10552,36119,20931.9,4274378.0,1.0,1.0
10553,36119,12302.5,1807942.0,1.0,1.0
10560,36119,5040.1,54139930.0,1.0,1.0
10562,36119,34735.9,34999316.0,1.0,1.0
10566,36119,25610.1,11245243.0,1.0,1.0
10567,36119,18975.9,58316435.0,1.0,1.0
10570,36119,11879.2,18441825.0,1.0,1.0
10573,36119,40138.3,14162379.0,1.0,1.0
10576,36119,5256.5,58025007.0,1.0,1.0
10577,36119,6582.4,17172662.0,1.0,1.0
10578,36119,698.6,4557576.0,1.0,1.0
10579,36079,10453.0,89927225.0,1.0,1.0
10580,36119,18246.4,21633637.0,1.0,1.0
10583,36119,40983.4,32186058.0,1.0,1.0
10588,36119,2308.3,4092179.0,0.9969,1.0
10588,36079,7.1,118195.0,0.0031,1.0
10589,36119,7235.0,17825867.0,1.0,1.0
10590,36119,5826.3,34506753.0,1.0,1.0
