scenario,year,s_obs_2026,new_share_p50,bev_share_of_additions,additions_p50,EV_p05,EV_p50,EV_p95,BEV_p50,PHEV_p50,fleet_share_p05,fleet_share_p50,fleet_share_p95
trend,2026,0.1088,0.1088,0.7705,140.2554,3303.4763,3359.5012,3438.8201,1935.6753,1424.6514,0.0555,0.0564,0.0577
trend,2027,0.1088,0.1361,0.8095,529.2956,3564.928,3836.4884,4244.8509,2341.7701,1497.8866,0.0599,0.0644,0.0713
trend,2028,0.1088,0.169,0.8412,649.6473,3879.3601,4424.3068,5271.9398,2859.9111,1566.5177,0.0651,0.0743,0.0885
trend,2029,0.1088,0.2079,0.8665,800.9537,4255.0734,5126.0579,6555.6041,3516.2731,1627.8594,0.0714,0.0861,0.1101
trend,2030,0.1088,0.2531,0.8863,974.6696,4682.8919,5994.7056,8223.4475,4315.8033,1683.2099,0.0786,0.1007,0.1381
trend,2031,0.1088,0.3043,0.9017,1167.6191,5195.0523,7023.4918,10228.6107,5294.4868,1733.3755,0.0872,0.1179,0.1718
trend,2032,0.1088,0.3608,0.9136,1390.2776,5794.1273,8234.0655,12609.4138,6457.3944,1776.4648,0.0973,0.1383,0.2117
trend,2033,0.1088,0.4215,0.9226,1623.3208,6489.8555,9646.3522,15389.1248,7837.0048,1816.5083,0.109,0.162,0.2584
trend,2034,0.1088,0.4847,0.9294,1866.127,7304.5127,11270.1521,18533.0685,9422.9852,1853.3171,0.1227,0.1892,0.3112
trend,2035,0.1088,0.5483,0.9346,2111.2519,8205.2797,13097.2886,22052.4644,11232.3186,1888.5378,0.1378,0.2199,0.3703
trend,2036,0.1088,0.6104,0.9385,2350.9732,9228.5242,15108.2869,25909.9432,13226.5749,1922.4167,0.155,0.2537,0.4351
trend,2037,0.1088,0.6692,0.9414,2564.2152,10355.5621,17291.0858,30052.9823,15387.945,1954.2861,0.1739,0.2903,0.5046
trend,2038,0.1088,0.7231,0.9436,2764.5037,11556.1117,19619.7926,34418.3461,17671.842,1988.3194,0.194,0.3294,0.5779
trend,2039,0.1088,0.7712,0.9452,2960.2572,12826.6187,22063.152,38936.8285,20047.7764,2022.5074,0.2154,0.3705,0.6538
trend,2040,0.1088,0.8131,0.9464,3109.4835,14155.2005,24577.5645,43521.1406,22479.6367,2061.8203,0.2377,0.4127,0.7308
trend,2041,0.1088,0.8488,0.9473,3254.7791,15569.6487,27122.9989,48052.0046,25045.6323,2107.3408,0.2614,0.4554,0.8069
trend,2042,0.1088,0.8787,0.948,3373.165,17017.1437,29706.7005,52510.5215,27590.1952,2151.1073,0.2857,0.4988,0.8817
trend,2043,0.1088,0.9034,0.9485,3454.4337,18476.5709,32310.6384,56766.4404,30111.6332,2195.9557,0.3102,0.5425,0.9532
trend,2044,0.1088,0.9235,0.9489,3534.2172,19926.9162,34871.6574,58958.46,32586.9367,2251.9721,0.3346,0.5855,0.99
trend,2045,0.1088,0.9397,0.9492,3618.9888,21302.285,37304.9518,58958.46,34983.6732,2315.553,0.3577,0.6264,0.99
trend,2046,0.1088,0.9526,0.9494,3675.2562,22651.9922,39533.3518,58958.46,37202.5196,2374.4463,0.3804,0.6638,0.99
trend,2047,0.1088,0.9629,0.9495,3728.8852,23899.2794,41734.0157,58958.46,39264.1067,2432.6304,0.4013,0.7008,0.99
trend,2048,0.1088,0.971,0.9497,3762.5386,25064.4573,43958.4721,58958.46,41427.3053,2490.2227,0.4209,0.7381,0.99
trend,2049,0.1088,0.9774,0.9497,3781.9872,26266.6404,45979.2498,58958.46,43462.5365,2544.1391,0.4411,0.7721,0.99
trend,2050,0.1088,0.9824,0.9498,3806.9053,27472.0721,47874.4768,58958.46,45237.4472,2601.2847,0.4613,0.8039,0.99
slow,2026,0.1088,0.1088,0.7705,140.1571,3305.2195,3359.8479,3436.6696,1935.2624,1424.2281,0.0555,0.0564,0.0577
slow,2027,0.1088,0.1206,0.8095,469.9756,3539.4654,3782.2169,4125.588,2295.146,1485.4112,0.0594,0.0635,0.0693
slow,2028,0.1088,0.1334,0.8412,518.9466,3789.9124,4238.0211,4883.2864,2705.6276,1531.9642,0.0636,0.0712,0.082
slow,2029,0.1088,0.1471,0.8665,571.7314,4046.5984,4729.1845,5712.8716,3164.5355,1564.0859,0.0679,0.0794,0.0959
slow,2030,0.1088,0.1617,0.8863,629.4651,4310.6624,5248.5348,6636.4776,3675.7135,1582.3651,0.0724,0.0881,0.1114
slow,2031,0.1088,0.1772,0.9017,690.6306,4591.6462,5809.9798,7619.3704,4225.5454,1586.3477,0.0771,0.0976,0.1279
slow,2032,0.1088,0.1936,0.9136,754.9411,4874.3621,6401.511,8706.2141,4834.171,1578.6082,0.0818,0.1075,0.1462
slow,2033,0.1088,0.2107,0.9226,821.5804,5161.4351,7027.3398,9883.8426,5477.1713,1555.9548,0.0867,0.118,0.166
slow,2034,0.1088,0.2284,0.9294,886.6945,5456.542,7687.6572,11117.7921,6173.2158,1521.7062,0.0916,0.1291,0.1867
slow,2035,0.1088,0.2467,0.9346,955.9734,5761.447,8388.3964,12408.1006,6906.1645,1481.9557,0.0967,0.1409,0.2084
slow,2036,0.1088,0.2655,0.9385,1027.7678,6078.5831,9131.8213,13768.5081,7679.3893,1440.0737,0.1021,0.1533,0.2312
slow,2037,0.1088,0.2845,0.9414,1101.7076,6410.8818,9906.3395,15195.24,8490.7343,1393.6689,0.1076,0.1663,0.2552
slow,2038,0.1088,0.3036,0.9436,1176.24,6761.504,10701.547,16683.395,9339.3348,1345.6304,0.1135,0.1797,0.2801
slow,2039,0.1088,0.3227,0.9452,1250.4898,7133.4926,11528.982,18305.0071,10218.8896,1300.2726,0.1198,0.1936,0.3074
