year,dt,age_class,light_duty,vehicles,source
2012,BEV,new,True,124,EValuateNY first appearances
2012,BEV,used,True,90,EValuateNY first appearances
2012,PHEV,new,True,420,EValuateNY first appearances
2012,PHEV,used,True,3,EValuateNY first appearances
2012,nonEV,new,False,36561,EValuateNY first appearances
2012,nonEV,new,True,817922,EValuateNY first appearances
2012,nonEV,used,False,121392,EValuateNY first appearances
2012,nonEV,used,True,709682,EValuateNY first appearances
2013,BEV,new,False,30,EValuateNY first appearances
2013,BEV,new,True,326,EValuateNY first appearances
2013,BEV,used,True,74,EValuateNY first appearances
2013,PHEV,new,True,1980,EValuateNY first appearances
2013,PHEV,used,True,50,EValuateNY first appearances
2013,nonEV,new,False,35865,EValuateNY first appearances
2013,nonEV,new,True,809815,EValuateNY first appearances
2013,nonEV,used,False,83631,EValuateNY first appearances
2013,nonEV,used,True,430694,EValuateNY first appearances
2014,BEV,new,False,5,EValuateNY first appearances
2014,BEV,new,True,971,EValuateNY first appearances
2014,BEV,used,True,113,EValuateNY first appearances
2014,PHEV,new,True,2645,EValuateNY first appearances
2014,PHEV,used,True,183,EValuateNY first appearances
2014,nonEV,new,False,37285,EValuateNY first appearances
2014,nonEV,new,True,842886,EValuateNY first appearances
2014,nonEV,used,False,73221,EValuateNY first appearances
2014,nonEV,used,True,384902,EValuateNY first appearances
2015,BEV,new,False,2,EValuateNY first appearances
2015,BEV,new,True,850,EValuateNY first appearances
2015,BEV,used,True,139,EValuateNY first appearances
2015,PHEV,new,True,2709,EValuateNY first appearances
2015,PHEV,used,True,203,EValuateNY first appearances
2015,nonEV,new,False,41627,EValuateNY first appearances
2015,nonEV,new,True,873501,EValuateNY first appearances
2015,nonEV,used,False,66528,EValuateNY first appearances
2015,nonEV,used,True,375805,EValuateNY first appearances
2016,BEV,new,True,1086,EValuateNY first appearances
2016,BEV,used,False,6,EValuateNY first appearances
2016,BEV,used,True,230,EValuateNY first appearances
2016,PHEV,new,True,2116,EValuateNY first appearances
2016,PHEV,used,True,444,EValuateNY first appearances
2016,nonEV,new,False,49260,EValuateNY first appearances
2016,nonEV,new,True,950568,EValuateNY first appearances
2016,nonEV,used,False,67758,EValuateNY first appearances
2016,nonEV,used,True,392892,EValuateNY first appearances
2017,BEV,new,False,5,EValuateNY first appearances
2017,BEV,new,True,4041,EValuateNY first appearances
2017,BEV,used,True,469,EValuateNY first appearances
2017,PHEV,new,False,1,EValuateNY first appearances
2017,PHEV,new,True,7997,EValuateNY first appearances
2017,PHEV,used,True,630,EValuateNY first appearances
2017,nonEV,new,False,87486,EValuateNY first appearances
2017,nonEV,new,True,1609325,EValuateNY first appearances
2017,nonEV,used,False,186940,EValuateNY first appearances
2017,nonEV,used,True,597227,EValuateNY first appearances
2018,BEV,new,False,27,EValuateNY first appearances
2018,BEV,new,True,5248,EValuateNY first appearances
2018,BEV,used,True,251,EValuateNY first appearances
2018,PHEV,new,False,3,EValuateNY first appearances
2018,PHEV,new,True,8328,EValuateNY first appearances
2018,PHEV,used,True,323,EValuateNY first appearances
2018,nonEV,new,False,53573,EValuateNY first appearances
2018,nonEV,new,True,1057746,EValuateNY first appearances
2018,nonEV,used,False,74576,EValuateNY first appearances
2018,nonEV,used,True,279998,EValuateNY first appearances
2019,BEV,new,False,33,EValuateNY first appearances
2019,BEV,new,True,8447,EValuateNY first appearances
2019,BEV,used,False,4,EValuateNY first appearances
2019,BEV,used,True,448,EValuateNY first appearances
