year,dt,age_class,light_duty,vehicles,source
2012,BEV,new,True,4.02,EValuateNY first appearances (ZIP-weighted)
2012,BEV,used,True,0.03,EValuateNY first appearances (ZIP-weighted)
2012,PHEV,new,True,2.0,EValuateNY first appearances (ZIP-weighted)
2012,nonEV,new,False,184.6,EValuateNY first appearances (ZIP-weighted)
2012,nonEV,new,True,3376.52,EValuateNY first appearances (ZIP-weighted)
2012,nonEV,used,False,935.13,EValuateNY first appearances (ZIP-weighted)
2012,nonEV,used,True,5648.99,EValuateNY first appearances (ZIP-weighted)
2013,BEV,new,True,4.0,EValuateNY first appearances (ZIP-weighted)
2013,PHEV,new,True,24.77,EValuateNY first appearances (ZIP-weighted)
2013,nonEV,new,False,241.79,EValuateNY first appearances (ZIP-weighted)
2013,nonEV,new,True,3630.96,EValuateNY first appearances (ZIP-weighted)
2013,nonEV,used,False,599.73,EValuateNY first appearances (ZIP-weighted)
2013,nonEV,used,True,3594.11,EValuateNY first appearances (ZIP-weighted)
2014,BEV,new,True,4.33,EValuateNY first appearances (ZIP-weighted)
2014,BEV,used,True,3.02,EValuateNY first appearances (ZIP-weighted)
2014,PHEV,new,True,21.98,EValuateNY first appearances (ZIP-weighted)
2014,PHEV,used,True,2.0,EValuateNY first appearances (ZIP-weighted)
2014,nonEV,new,False,188.58,EValuateNY first appearances (ZIP-weighted)
2014,nonEV,new,True,3627.61,EValuateNY first appearances (ZIP-weighted)
2014,nonEV,used,False,547.4,EValuateNY first appearances (ZIP-weighted)
2014,nonEV,used,True,3492.7,EValuateNY first appearances (ZIP-weighted)
2015,BEV,new,True,10.37,EValuateNY first appearances (ZIP-weighted)
2015,BEV,used,True,4.0,EValuateNY first appearances (ZIP-weighted)
2015,PHEV,new,True,28.54,EValuateNY first appearances (ZIP-weighted)
2015,PHEV,used,True,0.06,EValuateNY first appearances (ZIP-weighted)
2015,nonEV,new,False,241.14,EValuateNY first appearances (ZIP-weighted)
2015,nonEV,new,True,3823.1,EValuateNY first appearances (ZIP-weighted)
2015,nonEV,used,False,459.61,EValuateNY first appearances (ZIP-weighted)
2015,nonEV,used,True,3285.74,EValuateNY first appearances (ZIP-weighted)
2016,BEV,new,True,8.36,EValuateNY first appearances (ZIP-weighted)
2016,BEV,used,True,4.0,EValuateNY first appearances (ZIP-weighted)
2016,PHEV,new,True,13.04,EValuateNY first appearances (ZIP-weighted)
2016,PHEV,used,True,3.03,EValuateNY first appearances (ZIP-weighted)
2016,nonEV,new,False,252.15,EValuateNY first appearances (ZIP-weighted)
2016,nonEV,new,True,4009.99,EValuateNY first appearances (ZIP-weighted)
2016,nonEV,used,False,468.26,EValuateNY first appearances (ZIP-weighted)
2016,nonEV,used,True,3344.74,EValuateNY first appearances (ZIP-weighted)
2017,BEV,new,True,32.03,EValuateNY first appearances (ZIP-weighted)
2017,BEV,used,True,19.33,EValuateNY first appearances (ZIP-weighted)
2017,PHEV,new,True,82.09,EValuateNY first appearances (ZIP-weighted)
2017,PHEV,used,True,20.2,EValuateNY first appearances (ZIP-weighted)
2017,nonEV,new,False,470.19,EValuateNY first appearances (ZIP-weighted)
2017,nonEV,new,True,6866.44,EValuateNY first appearances (ZIP-weighted)
2017,nonEV,used,False,1497.42,EValuateNY first appearances (ZIP-weighted)
2017,nonEV,used,True,5418.33,EValuateNY first appearances (ZIP-weighted)
2018,BEV,new,True,46.37,EValuateNY first appearances (ZIP-weighted)
2018,BEV,used,True,2.0,EValuateNY first appearances (ZIP-weighted)
2018,PHEV,new,True,122.56,EValuateNY first appearances (ZIP-weighted)
2018,PHEV,used,True,3.97,EValuateNY first appearances (ZIP-weighted)
2018,nonEV,new,False,264.06,EValuateNY first appearances (ZIP-weighted)
2018,nonEV,new,True,4505.97,EValuateNY first appearances (ZIP-weighted)
2018,nonEV,used,False,477.14,EValuateNY first appearances (ZIP-weighted)
2018,nonEV,used,True,2566.59,EValuateNY first appearances (ZIP-weighted)
2019,BEV,new,True,83.92,EValuateNY first appearances (ZIP-weighted)
2019,BEV,used,True,11.75,EValuateNY first appearances (ZIP-weighted)
2019,PHEV,new,True,114.59,EValuateNY first appearances (ZIP-weighted)
2019,PHEV,used,True,11.02,EValuateNY first appearances (ZIP-weighted)
2019,nonEV,new,False,180.02,EValuateNY first appearances (ZIP-weighted)
2019,nonEV,new,True,3990.9,EValuateNY first appearances (ZIP-weighted)
2019,nonEV,used,False,451.8,EValuateNY first appearances (ZIP-weighted)
2019,nonEV,used,True,2175.65,EValuateNY first appearances (ZIP-weighted)
2020,BEV,new,True,66.61,EValuateNY first appearances (ZIP-weighted)
2020,BEV,used,True,7.75,EValuateNY first appearances (ZIP-weighted)
2020,PHEV,new,True,83.66,EValuateNY first appearances (ZIP-weighted)
2020,PHEV,used,True,13.33,EValuateNY first appearances (ZIP-weighted)
2020,nonEV,new,False,187.65,EValuateNY first appearances (ZIP-weighted)
2020,nonEV,new,True,3495.74,EValuateNY first appearances (ZIP-weighted)
2020,nonEV,used,False,362.39,EValuateNY first appearances (ZIP-weighted)
2020,nonEV,used,True,1728.31,EValuateNY first appearances (ZIP-weighted)
2021,BEV,new,False,7.0,EValuateNY first appearances (ZIP-weighted)
2021,BEV,new,True,167.42,EValuateNY first appearances (ZIP-weighted)
2021,BEV,used,True,20.71,EValuateNY first appearances (ZIP-weighted)
2021,PHEV,new,True,194.7,EValuateNY first appearances (ZIP-weighted)
2021,PHEV,used,True,15.98,EValuateNY first appearances (ZIP-weighted)
2021,nonEV,new,False,211.32,EValuateNY first appearances (ZIP-weighted)
2021,nonEV,new,True,4555.47,EValuateNY first appearances (ZIP-weighted)
2021,nonEV,used,False,541.02,EValuateNY first appearances (ZIP-weighted)
2021,nonEV,used,True,4450.66,EValuateNY first appearances (ZIP-weighted)
2022,BEV,new,True,198.54,EValuateNY first appearances (ZIP-weighted)
2022,BEV,used,True,10.11,EValuateNY first appearances (ZIP-weighted)
2022,PHEV,new,True,172.65,EValuateNY first appearances (ZIP-weighted)
2022,PHEV,used,True,16.89,EValuateNY first appearances (ZIP-weighted)
2022,nonEV,new,False,176.77,EValuateNY first appearances (ZIP-weighted)
2022,nonEV,new,True,3524.75,EValuateNY first appearances (ZIP-weighted)
2022,nonEV,used,False,400.83,EValuateNY first appearances (ZIP-weighted)
2022,nonEV,used,True,2211.58,EValuateNY first appearances (ZIP-weighted)
2023,BEV,new,True,83.72,EValuateNY first appearances (ZIP-weighted)
2023,BEV,used,True,5.0,EValuateNY first appearances (ZIP-weighted)
2023,PHEV,new,True,69.64,EValuateNY first appearances (ZIP-weighted)
2023,PHEV,used,True,4.0,EValuateNY first appearances (ZIP-weighted)
2023,nonEV,new,False,58.09,EValuateNY first appearances (ZIP-weighted)
2023,nonEV,new,True,961.47,EValuateNY first appearances (ZIP-weighted)
2023,nonEV,used,False,54.4,EValuateNY first appearances (ZIP-weighted)
2023,nonEV,used,True,548.6,EValuateNY first appearances (ZIP-weighted)
2025,BEV,new,True,258.0,DMV transactions ORIGINAL (12 months ending Aug)
2025,BEV,used,True,124.0,DMV transactions ORIGINAL (12 months ending Aug)
2025,PHEV,new,True,107.0,DMV transactions ORIGINAL (12 months ending Aug)
2025,PHEV,used,True,77.0,DMV transactions ORIGINAL (12 months ending Aug)
2025,nonEV,new,True,2561.0,DMV transactions ORIGINAL (12 months ending Aug)
2025,nonEV,used,True,8086.0,DMV transactions ORIGINAL (12 months ending Aug)
2026,BEV,new,True,204.0,DMV transactions ORIGINAL (12 months ending Aug)
2026,BEV,used,True,153.0,DMV transactions ORIGINAL (12 months ending Aug)
2026,PHEV,new,True,40.0,DMV transactions ORIGINAL (12 months ending Aug)
2026,PHEV,used,True,101.0,DMV transactions ORIGINAL (12 months ending Aug)
2026,nonEV,new,True,2384.0,DMV transactions ORIGINAL (12 months ending Aug)
2026,nonEV,used,True,7902.0,DMV transactions ORIGINAL (12 months ending Aug)
