COUNTYFP,status_code,access_code,stations,l1,l2,dcfc,ports
001,E,private,13,3,50,0,53
001,E,public,457,0,1420,145,1565
001,T,public,7,0,24,7,31
003,E,public,11,0,23,14,37
005,E,private,6,4,31,0,35
005,E,public,48,0,264,52,316
005,P,public,5,0,120,0,120
005,T,public,3,0,22,9,31
007,E,private,2,0,3,0,3
007,E,public,50,0,191,66,257
007,T,public,2,0,2,1,3
009,E,public,21,2,73,22,97
011,E,private,1,0,4,0,4
011,E,public,27,0,82,9,91
013,E,private,3,2,3,0,5
013,E,public,36,0,63,47,110
013,T,public,2,0,4,2,6
015,E,private,1,0,1,0,1
015,E,public,21,0,55,39,94
017,E,private,1,0,2,0,2
017,E,public,3,0,10,4,14
017,T,public,1,0,1,0,1
019,E,private,3,0,13,2,15
019,E,public,46,0,106,54,160
019,T,public,2,0,4,0,4
021,E,private,2,0,8,0,8
021,E,public,48,0,142,10,152
021,T,public,2,0,4,0,4
023,E,public,20,4,50,22,76
023,T,public,2,0,6,0,6
025,E,private,1,0,4,0,4
025,E,public,22,0,53,19,72
025,T,public,1,0,4,0,4
027,E,private,7,0,25,0,25
027,E,public,140,0,420,107,527
027,P,public,1,0,2,0,2
027,T,public,2,0,4,0,4
029,E,private,10,0,48,4,52
029,E,public,331,2,974,141,1117
029,T,public,3,0,5,0,5
031,E,private,1,2,0,0,2
031,E,public,81,0,181,52,233
033,E,private,2,0,2,0,2
033,E,public,28,0,57,7,64
035,E,private,1,0,1,0,1
035,E,public,19,0,53,14,67
035,T,public,1,0,4,0,4
037,E,public,28,0,96,34,130
037,T,public,2,0,10,8,18
039,E,public,29,0,110,17,127
041,E,private,1,0,4,0,4
041,E,public,11,0,31,0,31
041,T,public,1,0,0,4,4
043,E,public,25,0,54,17,71
045,E,private,3,0,31,0,31
045,E,public,29,0,90,43,133
045,T,public,1,0,4,0,4
047,E,private,11,0,84,2,86
047,E,public,170,0,659,156,815
047,P,public,3,0,164,0,164
047,T,public,2,0,6,0,6
049,E,public,9,0,22,0,22
051,E,public,44,0,92,30,122
053,E,private,1,0,4,0,4
053,E,public,43,0,102,26,128
053,T,public,1,0,4,0,4
055,E,private,8,0,20,20,40
055,E,public,409,0,1238,152,1390
055,T,public,3,0,14,0,14
057,E,public,22,0,78,14,92
057,T,public,1,0,2,0,2
059,E,private,26,6,156,0,162
059,E,public,197,0,574,252,826
059,T,public,7,0,18,12,30
061,E,private,12,0,57,0,57
061,E,public,388,0,1604,62,1666
061,P,public,13,0,50,0,50
061,T,public,10,0,29,1,30
063,E,private,6,0,17,0,17
063,E,public,50,0,153,29,182
063,P,public,1,0,6,0,6
063,T,public,2,0,6,0,6
065,E,private,6,0,84,0,84
065,E,public,112,0,345,47,392
065,T,public,2,0,14,0,14
067,E,private,14,0,46,0,46
067,E,public,257,0,940,156,1096
067,P,public,2,0,16,0,16
067,T,public,6,0,33,0,33
069,E,private,2,0,6,0,6
069,E,public,96,0,295,64,359
069,P,public,1,0,6,0,6
071,E,private,6,1,156,0,157
071,E,public,102,0,301,98,399
071,P,public,1,0,0,4,4
073,E,private,2,2,6,0,8
073,E,public,5,0,18,0,18
075,E,private,2,0,5,0,5
075,E,public,41,0,113,46,159
075,T,public,2,0,6,0,6
077,E,private,1,0,1,0,1
077,E,public,38,0,91,20,111
079,E,private,1,0,2,0,2
079,E,public,19,0,55,14,69
081,E,private,12,0,101,0,101
081,E,public,192,0,917,172,1089
081,T,public,6,0,13,3,16
083,E,private,3,0,22,0,22
083,E,public,132,0,364,33,397
083,P,private,1,0,2,0,2
083,P,public,1,0,20,0,20
083,T,public,4,0,13,0,13
085,E,private,2,1,3,0,4
085,E,public,33,0,63,33,96
085,P,public,1,0,20,0,20
085,T,public,1,0,0,1,1
087,E,private,5,0,15,0,15
087,E,public,182,0,710,66,776
087,P,public,1,0,0,2,2
087,T,public,1,0,4,0,4
089,E,private,6,2,9,0,11
089,E,public,40,1,123,19,143
091,E,private,3,2,5,0,7
091,E,public,231,1,688,82,771
091,T,public,7,0,14,4,18
093,E,public,124,0,534,32,566
093,T,public,2,0,12,0,12
095,E,public,12,0,59,12,71
097,E,public,12,0,40,4,44
097,T,public,1,0,4,0,4
099,E,public,22,0,54,20,74
101,E,private,1,0,6,0,6
101,E,public,34,0,105,44,149
101,T,public,1,0,10,0,10
103,E,private,36,10,103,1,114
103,E,public,381,0,889,383,1272
103,T,public,18,0,44,2,46
105,E,public,28,0,92,20,112
107,E,private,1,0,2,0,2
107,E,public,6,0,13,12,25
109,E,private,5,0,9,2,11
109,E,public,99,0,237,40,277
109,T,public,1,0,2,0,2
111,E,private,7,0,28,0,28
111,E,public,131,0,383,104,487
111,P,public,2,0,5,0,5
111,T,public,6,0,10,4,14
113,E,public,91,1,282,43,326
115,E,private,1,0,2,0,2
115,E,public,5,0,13,0,13
117,E,private,1,0,2,0,2
117,E,public,22,0,68,6,74
117,P,public,1,0,0,4,4
119,E,private,19,0,102,0,102
119,E,public,316,0,1302,172,1474
119,P,public,1,0,4,0,4
119,T,public,11,0,28,0,28
121,E,public,6,0,12,0,12
123,E,public,9,0,18,4,22
