anonymized_project_id,data_through_date,charge_ready_ny_funding,of_l2_ports,contractor_applicant,equipment_owner,site_name,address,city,state,zip,disadvantaged_community,county,location_type,installation_activation_date,evse_manufacturer,evse_model,network_service_provider,local_utility,solicitation
56A260F38E53CE12C012D52A07908D7966D69E4F5ECBF7043EB7681EEBF1A5E2,2026-08-31T00:00:00.000,12000,6,Green Team Lighting,Dryden Mutual Insurance Company,Dryden Mutual Insurance Company,12 Ellis Drive,Dryden,New York,13053,Outside a DAC,Tompkins,Workplace,2024-10-11T00:00:00.000,Integra Energy,IE-IC3-32A-H,Integra Energy,NYS Electric and Gas,Charge Ready NY 2.0
C92B31F4CED2C13AD9DBA906EF89187C11F083C1760106B0BE11AFE3D3EDC785,2026-08-31T00:00:00.000,8000,2,Village of Dryden,Village of Dryden,Village of Dryden,18 South Street,Dryden,New York,13053,Outside a DAC,Tompkins,Public,2021-02-18T00:00:00.000,EVBox,B2323 Networked Dual Unit,EV Connect Inc.,NYS Electric and Gas,Charge Ready NY
D2AFB7023CB97341A1DE032AB72AF05C271F6F1A1C94359C7F8B1E4F335B0D2C,2026-08-31T00:00:00.000,8000,2,Town of Dryden,Town OF Dryden,Dryden Town Hall,93 East Main Street,Dryden,New York,13053,Outside a DAC,Tompkins,Public,2020-08-05T00:00:00.000,ChargePoint,CT4000 (Dual),ChargePoint,NYS Electric and Gas,Charge Ready NY
51D6F1EE75F65AB51A26FC75B2E6D3ADF32EC9D3375A9257DF28E61A833EB944,2026-08-31T00:00:00.000,24000,6,Luck Grove Construction,NYS Grange,NYS Grange,100 Grange Place,Cortland,New York,13045,Inside a DAC,Tompkins,Public,2023-10-17T00:00:00.000,Integra Energy,IE-IC3-32A-H,Integra Energy,National Grid,Charge Ready NY 2.0
FDEDA02C8E3B0C2C5066321237AA65EAAEAB8DF57C3EFB72546FAE34974D9D39,2026-08-31T00:00:00.000,80000,20,Ecovillage at Ithaca Village Association,Ecovillage at Ithaca Village Association,Ecovillage at Ithaca,100 Rachel Carson Way,Ithaca,New York,14850,Outside a DAC,Tompkins,MUD,2020-01-02T00:00:00.000,Enel X,JuiceBox Pro 40C (Non-Networked),N/A,NYS Electric and Gas,Charge Ready NY
5688C396944D96714ED77E4316A98FBB6EEED6F2978047D48A5E0FBA57A0C3B2,2026-08-31T00:00:00.000,8000,4,PlugIn Stations Online,Chester Heights Equity LLC,Summerhill Townhouses,114 Summerhill Drive,Ithaca,New York,14850,Outside a DAC,Tompkins,MUD,2024-04-04T00:00:00.000,Zerova,AXLU111001 (AX 48A),SWTCH Energy Inc.,NYS Electric and Gas,Charge Ready NY 2.0
C100E80708FE0D5B61E914B2CB9C68239C1CDC3A5395713AE6147B318A207399,2026-08-31T00:00:00.000,8000,4,PlugIn Stations Online,Chester Heights Equity LLC,Summerhill Townhouses 503,503 Summerhill Drive,Ithaca,New York,14850,Outside a DAC,Tompkins,MUD,2024-05-10T00:00:00.000,Zerova,AXLU111001 (AX 48A),SWTCH Energy Inc.,NYS Electric and Gas,Charge Ready NY 2.0
FE9A4C96FFF5CD08C8B5BD7CCC15E73D25CA8C3C1ECA4AA6B308C63B6D0B77BE,2026-08-31T00:00:00.000,16000,4,TST BOCES,Tompkins-Seneca-Tioga BOCES,TST BOCES Ithaca,555 Warren Road,Ithaca,New York,14850,Outside a DAC,Tompkins,Workplace,2020-08-27T00:00:00.000,EVBox,B2320-65063-EVC-04 (Dual),EV Connect Inc.,NYS Electric and Gas,Charge Ready NY
498FEA00DD2D4B8B227D6D6A6B07F9F52AFE255CB81F23F2E051B39205B0D39F,2026-08-31T00:00:00.000,8000,2,Cornell Cooperative Extension Association of Tompkins County,Cornell Cooperative Extension Association of Tompkins County,Cornell Cooperative Extension Association of Tompkins County,615 Willow Avenue,Ithaca,New York,14850,Outside a DAC,Tompkins,Workplace,2020-11-02T00:00:00.000,ChargePoint,CT4000 (Dual),ChargePoint,NYS Electric and Gas,Charge Ready NY
FA94E6CFA39E26FD62293B8252BAC06735C74F7531AAD8B4BB1CCE68B1A4BD5D,2026-08-31T00:00:00.000,24000,6,Longhouse Cooperatiive Inc,Longhouse,Longhouse,772 Elm Street Ext.,Ithaca,New York,14850,Outside a DAC,Tompkins,MUD,2021-02-28T00:00:00.000,Enel X,JuiceBox Pro 40C (Non-Networked),N/A,NYS Electric and Gas,Charge Ready NY
E524205581F5CEBE3A01D0BC205109ECCB9D7EC45BE900CA9BD2065006520096,2026-08-31T00:00:00.000,16000,4,"Ahir Hotels, LLC","Ahir Hotels, LLC",Springwater Inn,1083 Dryden Rd,Ithaca,New York,14850,Outside a DAC,Tompkins,MUD,2025-11-04T00:00:00.000,Autel,CSEV- AC-DP,ChargeSmart EV,NYS Electric and Gas,Charge Ready NY 2.0
893C150517B736316DE3FB61F78B39462F68E64B3888194D9C65F88D9772E001,2026-08-31T00:00:00.000,8000,2,"Slaterville Springs Real Estate Company, LLC",Slaterville Springs Real Estate Company,Finger Lakes Dermatology,2141 Dryden Rd,Freeville,New York,13068,Outside a DAC,Tompkins,Public,2020-01-04T00:00:00.000,EVoCharge,EVoIntelligent iEVSE (Dual),EV Connect Inc.,NYS Electric and Gas,Charge Ready NY
