id,station_name,street_address,city,zip,status_code,access_code,access_detail_code,facility_type,owner_type_code,ev_network,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_num,ports_total,ev_connector_types,ev_pricing,ev_workplace_charging,open_date,date_last_confirmed,updated_at,latitude,longitude,COUNTYFP
44339,Maguire Family of Dealerships,504 S Meadow St,Ithaca,14850,E,private,,CAR_DEALER,P,Non-Networked,0,1,0,1,['J1772'],,False,2011-11-30,2024-02-12,2025-02-12T00:16:32Z,42.435042,-76.5088,109
114957,La Tourelle Hotel & Spa - Tesla Destination,1150 Danby Rd,Ithaca,14850,E,public,,HOTEL,P,Tesla Destination,0,2,0,2,['TESLA'],Free,False,2016-12-12,2026-08-27,2026-08-27T18:11:53Z,42.401672,-76.502904,109
114959,William Henry Miller Inn - Tesla Destination,303 N Aurora St,Ithaca,14850,E,public,,INN,P,Tesla Destination,0,1,0,1,['TESLA'],Free,False,2016-03-08,2026-08-27,2026-08-27T18:11:53Z,42.441678,-76.49534,109
117739,Maguire Chevrolet,35 Cinema Dr,Ithaca,14850,E,public,CALL,CAR_DEALER,P,Non-Networked,0,2,1,3,"['J1772', 'J1772COMBO']",Free,False,2019-01-01,2024-03-14,2025-02-12T00:16:32Z,42.480929,-76.477605,109
123135,Allan H. Treman State Park,805 Taughannock Blvd. (Rt 89),Ithaca,14850,E,public,,,,EV Connect,0,4,0,4,['J1772'],,False,2019-04-01,2026-09-14,2026-09-14T03:49:21Z,42.458261,-76.520092,109
123137,Cayuga Heights,"836 Hanshaw Rd,",Ithaca,14850,E,public,,,,EV Connect,0,2,0,2,['J1772'],,False,2019-04-01,2026-09-14,2026-09-14T03:49:17Z,42.469472,-76.478871,109
149318,"Ithaca, NY - Tesla Supercharger",740 South Meadow Street,Ithaca,14850,E,public,,SHOPPING_CENTER,P,Tesla,0,0,8,8,['TESLA'],,False,2019-07-24,2026-06-18,2026-06-18T14:46:21Z,42.428608,-76.509113,109
157971,Maguire Family of Dealerships,370 Elmira Rd,Ithaca,14850,E,private,,CAR_DEALER,P,Non-Networked,0,0,2,2,['J1772COMBO'],,False,2020-05-15,2024-05-09,2025-02-12T00:16:32Z,42.422535,-76.518884,109
162227,NORTH WOOD STATION 1,700 Warren Rd,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:12:54Z,42.486806,-76.470601,109
162263,ITHACA VISITORS COLLEGE CIRCLE,College Cir,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:11:35Z,42.411718,-76.500837,109
162290,HOLT1 HOLT,671-699 W State St,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:09:42Z,42.439069,-76.510104,109
