parcel,E_ev,peak_kw_p50,peak_kw_p90,prob_any_ev_charging
50070000300000010030000000,0.258,0.0,7.2,0.3
50070000300000010040000000,0.03,0.0,0.14,0.1
50070000300000010050000000,0.064,0.0,0.0,0.033
50070000300000010060000000,0.296,0.0,3.24,0.133
50070000300000010100000000,0.089,0.0,0.0,0.033
50070000300000010110000000,0.258,0.0,7.2,0.233
50070000300000010120000000,0.139,0.0,0.0,0.033
50070000300000010130000000,0.139,0.0,3.24,0.133
50070000300000010150000000,0.139,0.0,0.0,0.067
50070000300000010170000000,0.082,0.0,0.0,0.033
50070000300000010190000000,0.062,0.0,0.0,0.033
50070000300000010200000000,0.116,0.0,0.0,0.067
50070000300000010210000000,0.082,0.0,2.8,0.2
50070000300000010220000000,0.082,0.0,0.0,0.0
50070000300000020040000000,0.064,0.0,0.0,0.033
50070000300000020070000000,0.199,0.0,2.8,0.2
50070000300000020080000000,0.039,0.0,0.0,0.033
50070000300000020090000000,0.064,0.0,0.28,0.1
50070000300000020100000000,0.125,0.0,0.0,0.067
50070000300000020120020000,0.139,0.0,0.0,0.067
50070000300000020130000000,0.139,0.0,1.465,0.133
50070000300000020140000000,0.062,0.0,0.0,0.0
50070000300000020150000000,0.091,0.0,2.8,0.133
50070000300000030030000000,0.154,0.0,0.36,0.1
50070000300000030040000000,0.054,0.0,0.0,0.033
50070000400000010010010000,0.084,0.0,0.28,0.1
50070000400000010010020000,0.135,0.0,0.28,0.1
50070000400000010030000000,0.187,0.0,3.24,0.167
50070000400000010040000000,0.055,0.0,0.0,0.033
50070000400000010060000000,0.084,0.0,0.0,0.0
50070000400000020020010000,0.145,0.0,0.28,0.1
50070000400000020050000000,0.212,0.0,7.29,0.167
50070000400000020070010000,0.075,0.0,0.0,0.0
50070000400000020080000000,0.193,0.0,2.8,0.133
50070000500000020010000000,0.097,0.0,0.0,0.067
50070000500000020020000000,0.068,0.0,0.0,0.067
50070000500000020030000000,0.097,0.0,0.0,0.033
50070000500000020040000000,0.13,0.0,1.54,0.133
50070000500000020050000000,0.244,0.0,3.96,0.167
50070000500000020060000000,0.168,0.0,0.28,0.1
50070000500000020070000000,0.219,0.0,2.8,0.2
50070000500000020080000000,0.466,0.0,10.984,0.333
50070000500000020090000000,0.092,0.0,0.0,0.0
50070000500000020100010000,0.227,0.0,3.6,0.267
50070000600000010020010000,0.252,0.0,7.2,0.233
50070000600000010040000000,0.336,0.0,0.36,0.1
50070000600000020030000000,0.242,0.0,7.2,0.167
50070000700000010010000000,0.165,0.0,2.8,0.133
50070000700000010030000000,0.124,0.0,1.676,0.133
50070000700000030040000000,0.252,0.0,2.8,0.167
50070000700000030050000000,1.558,0.0,11.16,0.467
50070000700000030060000000,0.183,0.0,7.166,0.233
50070000700000040010000000,0.027,0.0,0.0,0.033
50070000700000040050000000,0.0,0.0,0.0,0.0
50070000800000010010000000,0.338,0.0,0.0,0.033
50070000800000010020000000,0.064,0.0,0.0,0.067
50070000800000010030000000,0.073,0.0,2.8,0.133
50070000800000010040000000,0.097,0.0,0.0,0.0
50070000800000010060000000,0.0,0.0,0.0,0.0
50070000800000010070000000,0.027,0.0,0.0,0.067
50070000800000040030000000,0.054,0.0,0.28,0.1
50070000800000040050000000,0.025,0.0,0.0,0.0
50070000800000040060000000,0.027,0.0,0.0,0.033
50070000800000040070000000,0.178,0.0,0.36,0.1
50070000800000040080000000,0.122,0.0,0.0,0.0
50070000800000050010000000,0.0,0.0,0.0,0.0
50070000800000050020000000,0.027,0.0,0.0,0.033
50070000800000050030000000,0.064,0.0,0.0,0.067
50070000800000050040000000,0.027,0.0,0.0,0.067
50070000800000050050000000,0.037,0.0,0.0,0.0
50070000800000050060000000,0.039,0.0,0.0,0.0
50070000800000050070000000,0.046,0.0,0.0,0.033
50070000800000050080000000,0.037,0.0,0.0,0.033
50070000800000050090000000,0.027,0.0,0.0,0.0
50070000800000050100000000,0.027,0.0,0.0,0.067
50070000800000050110000000,0.027,0.0,0.0,0.0
50070000800000060020000000,0.027,0.0,0.0,0.0
50070000800000060030000000,0.054,0.0,0.0,0.033
50070000800000060040000000,0.025,0.0,0.0,0.033
50070000900000010030000000,0.0,0.0,0.0,0.0
50070000900000010050000000,0.027,0.0,0.0,0.0
50070000900000010060000000,0.027,0.0,0.0,0.0
50070000900000010070000000,0.027,0.0,0.0,0.0
50070000900000010080000000,0.046,0.0,0.0,0.033
50070000900000020020000000,0.28,0.0,3.698,0.133
50070000900000020050000000,0.289,0.0,3.6,0.133
50070000900000030010000000,0.025,0.0,0.0,0.0
50070000900000030020000000,0.0,0.0,0.0,0.0
50070000900000030030000000,0.027,0.0,0.0,0.0
50070000900000030040000000,0.054,0.0,0.0,0.033
