# Source: NYSERDA Report 22-03, Figure 18 (p. 38), weekday % of plugs actively charging, values read from figure (+-1-2 pp, +-1 h).
# Transcribed in docs/source_notes/nyserda_22-03_charging_usage.md section 3.4. Evidence class B (NY observation, summary figure).
land_use,year,hour,pct_charging
workplace,2018,0,1
workplace,2018,3,0.5
workplace,2018,6,1
workplace,2018,9,21
workplace,2018,12,12
workplace,2018,15,8.5
workplace,2018,18,5
workplace,2018,21,2
workplace,2019,0,1
workplace,2019,3,0.5
workplace,2019,6,1
workplace,2019,9,20
workplace,2019,12,14.5
workplace,2019,15,11
workplace,2019,18,6
workplace,2019,21,2.5
public,2018,0,2
public,2018,3,1.2
public,2018,6,1
public,2018,9,15
public,2018,12,10
public,2018,15,8
public,2018,18,6.5
public,2018,21,6.5
public,2019,0,1.5
public,2019,3,1
public,2019,6,1
public,2019,9,11
public,2019,12,8.5
public,2019,15,7
public,2019,18,6
public,2019,21,4
mud,2018,0,6
mud,2018,3,3
mud,2018,6,1.5
mud,2018,9,1
mud,2018,12,2.5
mud,2018,15,3
mud,2018,18,5
mud,2018,21,6.5
mud,2019,0,5
mud,2019,3,2
mud,2019,6,1
mud,2019,9,1.5
mud,2019,12,3
mud,2019,15,4.5
mud,2019,18,6
mud,2019,21,6.5
