parameter,domain,unit_of_analysis,n,k,n_weighted,kish_n_eff,estimate_weighted,ci95_lo,ci95_hi,ci_method,estimate_unweighted,source_dataset,source_variables,evidence_class,notes
share_MF_households_with_ge1_EV,NY statewide,household,156,8.0,139.0,93.5,0.0294,0.0078,0.0581,"bootstrap percentile, weighted (weights fixed)",0.0513,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,size=1-3 floors,household,70,2.0,69.0,47.0,0.0321,0.0,0.0837,"bootstrap percentile, weighted (weights fixed)",0.0286,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,size=4-7 floors,household,51,2.0,51.0,36.7,0.018,0.0,0.0494,"bootstrap percentile, weighted (weights fixed)",0.0392,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,size=8+ floors,household,19,2.0,19.0,13.9,0.0783,0.0,0.1973,"bootstrap percentile, weighted (weights fixed)",0.1053,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,region=ConEd,household,57,2.0,57.0,44.7,0.0095,0.0,0.025,"bootstrap percentile, weighted (weights fixed)",0.0351,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,region=Upstate (NationalGrid+NYSEG+RG&E),household,60,1.0,60.0,43.9,0.0135,0.0,0.0428,"bootstrap percentile, weighted (weights fixed)",0.0167,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,region=NYSEG+RG&E,household,17,0.0,17.0,15.2,0.0,0.0,0.1843,Wilson on unweighted k/n,0.0,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,own=Market-rate rental,household,53,2.0,53.0,37.1,0.0244,0.0,0.0661,"bootstrap percentile, weighted (weights fixed)",0.0377,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,own=Affordable subsidized,household,25,1.0,25.0,19.2,0.058,0.0,0.1941,"bootstrap percentile, weighted (weights fixed)",0.04,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,own=Affordable census block/NOAH,household,37,1.0,37.0,28.4,0.0231,0.0,0.0767,"bootstrap percentile, weighted (weights fixed)",0.027,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,own=Co-op/condo,household,24,2.0,24.0,21.6,0.0457,0.0,0.126,"bootstrap percentile, weighted (weights fixed)",0.0833,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,tenure=rent,household,119,6.0,102.0,67.5,0.0321,0.0045,0.0684,"bootstrap percentile, weighted (weights fixed)",0.0504,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
share_MF_households_with_ge1_EV,tenure=own,household,34,1.0,34.0,24.3,0.0114,0.0,0.0398,"bootstrap percentile, weighted (weights fixed)",0.0294,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,g15; strata building_size/ownership_type/iou; g5,B,2022-23; BEV+PHEV not distinguished; n tiny; 3 of 8 EV households report 'Three or more' EVs
