scenario,year,drivers,income,urbanity,size_class,powertrain,mwh
reference,2024,Single_Driver,High_Income,Rural,Compact,BEV_100,0.0
reference,2024,Single_Driver,High_Income,Rural,Compact,BEV_300,0.0
reference,2024,Single_Driver,High_Income,Rural,Compact,PHEV_25,0.0
reference,2024,Single_Driver,High_Income,Rural,Compact,PHEV_50,0.0
reference,2024,Single_Driver,High_Income,Rural,Midsize,BEV_100,0.0
reference,2024,Single_Driver,High_Income,Rural,Midsize,BEV_300,0.0
reference,2024,Single_Driver,High_Income,Rural,Midsize,PHEV_25,0.0
reference,2024,Single_Driver,High_Income,Rural,Midsize,PHEV_50,0.0
reference,2024,Single_Driver,High_Income,Rural,Pickup,BEV_100,0.0
reference,2024,Single_Driver,High_Income,Rural,Pickup,BEV_300,0.0
reference,2024,Single_Driver,High_Income,Rural,Pickup,PHEV_25,0.0
reference,2024,Single_Driver,High_Income,Rural,Pickup,PHEV_50,0.0
reference,2024,Single_Driver,High_Income,Rural,SUV,BEV_100,0.0
reference,2024,Single_Driver,High_Income,Rural,SUV,BEV_300,0.0
reference,2024,Single_Driver,High_Income,Rural,SUV,PHEV_25,0.0
reference,2024,Single_Driver,High_Income,Rural,SUV,PHEV_50,0.0
reference,2024,Single_Driver,High_Income,Second_City,Compact,BEV_100,0.0
reference,2024,Single_Driver,High_Income,Second_City,Compact,BEV_300,0.0
reference,2024,Single_Driver,High_Income,Second_City,Compact,PHEV_25,0.0
reference,2024,Single_Driver,High_Income,Second_City,Compact,PHEV_50,0.0
reference,2024,Single_Driver,High_Income,Second_City,Midsize,BEV_100,0.0
reference,2024,Single_Driver,High_Income,Second_City,Midsize,BEV_300,0.0
reference,2024,Single_Driver,High_Income,Second_City,Midsize,PHEV_25,32.2214791212678
reference,2024,Single_Driver,High_Income,Second_City,Midsize,PHEV_50,0.0
reference,2024,Single_Driver,High_Income,Second_City,Pickup,BEV_100,0.0
reference,2024,Single_Driver,High_Income,Second_City,Pickup,BEV_300,0.0
reference,2024,Single_Driver,High_Income,Second_City,Pickup,PHEV_25,42.62385164880752
reference,2024,Single_Driver,High_Income,Second_City,Pickup,PHEV_50,0.0
reference,2024,Single_Driver,High_Income,Second_City,SUV,BEV_100,0.0
reference,2024,Single_Driver,High_Income,Second_City,SUV,BEV_300,118.27191149795055
reference,2024,Single_Driver,High_Income,Second_City,SUV,PHEV_25,36.47694278633595
reference,2024,Single_Driver,High_Income,Second_City,SUV,PHEV_50,44.95773716843129
