src_year,month,day,hour_ending,t_drybulb_c,rh_pct,ghi_wh_m2,wind_ms,hour_of_year,hour
2012,1,1,1,4.0,87,0,1.5,0,0
2012,1,1,2,3.3,96,0,0.0,1,1
2012,1,1,3,4.2,100,0,0.0,2,2
2012,1,1,4,4.0,97,0,0.0,3,3
2012,1,1,5,3.0,100,0,1.5,4,4
2012,1,1,6,3.3,85,0,4.1,5,5
2012,1,1,7,3.0,87,0,2.6,6,6
2012,1,1,8,3.3,82,0,7.2,7,7
2012,1,1,9,2.9,79,29,6.7,8,8
2012,1,1,10,3.8,79,79,7.2,9,9
2012,1,1,11,5.5,73,139,9.3,10,10
2012,1,1,12,5.0,66,225,8.8,11,11
2012,1,1,13,7.0,63,332,7.7,12,12
2012,1,1,14,8.8,61,333,7.7,13,13
2012,1,1,15,7.7,68,180,9.3,14,14
2012,1,1,16,7.7,71,80,7.7,15,15
2012,1,1,17,7.2,73,41,7.7,16,16
2012,1,1,18,6.6,76,3,6.2,17,17
2012,1,1,19,7.0,76,0,6.7,18,18
2012,1,1,20,6.0,87,0,5.7,19,19
2012,1,1,21,7.0,81,0,4.6,20,20
2012,1,1,22,5.0,75,0,10.3,21,21
2012,1,1,23,4.4,66,0,5.7,22,22
2012,1,1,24,3.5,68,0,2.6,23,23
2012,1,2,1,2.8,62,0,7.2,24,0
2012,1,2,2,1.9,63,0,3.6,25,1
2012,1,2,3,1.7,67,0,4.6,26,2
2012,1,2,4,1.3,54,0,7.7,27,3
2012,1,2,5,0.8,54,0,7.7,28,4
2012,1,2,6,0.1,63,0,5.1,29,5
2012,1,2,7,-1.0,55,0,7.2,30,6
2012,1,2,8,-1.6,68,0,5.1,31,7
2012,1,2,9,-1.1,69,42,4.6,32,8
2012,1,2,10,-0.5,62,136,6.2,33,9
2012,1,2,11,0.1,63,237,7.2,34,10
2012,1,2,12,0.2,72,301,7.2,35,11
2012,1,2,13,0.3,57,353,4.1,36,12
2012,1,2,14,0.4,60,343,7.2,37,13
2012,1,2,15,0.3,60,266,6.2,38,14
2012,1,2,16,-1.1,54,175,7.7,39,15
2012,1,2,17,-2.2,59,67,6.7,40,16
2012,1,2,18,-3.3,69,9,6.7,41,17
2012,1,2,19,-3.3,65,0,4.6,42,18
2012,1,2,20,-3.8,79,0,6.2,43,19
2012,1,2,21,-4.4,75,0,4.1,44,20
2012,1,2,22,-4.4,68,0,6.7,45,21
2012,1,2,23,-4.0,65,0,6.2,46,22
2012,1,2,24,-6.0,77,0,6.7,47,23
2012,1,3,1,-7.0,84,0,5.7,48,0
2012,1,3,2,-8.8,71,0,7.7,49,1
2012,1,3,3,-9.4,70,0,6.7,50,2
2012,1,3,4,-10.0,76,0,5.7,51,3
2012,1,3,5,-11.0,60,0,7.2,52,4
2012,1,3,6,-11.0,63,0,9.8,53,5
2012,1,3,7,-11.0,70,0,8.8,54,6
2012,1,3,8,-11.1,67,0,5.7,55,7
2012,1,3,9,-11.6,73,28,6.7,56,8
2012,1,3,10,-11.1,70,102,6.7,57,9
2012,1,3,11,-10.5,63,180,8.2,58,10
2012,1,3,12,-11.1,67,241,5.1,59,11
2012,1,3,13,-11.6,56,282,4.6,60,12
2012,1,3,14,-12.0,54,324,4.1,61,13
2012,1,3,15,-12.0,56,300,5.1,62,14
2012,1,3,16,-12.0,58,184,6.7,63,15
2012,1,3,17,-13.0,58,71,7.2,64,16
2012,1,3,18,-14.0,69,9,4.6,65,17
2012,1,3,19,-14.4,77,0,4.1,66,18
2012,1,3,20,-14.0,69,0,3.1,67,19
2012,1,3,21,-15.5,69,0,4.6,68,20
2012,1,3,22,-15.5,73,0,3.1,69,21
2012,1,3,23,-16.1,73,0,2.6,70,22
2012,1,3,24,-17.2,81,0,1.5,71,23
2012,1,4,1,-17.0,83,0,1.5,72,0
2012,1,4,2,-17.0,83,0,2.1,73,1
2012,1,4,3,-17.0,83,0,1.5,74,2
2012,1,4,4,-17.7,80,0,0.0,75,3
2012,1,4,5,-15.5,77,0,2.1,76,4
2012,1,4,6,-15.0,73,0,1.5,77,5
2012,1,4,7,-16.0,75,0,0.0,78,6
2012,1,4,8,-15.0,73,0,3.1,79,7
2012,1,4,9,-13.8,73,41,3.1,80,8
2012,1,4,10,-12.2,70,139,3.1,81,9
2012,1,4,11,-9.4,60,225,5.1,82,10
2012,1,4,12,-8.3,58,245,4.1,83,11
2012,1,4,13,-7.2,56,270,5.1,84,12
2012,1,4,14,-6.1,53,245,3.1,85,13
2012,1,4,15,-5.5,53,203,3.6,86,14
2012,1,4,16,-6.1,50,165,2.6,87,15
2012,1,4,17,-7.2,58,64,3.1,88,16
2012,1,4,18,-6.1,56,6,3.6,89,17
2012,1,4,19,-6.6,58,0,2.6,90,18
2012,1,4,20,-5.5,55,0,3.1,91,19
2012,1,4,21,-5.5,55,0,3.1,92,20
2012,1,4,22,-5.0,56,0,2.6,93,21
2012,1,4,23,-5.0,59,0,2.1,94,22
2012,1,4,24,-4.0,54,0,2.6,95,23
2012,1,5,1,-4.4,65,0,1.5,96,0
2012,1,5,2,-3.8,65,0,2.1,97,1
2012,1,5,3,-3.8,72,0,0.0,98,2
2012,1,5,4,-3.8,75,0,2.1,99,3
2012,1,5,5,-3.8,79,0,0.0,100,4
2012,1,5,6,-3.0,77,0,2.6,101,5
2012,1,5,7,-3.0,77,0,2.6,102,6
2012,1,5,8,-2.7,75,0,2.1,103,7
2012,1,5,9,-1.6,68,33,3.1,104,8
2012,1,5,10,-1.6,75,113,4.6,105,9
2012,1,5,11,-2.2,69,185,3.6,106,10
2012,1,5,12,-2.0,67,227,3.1,107,11
2012,1,5,13,-1.6,62,248,6.7,108,12
2012,1,5,14,0.0,75,230,5.7,109,13
2012,1,5,15,-2.7,65,165,2.6,110,14
2012,1,5,16,-3.0,77,95,1.5,111,15
2012,1,5,17,-3.3,83,40,0.0,112,16
2012,1,5,18,-2.7,82,5,0.0,113,17
2012,1,5,19,-2.7,82,0,0.0,114,18
2012,1,5,20,-2.2,79,0,1.5,115,19
2012,1,5,21,-1.6,72,0,2.6,116,20
2012,1,5,22,-1.1,69,0,3.1,117,21
2012,1,5,23,-1.6,72,0,3.1,118,22
2012,1,5,24,-1.1,69,0,3.6,119,23
2012,1,6,1,-1.1,69,0,3.1,120,0
2012,1,6,2,-1.1,69,0,3.6,121,1
2012,1,6,3,-2.2,76,0,3.1,122,2
2012,1,6,4,-1.6,72,0,5.1,123,3
2012,1,6,5,-1.1,69,0,3.1,124,4
2012,1,6,6,-1.6,72,0,3.1,125,5
2012,1,6,7,-1.0,66,0,3.6,126,6
2012,1,6,8,-0.5,66,0,3.1,127,7
2012,1,6,9,2.2,62,49,3.1,128,8
2012,1,6,10,1.8,58,161,3.6,129,9
2012,1,6,11,5.5,54,285,4.1,130,10
2012,1,6,12,7.2,50,371,3.6,131,11
2012,1,6,13,9.4,47,369,6.2,132,12
2012,1,6,14,10.5,44,342,4.6,133,13
2012,1,6,15,9.6,39,307,4.1,134,14
2012,1,6,16,11.1,42,204,4.1,135,15
2012,1,6,17,8.8,47,81,3.6,136,16
2012,1,6,18,8.3,51,11,4.6,137,17
2012,1,6,19,5.9,48,0,2.1,138,18
2012,1,6,20,5.0,58,0,1.5,139,19
2012,1,6,21,4.4,61,0,1.5,140,20
2012,1,6,22,3.8,61,0,0.0,141,21
2012,1,6,23,3.6,74,0,0.0,142,22
2012,1,6,24,3.2,80,0,1.5,143,23
2012,1,7,1,2.8,80,0,1.5,144,0
2012,1,7,2,3.1,81,0,1.5,145,1
2012,1,7,3,2.7,83,0,1.5,146,2
2012,1,7,4,2.2,75,0,2.1,147,3
2012,1,7,5,2.5,70,0,3.1,148,4
2012,1,7,6,2.0,64,0,4.1,149,5
2012,1,7,7,1.6,81,0,3.6,150,6
2012,1,7,8,1.7,62,0,4.1,151,7
2012,1,7,9,2.2,83,30,3.6,152,8
2012,1,7,10,3.6,57,75,2.6,153,9
2012,1,7,11,5.7,53,120,4.1,154,10
2012,1,7,12,6.4,56,180,4.6,155,11
2012,1,7,13,8.8,54,236,3.6,156,12
2012,1,7,14,10.5,48,256,4.6,157,13
2012,1,7,15,9.4,50,241,7.7,158,14
2012,1,7,16,9.2,52,185,7.7,159,15
2012,1,7,17,8.5,54,82,7.7,160,16
2012,1,7,18,5.8,61,12,2.1,161,17
2012,1,7,19,4.4,61,0,2.1,162,18
2012,1,7,20,4.8,69,0,2.6,163,19
2012,1,7,21,4.7,74,0,3.1,164,20
2012,1,7,22,3.3,69,0,4.6,165,21
2012,1,7,23,3.0,68,0,4.1,166,22
2012,1,7,24,3.3,71,0,3.6,167,23
2012,1,8,1,2.7,65,0,7.2,168,0
2012,1,8,2,2.4,70,0,3.6,169,1
2012,1,8,3,2.0,73,0,6.2,170,2
2012,1,8,4,1.7,67,0,5.1,171,3
2012,1,8,5,1.3,66,0,3.6,172,4
2012,1,8,6,0.1,71,0,5.7,173,5
2012,1,8,7,0.0,66,0,5.7,174,6
2012,1,8,8,0.1,63,0,6.2,175,7
2012,1,8,9,-1.1,60,37,4.6,176,8
2012,1,8,10,-0.5,60,107,6.2,177,9
2012,1,8,11,-2.0,64,153,4.6,178,10
2012,1,8,12,0.0,63,174,4.1,179,11
2012,1,8,13,0.2,58,165,6.7,180,12
2012,1,8,14,-2.7,58,141,5.7,181,13
2012,1,8,15,-1.6,68,117,5.1,182,14
2012,1,8,16,-2.2,69,82,4.1,183,15
2012,1,8,17,-3.8,55,42,2.6,184,16
2012,1,8,18,-5.0,56,8,1.5,185,17
2012,1,8,19,-5.0,55,0,1.5,186,18
2012,1,8,20,-7.7,57,0,0.0,187,19
