month,day,t_mean_c,t_min_c,t_max_c
1,1,5.13,2.9,8.8
1,2,-1.12,-6.0,2.8
1,3,-12.12,-17.2,-7.0
1,4,-10.15,-17.7,-4.0
1,5,-2.47,-4.4,0.0
1,6,3.75,-2.2,11.1
1,7,4.68,1.6,10.5
1,8,-2.26,-8.3,2.7
1,9,-0.65,-8.3,4.4
1,10,1.59,0.3,3.4
1,11,1.77,-5.0,6.6
1,12,3.32,0.8,5.0
1,13,-2.78,-7.2,4.0
1,14,-8.95,-13.0,-5.5
1,15,-15.83,-19.4,-12.0
1,16,-7.93,-18.8,0.1
1,17,2.96,-1.0,8.0
1,18,-6.17,-13.3,2.2
1,19,-7.82,-14.4,-3.8
1,20,-10.05,-12.0,-8.0
1,21,-9.93,-16.6,-5.0
1,22,-7.79,-17.7,-1.0
1,23,3.7,-1.1,7.2
1,24,2.93,1.0,6.0
1,25,-1.37,-2.2,1.0
1,26,-0.5,-3.8,1.9
1,27,4.15,1.7,9.4
1,28,1.66,-2.2,5.5
1,29,-0.36,-5.0,2.8
1,30,-2.92,-5.0,-1.1
1,31,5.43,0.0,13.3
2,1,-1.36,-4.4,0.6
2,2,-0.49,-3.3,1.1
2,3,2.85,-1.1,7.2
2,4,2.35,-1.1,5.9
2,5,-2.7,-4.4,0.6
2,6,-0.18,-4.0,1.5
2,7,-4.13,-7.2,0.4
2,8,-8.68,-13.9,-5.0
2,9,-3.23,-12.0,1.6
2,10,2.05,0.6,3.9
2,11,1.39,0.0,2.3
2,12,0.27,-4.4,3.1
2,13,-0.38,-5.6,0.6
2,14,-14.18,-23.9,-7.0
2,15,-11.22,-24.0,-2.8
2,16,-0.61,-6.0,3.3
2,17,-3.3,-9.4,1.1
2,18,1.82,-1.1,3.9
2,19,-2.38,-6.1,1.7
2,20,-7.58,-11.0,-5.6
2,21,-5.76,-12.0,-0.6
2,22,-2.89,-13.3,4.4
2,23,0.78,-8.9,8.3
2,24,5.65,0.3,11.7
2,25,3.99,2.0,7.4
2,26,3.65,1.0,6.7
2,27,-2.43,-6.1,5.0
2,28,-5.05,-7.5,-2.8
3,1,-2.62,-8.2,1.9
3,2,-0.55,-2.2,1.2
3,3,-2.29,-4.0,0.6
3,4,-7.72,-18.3,-4.0
3,5,-12.12,-21.0,-5.0
3,6,-11.64,-14.4,-8.3
3,7,-10.43,-15.6,-6.1
3,8,-8.03,-20.0,1.7
3,9,-3.14,-16.0,5.0
3,10,2.45,-1.0,5.0
3,11,1.57,-2.2,3.9
3,12,-2.78,-8.9,1.1
3,13,0.87,-8.9,7.2
3,14,9.71,3.7,16.1
3,15,12.33,5.7,17.8
3,16,0.6,-3.0,4.4
3,17,-3.67,-8.3,0.9
3,18,-2.8,-8.3,2.4
3,19,-1.94,-9.0,5.0
3,20,3.6,-6.1,11.1
3,21,4.61,3.0,8.3
3,22,1.15,-4.4,3.4
3,23,-2.87,-6.0,1.7
3,24,1.47,-9.0,7.8
3,25,0.01,-4.4,3.3
3,26,-2.35,-7.2,3.0
3,27,1.2,-8.3,9.4
3,28,7.25,0.8,14.4
3,29,6.8,4.4,10.6
3,30,12.79,6.0,18.3
3,31,3.48,-6.0,15.6
