size_bytes,s3_key,county_min,county_max,num_rows
59085755,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2024/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,22781490
118798644,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2026/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,44121820
25706036,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2028/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,9302778
34212001,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2030/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,12376494
44608667,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2032/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,15819060
62506661,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2034/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,19085962
64151229,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2036/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,20227624
73801025,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2038/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,22282624
68375269,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2040/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,22897370
79935282,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2042/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,24003912
76457340,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2044/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,24759160
78070545,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2046/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,26598022
101239659,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2048/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,30066366
99792337,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2050/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,30071588
88048713,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=efs_high_ldv/tempo_project_model_years=2050/state=NY/part-00252-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36109,36117,27792514
48982122,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=ldv_sales_evs_2035/tempo_project_model_years=2024/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,18917398
83205210,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=ldv_sales_evs_2035/tempo_project_model_years=2026/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,31616208
135781946,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=ldv_sales_evs_2035/tempo_project_model_years=2028/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,50725914
22909472,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=ldv_sales_evs_2035/tempo_project_model_years=2030/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,8442140
