snapshot,zips,evs,ev_per_100hh,gini_households,top_decile_hh_share_of_evs,zero_ev_zip_share,elasticity_home_value,slope_ba_share,phi_vs_2023
2011-03-03,1219,1513,0.0199,0.8592,0.7469,0.6866,-0.3972,-0.0514,0.3243
2012-03-09,1219,1870,0.0246,0.7979,0.6449,0.5972,-0.3619,0.2363,0.4845
2013-03-08,1219,4260,0.0561,0.6361,0.4366,0.3445,-0.5306,0.8381,0.8839
2014-03-08,1219,8174,0.1076,0.5808,0.393,0.224,-0.3821,1.6497,1.077
2015-03-08,1219,12081,0.159,0.5796,0.4044,0.1575,-0.3199,2.0202,1.1656
2016-03-08,1219,14198,0.1869,0.5695,0.4047,0.1337,-0.252,2.1259,1.1587
2017-11-17,1219,23756,0.3127,0.5431,0.3915,0.0812,-0.0601,2.6495,1.0995
2018-12-02,1219,35179,0.4631,0.5266,0.376,0.0443,-0.0133,2.6488,1.0987
2019-12-02,1219,46886,0.6172,0.5179,0.3694,0.0287,0.034,2.7081,1.0806
2020-12-02,1219,58256,0.7669,0.5052,0.3675,0.0197,0.102,2.7765,1.0381
2021-12-01,1219,86588,1.1398,0.4846,0.3512,0.0074,0.0952,2.5938,0.9916
2022-12-02,1219,118001,1.5533,0.4806,0.3489,0.0041,0.1192,2.5008,0.9964
2023-04-02,1219,131432,1.7301,0.4847,0.3542,0.0041,0.1337,2.4579,1.0
2026-09-02,1219,321219,4.2285,0.4604,0.3301,0.0,0.0987,1.5828,0.8666
