bg,households,E_ev,E_uniform,E_model,E_vehicles,E_individual,E_prior,draw_p05,draw_p95,structural_min,structural_max,ev_per_hh
361090001001,920,29.092,37.271,38.324,29.158,19.859,10.728,14.0,47.0,10.728,38.324,0.032
361090001002,689,21.434,46.267,30.521,29.309,12.348,6.85,8.0,35.0,6.85,46.267,0.031
361090002011,1038,17.478,37.099,16.074,66.35,18.882,10.375,11.0,26.0,10.375,66.35,0.017
361090002012,146,2.469,8.397,2.045,8.692,2.893,1.413,1.0,6.0,1.413,8.692,0.017
361090002021,659,28.956,54.749,26.97,58.618,30.942,20.97,20.0,39.0,20.97,58.618,0.044
361090002022,426,19.147,17.393,17.627,19.607,20.666,22.259,13.0,26.05,17.393,22.259,0.045
361090003001,212,13.169,11.909,13.498,12.28,12.841,13.681,8.0,19.0,11.909,13.681,0.062
361090004001,383,30.619,24.162,43.515,18.899,17.723,15.548,12.0,49.0,15.548,43.515,0.08
361090005001,521,49.855,43.268,53.958,38.203,45.751,49.09,37.95,61.05,38.203,53.958,0.096
361090005002,511,36.689,35.643,35.284,31.886,38.093,38.018,28.95,49.0,31.886,38.093,0.072
361090005003,790,64.903,59.461,72.392,52.1,57.415,59.361,49.0,82.0,52.1,72.392,0.082
361090006001,605,41.957,40.783,44.783,29.208,39.131,37.119,31.95,54.0,29.208,44.783,0.069
361090006002,401,53.519,29.902,61.683,31.432,45.355,49.111,36.0,72.05,29.902,61.683,0.133
361090006003,250,4.19,12.852,5.57,7.58,2.809,1.551,1.0,9.0,1.551,12.852,0.017
361090006004,495,70.5,41.383,68.295,45.429,72.704,82.086,55.95,83.0,41.383,82.086,0.142
361090007001,740,32.37,32.73,44.76,34.059,19.98,13.729,14.0,50.0,13.729,44.76,0.044
361090007002,774,73.376,63.231,74.32,55.031,72.431,80.197,61.0,89.05,55.031,80.197,0.095
361090007003,668,54.922,51.922,58.671,52.201,51.173,50.15,41.0,67.05,50.15,58.671,0.082
361090008001,790,25.501,49.351,29.836,33.049,21.165,19.279,15.0,36.0,19.279,49.351,0.032
361090008002,793,33.634,52.093,31.151,47.552,36.117,31.872,24.0,45.0,31.151,52.093,0.042
361090009001,725,34.828,50.551,30.582,44.621,39.074,40.982,24.95,48.0,30.582,50.551,0.048
361090009002,993,98.972,77.883,80.669,84.593,117.275,134.855,72.0,131.05,77.883,134.855,0.1
361090009003,425,34.547,35.471,34.759,38.658,34.335,38.038,26.0,46.0,34.335,38.658,0.081
361090010001,838,35.109,57.834,24.093,64.076,46.125,37.84,19.0,54.05,24.093,64.076,0.042
361090010002,453,59.839,35.558,49.984,46.874,69.693,78.418,42.95,80.1,35.558,78.418,0.132
361090010003,1148,41.212,67.515,23.592,54.273,58.832,57.26,17.95,68.05,23.592,67.515,0.036
361090011001,1555,69.857,93.476,71.246,96.165,68.468,62.122,59.0,83.05,62.122,96.165,0.045
361090011002,1070,122.122,88.935,113.472,114.306,130.772,140.607,101.95,140.1,88.935,140.607,0.114
361090012001,112,5.603,4.969,3.048,7.075,8.157,7.575,1.0,12.0,3.048,8.157,0.05
