scenario,year,phi,personal_evs,share_MF20P,share_MF2_4,share_MF5_19,share_MOBILE,share_SFA,share_SFD,share_renter,share_income_lt50k,hh_with_ev_share_expected
trend,2026,1.0,2966.7108,0.0401,0.1039,0.0646,0.045,0.0387,0.7077,0.2803,0.1964,0.0686
trend,2030,0.9157,5293.809,0.0415,0.1058,0.0671,0.0469,0.0396,0.6992,0.2881,0.2055,0.1224
trend,2035,0.8132,11565.9632,0.0433,0.1082,0.0704,0.0493,0.0406,0.6882,0.2982,0.2177,0.2671
trend,2040,0.739,21703.9736,0.0446,0.1101,0.073,0.0512,0.0413,0.6798,0.3059,0.2273,0.477
trend,2045,0.6936,32943.2841,0.0451,0.1122,0.0749,0.0531,0.0413,0.6735,0.3123,0.2353,0.6443
trend,2050,0.6678,42277.0279,0.0441,0.1158,0.0774,0.0562,0.0416,0.6649,0.3237,0.2486,0.7407
slow,2026,1.0,2967.0169,0.0401,0.1039,0.0646,0.045,0.0387,0.7077,0.2803,0.1964,0.0686
slow,2030,0.9344,4634.8799,0.0412,0.1053,0.0665,0.0465,0.0394,0.7011,0.2863,0.2034,0.1072
slow,2035,0.8702,7407.6312,0.0423,0.1068,0.0685,0.048,0.04,0.6944,0.2925,0.2107,0.1713
slow,2040,0.82,10947.9537,0.0432,0.1081,0.0702,0.0492,0.0405,0.6889,0.2975,0.2168,0.2529
slow,2045,0.7804,15158.5183,0.0439,0.109,0.0715,0.0501,0.0409,0.6845,0.3016,0.2218,0.3474
slow,2050,0.7507,19569.6085,0.0444,0.1098,0.0726,0.0509,0.0412,0.6812,0.3047,0.2257,0.4379
stall,2026,1.0,2967.1327,0.0401,0.1039,0.0646,0.045,0.0387,0.7077,0.2803,0.1964,0.0686
stall,2030,0.9487,4196.4846,0.041,0.105,0.0661,0.0461,0.0392,0.7026,0.285,0.2018,0.097
stall,2035,0.8761,7082.3164,0.0422,0.1067,0.0683,0.0478,0.04,0.695,0.2919,0.21,0.1637
stall,2040,0.789,14107.1435,0.0437,0.1088,0.0712,0.0499,0.0408,0.6855,0.3007,0.2207,0.3243
stall,2045,0.7238,24872.6563,0.0449,0.1105,0.0735,0.0516,0.0414,0.678,0.3076,0.2295,0.5301
stall,2050,0.6845,35924.383,0.0447,0.1133,0.0755,0.0541,0.0414,0.671,0.3155,0.239,0.6791
policy,2026,1.0,2968.5834,0.0401,0.1039,0.0646,0.045,0.0387,0.7077,0.2803,0.1964,0.0686
policy,2030,0.8656,7670.0003,0.0424,0.107,0.0687,0.0481,0.0401,0.6939,0.2929,0.2113,0.1773
policy,2035,0.7445,20672.3691,0.0445,0.1099,0.0728,0.051,0.0413,0.6805,0.3053,0.2266,0.4586
policy,2040,0.6864,35283.2437,0.0448,0.113,0.0753,0.0539,0.0414,0.6717,0.3146,0.2381,0.6718
policy,2045,0.6593,46014.518,0.0437,0.1167,0.0784,0.0578,0.0415,0.6618,0.328,0.2549,0.7683
policy,2050,0.6489,51063.8329,0.0432,0.1181,0.08,0.0604,0.0416,0.6566,0.3359,0.2701,0.8
