scenario,year,metric,value,low,high,numerator,denominator,metric_label,source
trend,2026,fleet_share_pev,0.0564,0.0555,0.0577,3359.5012,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
trend,2026,fleet_share_bev,0.032503,,,1935.6753,59554.0,BEV stock only / light-duty fleet,inferred
trend,2026,new_share,0.1088,,,,,EV share of new light-duty additions (flow),inferred
trend,2030,fleet_share_pev,0.1007,0.0786,0.1381,5994.7056,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
trend,2030,fleet_share_bev,0.072469,,,4315.8033,59554.0,BEV stock only / light-duty fleet,inferred
trend,2030,new_share,0.2531,,,,,EV share of new light-duty additions (flow),inferred
trend,2035,fleet_share_pev,0.2199,0.1378,0.3703,13097.2886,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
trend,2035,fleet_share_bev,0.188607,,,11232.3186,59554.0,BEV stock only / light-duty fleet,inferred
trend,2035,new_share,0.5483,,,,,EV share of new light-duty additions (flow),inferred
trend,2040,fleet_share_pev,0.4127,0.2377,0.7308,24577.5645,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
trend,2040,fleet_share_bev,0.377466,,,22479.6367,59554.0,BEV stock only / light-duty fleet,inferred
trend,2040,new_share,0.8131,,,,,EV share of new light-duty additions (flow),inferred
trend,2045,fleet_share_pev,0.6264,0.3577,0.99,37304.9518,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
trend,2045,fleet_share_bev,0.587428,,,34983.6732,59554.0,BEV stock only / light-duty fleet,inferred
trend,2045,new_share,0.9397,,,,,EV share of new light-duty additions (flow),inferred
trend,2050,fleet_share_pev,0.8039,0.4613,0.99,47874.4768,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
trend,2050,fleet_share_bev,0.759604,,,45237.4472,59554.0,BEV stock only / light-duty fleet,inferred
trend,2050,new_share,0.9824,,,,,EV share of new light-duty additions (flow),inferred
slow,2026,fleet_share_pev,0.0564,0.0555,0.0577,3359.8479,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
slow,2026,fleet_share_bev,0.032496,,,1935.2624,59554.0,BEV stock only / light-duty fleet,inferred
slow,2026,new_share,0.1088,,,,,EV share of new light-duty additions (flow),inferred
slow,2030,fleet_share_pev,0.0881,0.0724,0.1114,5248.5348,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
slow,2030,fleet_share_bev,0.061721,,,3675.7135,59554.0,BEV stock only / light-duty fleet,inferred
slow,2030,new_share,0.1617,,,,,EV share of new light-duty additions (flow),inferred
slow,2035,fleet_share_pev,0.1409,0.0967,0.2084,8388.3964,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
slow,2035,fleet_share_bev,0.115965,,,6906.1645,59554.0,BEV stock only / light-duty fleet,inferred
slow,2035,new_share,0.2467,,,,,EV share of new light-duty additions (flow),inferred
slow,2040,fleet_share_pev,0.2082,0.1264,0.3355,12397.4551,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
slow,2040,fleet_share_bev,0.187002,,,11136.6902,59554.0,BEV stock only / light-duty fleet,inferred
slow,2040,new_share,0.3416,,,,,EV share of new light-duty additions (flow),inferred
slow,2045,fleet_share_pev,0.2882,0.164,0.4827,17165.4955,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
slow,2045,fleet_share_bev,0.268262,,,15976.099,59554.0,BEV stock only / light-duty fleet,inferred
