geography,year,kwh,sessions,charge_h,conn_h,port_days,max_ports,months,kwh_per_session,kwh_per_port_day,sessions_per_port_day,charge_share_of_connection,mean_kw_while_charging
ZIP 14850 (Ithaca),2013,1516.32,244,376,1766,1286,6,10,6.214,1.179,0.19,0.213,4.033
ZIP 14850 (Ithaca),2014,2845.054,336,601,1527,1888,6,12,8.467,1.507,0.178,0.394,4.734
ZIP 14850 (Ithaca),2015,5962.028,626,1452,3149,2102,6,12,9.524,2.836,0.298,0.461,4.106
ZIP 14850 (Ithaca),2016,6023.915,798,1485,2143,2196,6,12,7.549,2.743,0.363,0.693,4.057
ZIP 14850 (Ithaca),2017,10084.434,1226,2384,3256,2159,6,12,8.225,4.671,0.568,0.732,4.23
ZIP 14850 (Ithaca),2018,11537.41,1453,2830,4444,2160,6,12,7.94,5.341,0.673,0.637,4.077
ZIP 14850 (Ithaca),2019,15785.693,2065,3492,5388,2159,6,12,7.644,7.312,0.956,0.648,4.521
ZIP 14850 (Ithaca),2020,6314.734,607,1336,1855,1096,4,12,10.403,5.762,0.554,0.72,4.727
ZIP 14850 (Ithaca),2021,20442.129,2550,5257,12076,1617,6,12,8.017,12.642,1.577,0.435,3.889
ZIP 14850 (Ithaca),2022,25033.818,2180,5350,9018,1522,6,12,11.483,16.448,1.432,0.593,4.679
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2013,1516.32,244,376,1766,1286,6,10,6.214,1.179,0.19,0.213,4.033
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2014,2845.054,336,601,1527,1888,6,12,8.467,1.507,0.178,0.394,4.734
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2015,5962.028,626,1452,3149,2102,6,12,9.524,2.836,0.298,0.461,4.106
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2016,6023.915,798,1485,2143,2196,6,12,7.549,2.743,0.363,0.693,4.057
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2017,10084.434,1226,2384,3256,2159,6,12,8.225,4.671,0.568,0.732,4.23
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2018,11537.41,1453,2830,4444,2160,6,12,7.94,5.341,0.673,0.637,4.077
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2019,15785.693,2065,3492,5388,2159,6,12,7.644,7.312,0.956,0.648,4.521
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2020,6604.902,654,1382,1902,1553,4,12,10.099,4.253,0.421,0.727,4.779
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2021,21940.438,2721,5645,12532,2956,6,12,8.063,7.422,0.921,0.45,3.887
Tompkins-area ZIPs 14850/14853/13053/13045/14886/14882/13068,2022,28916.168,2546,6142,9981,3989,6,12,11.357,7.249,0.638,0.615,4.708
New York State (all ChargePoint ZIPs in table),2010,0.0,15,0,0,93,3,1,0.0,0.0,0.161,,
New York State (all ChargePoint ZIPs in table),2011,1.382,29,0,1,525,10,5,0.048,0.003,0.055,0.0,inf
New York State (all ChargePoint ZIPs in table),2012,2512.29,293,761,1921,1133,6,9,8.574,2.217,0.259,0.396,3.301
New York State (all ChargePoint ZIPs in table),2013,19218.876,2051,4774,12734,8993,6,12,9.37,2.137,0.228,0.375,4.026
New York State (all ChargePoint ZIPs in table),2014,71612.926,9537,18748,42266,31716,9,12,7.509,2.258,0.301,0.444,3.82
New York State (all ChargePoint ZIPs in table),2015,159559.831,21128,42961,100694,61354,13,12,7.552,2.601,0.344,0.427,3.714
New York State (all ChargePoint ZIPs in table),2016,265998.996,32707,73631,189303,77706,16,12,8.133,3.423,0.421,0.389,3.613
New York State (all ChargePoint ZIPs in table),2017,387955.763,45176,100020,252677,86098,19,12,8.588,4.506,0.525,0.396,3.879
New York State (all ChargePoint ZIPs in table),2018,621879.708,70459,152092,358583,116542,29,12,8.826,5.336,0.605,0.424,4.089
New York State (all ChargePoint ZIPs in table),2019,1205522.751,121935,271948,599974,210110,46,12,9.887,5.738,0.58,0.453,4.433
New York State (all ChargePoint ZIPs in table),2020,2448654.459,235211,526795,1212166,350222,43,12,10.41,6.992,0.672,0.435,4.648
New York State (all ChargePoint ZIPs in table),2021,3789260.396,340145,784414,1616082,547022,76,12,11.14,6.927,0.622,0.485,4.831
New York State (all ChargePoint ZIPs in table),2022,4354097.826,337678,891128,1616292,711238,87,12,12.894,6.122,0.475,0.551,4.886
