zip,month,kwh,sessions,charge_h,conn_h,stations,ports,kwh_per_session,sessions_per_port_day,kwh_per_port_day,charge_share_of_connection,mean_kw_while_charging
13045,2020-10-01,56.494,14,9,10,3,4,4.035,0.113,0.456,0.9,6.277
13045,2020-11-01,51.856,10,9,9,3,4,5.186,0.083,0.432,1.0,5.762
13045,2021-01-01,3.027,2,0,1,1,1,1.514,0.065,0.098,0.0,inf
13045,2021-02-01,9.612,3,2,2,1,2,3.204,0.054,0.172,1.0,4.806
13045,2021-03-01,30.234,8,9,18,2,3,3.779,0.086,0.325,0.5,3.359
13045,2021-04-01,139.576,14,34,35,3,4,9.97,0.117,1.163,0.971,4.105
13045,2021-05-01,49.976,6,15,16,1,2,8.329,0.097,0.806,0.938,3.332
13045,2021-06-01,104.9,10,30,33,2,3,10.49,0.111,1.166,0.909,3.497
13045,2021-07-01,132.834,20,44,60,2,3,6.642,0.215,1.428,0.733,3.019
13045,2021-08-01,97.626,12,27,28,2,3,8.135,0.129,1.05,0.964,3.616
13045,2021-09-01,323.978,36,95,113,1,2,8.999,0.6,5.4,0.841,3.41
13045,2021-10-01,203.98,18,51,53,3,5,11.332,0.116,1.316,0.962,4.0
13045,2021-11-01,111.615,12,30,32,2,3,9.301,0.133,1.24,0.938,3.72
13045,2021-12-01,106.002,7,23,24,2,2,15.143,0.113,1.71,0.958,4.609
13045,2022-01-01,60.181,6,15,15,3,4,10.03,0.048,0.485,1.0,4.012
13045,2022-02-01,62.348,10,17,19,2,4,6.235,0.089,0.557,0.895,3.668
13045,2022-03-01,93.81,12,28,29,2,4,7.818,0.097,0.757,0.966,3.35
13045,2022-04-01,164.525,19,41,41,3,4,8.659,0.158,1.371,1.0,4.013
13045,2022-05-01,158.93,13,38,38,3,5,12.225,0.084,1.025,1.0,4.182
13045,2022-06-01,222.327,21,50,51,3,5,10.587,0.14,1.482,0.98,4.447
13045,2022-07-01,128.387,14,26,26,3,6,9.17,0.075,0.69,1.0,4.938
13045,2022-08-01,234.894,19,42,46,3,5,12.363,0.123,1.515,0.913,5.593
13045,2022-09-01,544.262,49,111,136,3,6,11.107,0.272,3.024,0.816,4.903
13045,2022-10-01,420.712,49,82,108,3,6,8.586,0.263,2.262,0.759,5.131
13045,2022-11-01,318.631,42,74,114,3,6,7.586,0.233,1.77,0.649,4.306
13045,2022-12-01,433.01,33,78,82,3,6,13.122,0.177,2.328,0.951,5.551
13053,2020-08-01,128.234,10,20,20,1,1,12.823,0.323,4.137,1.0,6.412
13053,2020-09-01,21.668,4,3,3,1,2,5.417,0.067,0.361,1.0,7.223
13053,2020-10-01,14.206,2,2,2,1,1,7.103,0.065,0.458,1.0,7.103
13053,2020-11-01,12.558,6,2,2,1,2,2.093,0.1,0.209,1.0,6.279
13053,2020-12-01,5.152,1,1,1,1,1,5.152,0.032,0.166,1.0,5.152
13053,2021-01-01,7.47,1,2,4,1,1,7.47,0.032,0.241,0.5,3.735
13053,2021-02-01,6.408,2,1,1,1,1,3.204,0.071,0.229,1.0,6.408
13053,2021-04-01,12.638,4,2,2,1,1,3.16,0.133,0.421,1.0,6.319
13053,2021-05-01,113.11,2,16,26,1,1,56.555,0.065,3.649,0.615,7.069
13053,2021-09-01,6.774,2,2,2,1,1,3.387,0.067,0.226,1.0,3.387
13053,2021-10-01,19.809,6,3,3,1,2,3.302,0.097,0.32,1.0,6.603
13053,2021-11-01,1.974,2,0,0,1,2,0.987,0.033,0.033,,inf
13053,2021-12-01,16.766,4,2,3,1,2,4.192,0.065,0.27,0.667,8.383
13053,2022-01-01,4.029,1,1,1,1,1,4.029,0.032,0.13,1.0,4.029
13053,2022-02-01,21.241,9,5,5,1,2,2.36,0.161,0.379,1.0,4.248
13053,2022-03-01,289.715,14,42,43,1,2,20.694,0.226,4.673,0.977,6.898
13053,2022-04-01,0.181,1,0,0,1,1,0.181,0.033,0.006,,inf
13053,2022-05-01,14.136,3,2,2,1,2,4.712,0.048,0.228,1.0,7.068
13053,2022-07-01,114.904,8,21,24,1,2,14.363,0.129,1.853,0.875,5.472
13053,2022-08-01,23.307,4,6,7,1,2,5.827,0.065,0.376,0.857,3.884
13053,2022-09-01,72.44,9,17,21,1,2,8.049,0.15,1.207,0.81,4.261
13053,2022-10-01,99.789,12,25,25,1,2,8.316,0.194,1.61,1.0,3.992
13053,2022-11-01,172.679,10,29,50,1,2,17.268,0.167,2.878,0.58,5.954
13053,2022-12-01,227.912,8,42,80,1,2,28.489,0.129,3.676,0.525,5.426
14850,2013-03-01,0.0,1,0,0,1,1,0.0,0.032,0.0,,
14850,2013-04-01,4.814,5,3,4,1,2,0.963,0.083,0.08,0.75,1.605
14850,2013-05-01,72.084,16,17,49,3,4,4.505,0.129,0.581,0.347,4.24
14850,2013-06-01,408.338,36,81,198,3,4,11.343,0.3,3.403,0.409,5.041
14850,2013-07-01,109.862,21,29,125,2,3,5.232,0.226,1.181,0.232,3.788
14850,2013-08-01,359.539,33,73,173,3,6,10.895,0.177,1.933,0.422,4.925
14850,2013-09-01,305.728,32,66,164,3,5,9.554,0.213,2.038,0.402,4.632
14850,2013-10-01,56.928,30,30,236,3,6,1.898,0.161,0.306,0.127,1.898
14850,2013-11-01,113.257,40,43,666,3,5,2.831,0.267,0.755,0.065,2.634
14850,2013-12-01,85.77,30,34,151,3,6,2.859,0.161,0.461,0.225,2.523
14850,2014-01-01,255.261,32,56,310,3,6,7.977,0.172,1.372,0.181,4.558
14850,2014-02-01,70.221,22,26,123,3,4,3.192,0.196,0.627,0.211,2.701
14850,2014-03-01,75.492,27,30,169,3,5,2.796,0.174,0.487,0.178,2.516
14850,2014-04-01,166.811,33,43,161,3,5,5.055,0.22,1.112,0.267,3.879
14850,2014-05-01,225.648,33,50,182,3,6,6.838,0.177,1.213,0.275,4.513
14850,2014-06-01,624.693,57,116,227,3,6,10.96,0.317,3.471,0.511,5.385
14850,2014-07-01,337.704,25,56,70,2,4,13.508,0.202,2.723,0.8,6.03
14850,2014-08-01,319.87,16,53,61,3,5,19.992,0.103,2.064,0.869,6.035
14850,2014-09-01,371.847,27,70,79,3,6,13.772,0.15,2.066,0.886,5.312
14850,2014-10-01,214.756,32,55,73,3,5,6.711,0.206,1.386,0.753,3.905
14850,2014-11-01,104.349,15,25,37,3,5,6.957,0.1,0.696,0.676,4.174
14850,2014-12-01,78.402,17,21,35,3,5,4.612,0.11,0.506,0.6,3.733
14850,2015-01-01,204.029,42,53,75,3,6,4.858,0.226,1.097,0.707,3.85
14850,2015-02-01,194.907,25,57,127,3,5,7.796,0.179,1.392,0.449,3.419
14850,2015-03-01,372.761,54,115,350,3,6,6.903,0.29,2.004,0.329,3.241
14850,2015-04-01,327.21,47,98,195,3,5,6.962,0.313,2.181,0.503,3.339
14850,2015-05-01,475.523,57,114,317,3,6,8.343,0.306,2.557,0.36,4.171
14850,2015-06-01,782.177,56,163,451,3,6,13.967,0.311,4.345,0.361,4.799
14850,2015-07-01,715.037,70,163,345,3,6,10.215,0.376,3.844,0.472,4.387
14850,2015-08-01,902.602,68,183,329,3,6,13.274,0.366,4.853,0.556,4.932
14850,2015-09-01,749.942,67,156,260,3,6,11.193,0.372,4.166,0.6,4.807
14850,2015-10-01,549.18,64,154,282,3,6,8.581,0.344,2.953,0.546,3.566
14850,2015-11-01,373.366,41,111,205,3,5,9.106,0.273,2.489,0.541,3.364
14850,2015-12-01,315.294,35,85,213,3,6,9.008,0.188,1.695,0.399,3.709
14850,2016-01-01,333.603,42,82,100,3,6,7.943,0.226,1.794,0.82,4.068
14850,2016-02-01,459.254,65,114,153,3,6,7.065,0.374,2.639,0.745,4.029
14850,2016-03-01,454.866,58,115,192,3,6,7.843,0.312,2.446,0.599,3.955
14850,2016-04-01,436.099,60,107,162,3,6,7.268,0.333,2.423,0.66,4.076
14850,2016-05-01,453.286,60,111,177,3,6,7.555,0.323,2.437,0.627,4.084
14850,2016-06-01,378.97,61,99,148,3,6,6.213,0.339,2.105,0.669,3.828
14850,2016-07-01,650.11,70,142,214,3,6,9.287,0.376,3.495,0.664,4.578
14850,2016-08-01,562.377,64,130,193,3,6,8.787,0.344,3.024,0.674,4.326
14850,2016-09-01,582.737,75,148,241,3,6,7.77,0.417,3.237,0.614,3.937
14850,2016-10-01,648.891,81,158,203,3,6,8.011,0.435,3.489,0.778,4.107
14850,2016-11-01,457.427,78,129,175,3,6,5.864,0.433,2.541,0.737,3.546
14850,2016-12-01,606.295,84,150,185,3,6,7.218,0.452,3.26,0.811,4.042
14850,2017-01-01,508.942,73,137,175,3,6,6.972,0.392,2.736,0.783,3.715
14850,2017-02-01,485.83,74,140,184,3,6,6.565,0.44,2.892,0.761,3.47
14850,2017-03-01,477.256,70,138,177,3,5,6.818,0.452,3.079,0.78,3.458
14850,2017-04-01,723.701,108,184,242,3,6,6.701,0.6,4.021,0.76,3.933
14850,2017-05-01,716.369,106,172,234,3,6,6.758,0.57,3.851,0.735,4.165
14850,2017-06-01,839.42,96,194,257,3,6,8.744,0.533,4.663,0.755,4.327
14850,2017-07-01,872.528,82,184,328,3,6,10.641,0.441,4.691,0.561,4.742
14850,2017-08-01,997.523,101,217,297,3,6,9.876,0.543,5.363,0.731,4.597
14850,2017-09-01,1184.839,99,254,370,3,6,11.968,0.55,6.582,0.686,4.665
14850,2017-10-01,1292.186,161,306,411,3,6,8.026,0.866,6.947,0.745,4.223
14850,2017-11-01,1040.886,149,249,332,3,6,6.986,0.828,5.783,0.75,4.18
14850,2017-12-01,944.954,107,209,249,3,6,8.831,0.575,5.08,0.839,4.521
14850,2018-01-01,874.695,129,231,304,3,6,6.781,0.694,4.703,0.76,3.787
14850,2018-02-01,904.102,126,230,367,3,6,7.175,0.75,5.382,0.627,3.931
14850,2018-03-01,851.392,117,226,382,3,6,7.277,0.629,4.577,0.592,3.767
14850,2018-04-01,850.69,105,231,349,3,6,8.102,0.583,4.726,0.662,3.683
14850,2018-05-01,1344.427,150,341,502,3,6,8.963,0.806,7.228,0.679,3.943
14850,2018-06-01,919.188,105,217,343,3,6,8.754,0.583,5.107,0.633,4.236
14850,2018-07-01,1017.605,117,243,317,3,6,8.697,0.629,5.471,0.767,4.188
14850,2018-08-01,997.115,136,245,375,3,6,7.332,0.731,5.361,0.653,4.07
14850,2018-09-01,1040.061,103,228,386,3,6,10.098,0.572,5.778,0.591,4.562
14850,2018-10-01,949.165,123,214,384,3,6,7.717,0.661,5.103,0.557,4.435
14850,2018-11-01,673.452,98,168,316,3,5,6.872,0.653,4.49,0.532,4.009
14850,2018-12-01,1115.518,144,256,419,3,6,7.747,0.774,5.997,0.611,4.357
14850,2019-01-01,1121.711,133,259,416,3,6,8.434,0.715,6.031,0.623,4.331
14850,2019-02-01,1045.614,156,251,410,3,6,6.703,0.929,6.224,0.612,4.166
14850,2019-03-01,1224.742,188,283,409,3,6,6.515,1.011,6.585,0.692,4.328
14850,2019-04-01,1171.631,184,275,464,3,6,6.368,1.022,6.509,0.593,4.26
14850,2019-05-01,1406.71,212,310,499,3,6,6.635,1.14,7.563,0.621,4.538
14850,2019-06-01,1432.396,188,306,419,3,6,7.619,1.044,7.958,0.73,4.681
14850,2019-07-01,1260.712,154,269,378,3,6,8.186,0.828,6.778,0.712,4.687
14850,2019-08-01,1387.674,176,290,421,3,6,7.885,0.946,7.461,0.689,4.785
14850,2019-09-01,1492.082,192,313,493,3,6,7.771,1.067,8.289,0.635,4.767
14850,2019-10-01,1687.68,170,351,565,3,5,9.928,1.097,10.888,0.621,4.808
14850,2019-11-01,1252.845,163,278,409,3,6,7.686,0.906,6.96,0.68,4.507
14850,2019-12-01,1301.896,149,307,505,3,6,8.738,0.801,6.999,0.608,4.241
14850,2020-01-01,1703.38,174,370,555,2,3,9.79,1.871,18.316,0.667,4.604
14850,2020-02-01,1480.62,124,301,345,2,4,11.94,1.069,12.764,0.872,4.919
