power_assumption,n_evs,draws,peak_kw_per_ev_mean,peak_kw_per_ev_p90,p99_hour_kw_per_ev,mean_kw_per_ev,coincidence_factor,n_users_pool,window
3.6kW,1,200,4.7066,7.2154,3.8035,0.2822,1.0,61,2019
3.6kW,2,200,4.2039,5.4169,2.4701,0.2854,0.9028,61,2019
3.6kW,5,200,2.9895,3.5551,1.7454,0.2849,0.6265,61,2019
3.6kW,10,200,2.2025,2.5422,1.3641,0.292,0.4619,61,2019
3.6kW,20,200,1.6901,1.8642,1.1103,0.2939,0.3531,61,2019
3.6kW,50,200,1.2649,1.3371,0.9052,0.2892,0.2612,61,2019
3.6kW,61,1,1.2056,1.2056,0.8714,0.2895,0.249,61,2019
7.2kW,1,200,7.5815,10.1786,6.5404,0.3036,1.0,61,2019
7.2kW,2,200,7.0348,7.2,3.6485,0.2871,0.9393,61,2019
7.2kW,5,200,4.5381,5.5336,2.4692,0.2857,0.6079,61,2019
7.2kW,10,200,3.2206,3.6554,1.8341,0.2912,0.4277,61,2019
7.2kW,20,200,2.3914,2.6989,1.4373,0.2901,0.3178,61,2019
7.2kW,50,200,1.7325,1.8579,1.1306,0.2882,0.2303,61,2019
7.2kW,61,1,1.6409,1.6409,1.0961,0.2895,0.2182,61,2019
