block,survey,survey_year,segment_dimension,segment_value,parameter,category,BEV,PHEV,All,unit,base_n,value_source,housing_type_or_tenure_breakdown_published,note
home_access,adoption,2024,all,all,home_charging_status,no_but_planning,11.0,11.0,11.0,percent,5266,figure|text,no,
home_access,adoption,2024,all,all,home_charging_status,no_no_plans,9.0,14.0,,percent,5266,figure,no,
home_access,adoption,2024,all,all,home_charging_status,yes,80.0,76.0,78.0,percent,5266,figure|text,no,Fig 14; overall; no_no_plans not stated in text
home_access,adoption,2025,all,all,home_charging_status,no_but_planning,,,9.0,percent,4331,figure,no,
home_access,adoption,2025,all,all,home_charging_status,no_no_plans,,,9.0,percent,4331,figure,no,
home_access,adoption,2025,all,all,home_charging_status,yes,,,82.0,percent,4331,figure,no,"Fig 15; no significant BEV/PHEV difference, so only All published; 'yes' includes current home charging 1-3 weeks after purchase"
home_frequency,ownership,2022,all,all,charging_frequency_home,daily_or_almost_daily,38.0,67.0,,percent,,text,no,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
home_frequency,ownership,2023,all,all,charging_frequency_home,about_once_per_week,16.0,6.0,,percent,6491,figure,no,
home_frequency,ownership,2023,all,all,charging_frequency_home,daily_or_almost_daily,37.0,56.0,,percent,6491,figure,no,Fig 23
home_frequency,ownership,2023,all,all,charging_frequency_home,few_times_per_month_or_less,7.0,9.0,,percent,6491,figure,no,
home_frequency,ownership,2023,all,all,charging_frequency_home,few_times_per_week,27.0,15.0,,percent,6491,figure,no,
home_frequency,ownership,2023,all,all,charging_frequency_home,never,14.0,15.0,,percent,6491,figure,no,
home_frequency,ownership,2024,all,all,charging_frequency_home,about_once_per_week,20.0,4.4,,percent,4849,figure,no,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp); residual 100-51-15-10-19 = 5
home_frequency,ownership,2024,all,all,charging_frequency_home,daily_or_almost_daily,34.0,51.0,,percent,4849,figure,no,Fig 24
home_frequency,ownership,2024,all,all,charging_frequency_home,few_times_per_month_or_less,7.0,10.0,,percent,4849,figure,no,
home_frequency,ownership,2024,all,all,charging_frequency_home,few_times_per_week,28.0,15.0,,percent,4849,figure,no,
home_frequency,ownership,2024,all,all,charging_frequency_home,never,11.0,19.0,,percent,4849,figure,no,
home_frequency,ownership,2022,all,all,home_charging_few_per_week_or_more,daily_or_few_per_week,66.0,,,percent,,text,no,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
home_frequency,ownership,2023,all,all,home_charging_few_per_week_or_more,daily_or_few_per_week,64.0,,,percent,6491,text,no,
home_frequency,ownership,2024,all,all,home_charging_few_per_week_or_more,daily_or_few_per_week,62.0,,,percent,4849,text,no,
home_method,ownership,2023,all,all,home_charging_method,level1_120v_station,8.0,8.0,,percent_multiselect,5470,figure,no,
home_method,ownership,2023,all,all,home_charging_method,level2_240v_station,59.0,25.0,,percent_multiselect,5470,figure,no,Fig 24; multi-select
home_method,ownership,2023,all,all,home_charging_method,outlet_120v_direct,15.0,64.0,,percent_multiselect,5470,figure,no,
home_method,ownership,2023,all,all,home_charging_method,outlet_240v_direct,26.0,11.0,,percent_multiselect,5470,figure,no,
home_method,ownership,2024,all,all,home_charging_method,level1_120v_station,8.0,7.0,,percent_multiselect,4288,figure,no,
home_method,ownership,2024,all,all,home_charging_method,level2_240v_station,58.0,24.0,,percent_multiselect,4288,figure,no,Fig 25; multi-select; Fig 25; multi-select; base = charge at home >= few times/month
home_method,ownership,2024,all,all,home_charging_method,outlet_120v_direct,14.0,68.0,,percent_multiselect,4288,figure,no,
home_method,ownership,2024,all,all,home_charging_method,outlet_240v_direct,27.0,11.0,,percent_multiselect,4288,figure,no,
home_method,adoption,2024,all,all,home_charging_method_current_or_planned,level1_120v_station,7.0,7.0,,percent_multiselect,4663,figure,no,
home_method,adoption,2024,all,all,home_charging_method_current_or_planned,level2_240v_station,61.0,21.0,,percent_multiselect,4663,figure,no,Fig 16; multi-select
home_method,adoption,2024,all,all,home_charging_method_current_or_planned,outlet_120v_direct,20.0,72.0,,percent_multiselect,4663,figure,no,
home_method,adoption,2024,all,all,home_charging_method_current_or_planned,outlet_240v_direct,23.0,8.0,,percent_multiselect,4663,figure,no,
home_method,adoption,2025,all,all,home_charging_method_current_or_planned,level1_120v_station,7.0,8.0,,percent_multiselect,3965,figure,no,
home_method,adoption,2025,all,all,home_charging_method_current_or_planned,level2_240v_station,62.0,23.0,,percent_multiselect,3965,figure,no,Fig 17; multi-select; Fig 17; multi-select; base = charge or plan to charge at home
home_method,adoption,2025,all,all,home_charging_method_current_or_planned,outlet_120v_direct,22.0,70.0,,percent_multiselect,3965,figure,no,
home_method,adoption,2025,all,all,home_charging_method_current_or_planned,outlet_240v_direct,21.0,9.0,,percent_multiselect,3965,figure,no,
workplace,adoption,2024,all,all,workplace_charging_access,dont_know,6.0,11.0,,percent,3951,figure,no,
workplace,adoption,2024,all,all,workplace_charging_access,no,61.0,65.0,,percent,3951,figure,no,
workplace,adoption,2024,all,all,workplace_charging_access,yes,34.0,24.0,,percent,3951,figure,no,Fig 15; Fig 15; 'Not applicable' excluded
workplace,adoption,2025,all,all,workplace_charging_access,dont_know,6.0,9.0,,percent,3030,figure,no,
workplace,adoption,2025,all,all,workplace_charging_access,no,58.0,63.0,,percent,3030,figure,no,
workplace,adoption,2025,all,all,workplace_charging_access,yes,35.0,28.0,,percent,3030,figure,no,Fig 16; question allows 'Not applicable' (excluded); not comparable with ownership-survey wording
workplace,ownership,2023,all,all,workplace_charging_access,dont_know,,,5.0,percent,5482,figure,no,
workplace,ownership,2023,all,all,workplace_charging_access,no,,,72.0,percent,5482,figure,no,
