source,day_type,hour,energy_share
A_base_low,weekday,0,0.0488
A_base_low,weekday,1,0.0398
A_base_low,weekday,2,0.0326
A_base_low,weekday,3,0.0268
A_base_low,weekday,4,0.0232
A_base_low,weekday,5,0.0198
A_base_low,weekday,6,0.0157
A_base_low,weekday,7,0.0129
A_base_low,weekday,8,0.0151
A_base_low,weekday,9,0.0217
A_base_low,weekday,10,0.0263
A_base_low,weekday,11,0.0329
A_base_low,weekday,12,0.039
A_base_low,weekday,13,0.0391
A_base_low,weekday,14,0.0394
A_base_low,weekday,15,0.0441
A_base_low,weekday,16,0.0593
A_base_low,weekday,17,0.0718
A_base_low,weekday,18,0.0708
A_base_low,weekday,19,0.0681
A_base_low,weekday,20,0.0665
A_base_low,weekday,21,0.0654
A_base_low,weekday,22,0.063
A_base_low,weekday,23,0.0578
A_base_low,weekend,0,0.0498
A_base_low,weekend,1,0.0461
A_base_low,weekend,2,0.0411
A_base_low,weekend,3,0.0345
A_base_low,weekend,4,0.0309
A_base_low,weekend,5,0.0273
A_base_low,weekend,6,0.0221
A_base_low,weekend,7,0.018
A_base_low,weekend,8,0.0178
A_base_low,weekend,9,0.0197
A_base_low,weekend,10,0.0228
A_base_low,weekend,11,0.0276
A_base_low,weekend,12,0.0324
A_base_low,weekend,13,0.0376
A_base_low,weekend,14,0.0424
A_base_low,weekend,15,0.0482
A_base_low,weekend,16,0.0531
A_base_low,weekend,17,0.0574
A_base_low,weekend,18,0.0624
A_base_low,weekend,19,0.065
A_base_low,weekend,20,0.066
A_base_low,weekend,21,0.0634
A_base_low,weekend,22,0.0596
A_base_low,weekend,23,0.0548
A_base_base,weekday,0,0.0488
A_base_base,weekday,1,0.0398
A_base_base,weekday,2,0.0326
A_base_base,weekday,3,0.0268
A_base_base,weekday,4,0.0232
A_base_base,weekday,5,0.0198
A_base_base,weekday,6,0.0157
A_base_base,weekday,7,0.0129
A_base_base,weekday,8,0.0151
A_base_base,weekday,9,0.0217
A_base_base,weekday,10,0.0263
A_base_base,weekday,11,0.0329
A_base_base,weekday,12,0.039
A_base_base,weekday,13,0.0391
A_base_base,weekday,14,0.0394
A_base_base,weekday,15,0.0441
A_base_base,weekday,16,0.0593
A_base_base,weekday,17,0.0718
A_base_base,weekday,18,0.0708
A_base_base,weekday,19,0.0681
A_base_base,weekday,20,0.0665
A_base_base,weekday,21,0.0654
A_base_base,weekday,22,0.063
A_base_base,weekday,23,0.0578
A_base_base,weekend,0,0.0498
A_base_base,weekend,1,0.0461
A_base_base,weekend,2,0.0411
A_base_base,weekend,3,0.0345
A_base_base,weekend,4,0.0309
A_base_base,weekend,5,0.0273
A_base_base,weekend,6,0.0221
A_base_base,weekend,7,0.018
A_base_base,weekend,8,0.0178
A_base_base,weekend,9,0.0197
A_base_base,weekend,10,0.0228
A_base_base,weekend,11,0.0276
A_base_base,weekend,12,0.0324
A_base_base,weekend,13,0.0376
A_base_base,weekend,14,0.0424
A_base_base,weekend,15,0.0482
A_base_base,weekend,16,0.0531
A_base_base,weekend,17,0.0574
A_base_base,weekend,18,0.0624
A_base_base,weekend,19,0.065
A_base_base,weekend,20,0.066
A_base_base,weekend,21,0.0634
A_base_base,weekend,22,0.0596
A_base_base,weekend,23,0.0548
A_home_heavy_base,weekday,0,0.0544
A_home_heavy_base,weekday,1,0.0444
A_home_heavy_base,weekday,2,0.0363
A_home_heavy_base,weekday,3,0.0299
A_home_heavy_base,weekday,4,0.0259
A_home_heavy_base,weekday,5,0.0219
A_home_heavy_base,weekday,6,0.0166
A_home_heavy_base,weekday,7,0.0123
A_home_heavy_base,weekday,8,0.0131
A_home_heavy_base,weekday,9,0.0174
A_home_heavy_base,weekday,10,0.0207
A_home_heavy_base,weekday,11,0.0256
A_home_heavy_base,weekday,12,0.0305
A_home_heavy_base,weekday,13,0.0315
A_home_heavy_base,weekday,14,0.0339
A_home_heavy_base,weekday,15,0.0419
A_home_heavy_base,weekday,16,0.059
A_home_heavy_base,weekday,17,0.0708
A_home_heavy_base,weekday,18,0.0698
A_home_heavy_base,weekday,19,0.0691
A_home_heavy_base,weekday,20,0.0701
A_home_heavy_base,weekday,21,0.071
A_home_heavy_base,weekday,22,0.0697
A_home_heavy_base,weekday,23,0.0643
A_home_heavy_base,weekend,0,0.0529
A_home_heavy_base,weekend,1,0.0487
A_home_heavy_base,weekend,2,0.0433
A_home_heavy_base,weekend,3,0.0367
A_home_heavy_base,weekend,4,0.0327
A_home_heavy_base,weekend,5,0.0288
A_home_heavy_base,weekend,6,0.0231
A_home_heavy_base,weekend,7,0.018
A_home_heavy_base,weekend,8,0.0164
A_home_heavy_base,weekend,9,0.0172
A_home_heavy_base,weekend,10,0.0189
A_home_heavy_base,weekend,11,0.023
A_home_heavy_base,weekend,12,0.0279
A_home_heavy_base,weekend,13,0.0335
A_home_heavy_base,weekend,14,0.039
A_home_heavy_base,weekend,15,0.046
A_home_heavy_base,weekend,16,0.0522
A_home_heavy_base,weekend,17,0.0572
A_home_heavy_base,weekend,18,0.0628
A_home_heavy_base,weekend,19,0.0662
A_home_heavy_base,weekend,20,0.0681
A_home_heavy_base,weekend,21,0.0662
A_home_heavy_base,weekend,22,0.063
