origin,name,state,distance_km,within_80km,within_100km,within_160km,jobs_JT01,jobs_JT00,share_of_tompkins_jobs_JT01,acs_car_share,acs_wfh_share,vehicles_per_job_central,ev_share_ldv_2026,ev_share_pas_2026,ev_share_used_central_2026,bev_share,vehicles_central,evs_central,workplace_users_central,workplace_mwh_central,public_topup_mwh_central,gross_mwh_central
36109,Tompkins County (residents),NY,0.0,,,,23155.0,24894.0,0.53153,,,,,,,,,,,,,
36023,Cortland County,NY,36.13461,True,True,True,2810.0,3009.0,0.0645,0.84058,0.07836,0.846,0.0137,0.01497,0.01497,0.4695,2377.26685,35.59895,5.32204,3.56708,2.77852,6.3456
36107,Tioga County,NY,33.82579,True,True,True,2324.0,2451.0,0.05335,0.86559,0.10091,0.86516,0.0104,0.01123,0.01123,0.4912,2010.6428,22.58741,3.37682,2.29721,1.77993,4.07714
36011,Cayuga County,NY,62.32274,True,True,True,1740.0,1845.0,0.03994,0.86888,0.07747,0.87641,0.0127,0.0139,0.0139,0.5141,1524.95731,21.20192,3.16969,2.18989,1.68757,3.87745
36015,Chemung County,NY,40.88316,True,True,True,1408.0,1494.0,0.03232,0.86755,0.08222,0.86865,0.0122,0.01277,0.01277,0.516,1223.06152,15.61832,2.33494,1.61523,1.24417,2.85939
36097,Schuyler County,NY,38.34838,True,True,True,1289.0,1356.0,0.02959,0.85575,0.09357,0.85525,0.0145,0.01563,0.01563,0.4545,1102.41952,17.22801,2.57559,1.7084,1.33571,3.04411
36007,Broome County,NY,62.0066,True,True,True,1090.0,1171.0,0.02502,0.81362,0.09566,0.85228,0.0173,0.0177,0.0177,0.5057,928.98003,16.44574,2.45864,1.68908,1.30421,2.99329
36067,Onondaga County,NY,65.58409,True,True,True,1016.0,1089.0,0.02332,0.79348,0.13107,0.82392,0.0245,0.02578,0.02578,0.5441,837.10568,21.58285,3.22664,2.27403,1.7403,4.01433
36099,Seneca County,NY,46.66758,True,True,True,972.0,1034.0,0.02231,0.84978,0.08616,0.85906,0.0125,0.01365,0.01365,0.5364,835.00704,11.39552,1.70363,1.19459,0.91582,2.11042
36055,Monroe County,NY,133.66073,False,False,True,773.0,850.0,0.01774,0.78372,0.15566,0.80051,0.0305,0.03215,0.03215,0.6027,0.0,0.0,0.0,0.0,0.0,0.0
36101,Steuben County,NY,77.74748,True,True,True,401.0,424.0,0.00921,0.85404,0.08721,0.85611,0.0106,0.01154,0.01154,0.4565,343.29944,3.96293,0.59246,0.39353,0.30753,0.70105
36029,Erie County,NY,191.54795,False,False,False,317.0,347.0,0.00728,0.80168,0.12949,0.82443,0.0238,0.02153,0.02153,0.5319,0.0,0.0,0.0,0.0,0.0,0.0
36047,Kings County,NY,291.42983,False,False,False,267.0,296.0,0.00613,0.21481,0.19132,0.72582,0.041,0.03123,0.03123,0.7241,0.0,0.0,0.0,0.0,0.0,0.0
36069,Ontario County,NY,81.35592,False,True,True,239.0,262.0,0.00549,0.81912,0.13573,0.82385,0.0263,0.02819,0.02819,0.6122,196.89964,5.55122,0.82991,0.61105,0.4607,1.07175
42015,Bradford County,PA,73.59358,True,True,True,234.0,247.0,0.00537,,,0.85608,,,0.01,0.49998,200.3221,2.00322,0.29948,0.20495,0.15847,0.36342
36017,Chenango County,NY,71.51891,True,True,True,222.0,243.0,0.0051,0.86781,0.09125,0.86087,0.0089,0.00973,0.00973,0.5468,191.11401,1.85914,0.27794,0.19623,0.15008,0.34631
36061,New York County,NY,279.35683,False,False,False,209.0,240.0,0.0048,0.06943,0.25513,0.66296,0.0539,0.04706,0.04706,0.6629,0.0,0.0,0.0,0.0,0.0,0.0
36075,Oswego County,NY,114.17586,False,False,True,176.0,185.0,0.00404,0.86342,0.08311,0.87151,0.0123,0.01334,0.01334,0.471,0.0,0.0,0.0,0.0,0.0,0.0
36119,Westchester County,NY,268.35699,False,False,False,172.0,193.0,0.00395,0.57568,0.19078,0.75519,0.0498,0.05007,0.05007,0.6781,0.0,0.0,0.0,0.0,0.0,0.0
36081,Queens County,NY,296.55637,False,False,False,158.0,176.0,0.00363,0.37371,0.12883,0.79114,0.0401,0.02873,0.02873,0.6608,0.0,0.0,0.0,0.0,0.0,0.0
36059,Nassau County,NY,306.96824,False,False,False,154.0,178.0,0.00354,0.68037,0.15584,0.79361,0.0472,0.04704,0.04704,0.73,0.0,0.0,0.0,0.0,0.0,0.0
36053,Madison County,NY,83.459,False,True,True,150.0,165.0,0.00344,0.8139,0.10388,0.85808,0.0187,0.02047,0.02047,0.5161,128.71126,2.63472,0.39389,0.2725,0.20989,0.48239
36091,Saratoga County,NY,225.66601,False,False,False,147.0,170.0,0.00337,0.79591,0.17261,0.79487,0.0297,0.03112,0.03112,0.5697,0.0,0.0,0.0,0.0,0.0,0.0
36103,Suffolk County,NY,355.94013,False,False,False,137.0,147.0,0.00314,0.7958,0.12045,0.83294,0.0337,0.03438,0.03438,0.6338,0.0,0.0,0.0,0.0,0.0,0.0
36065,Oneida County,NY,122.01659,False,False,True,135.0,159.0,0.0031,0.83526,0.10804,0.83817,0.0173,0.01697,0.01697,0.4779,0.0,0.0,0.0,0.0,0.0,0.0
36117,Wayne County,NY,97.17567,False,True,True,131.0,142.0,0.00301,0.8668,0.10065,0.8486,0.0161,0.01778,0.01778,0.5827,111.16647,1.97679,0.29553,0.21356,0.16204,0.3756
36001,Albany County,NY,205.38658,False,False,False,122.0,129.0,0.0028,0.74926,0.15239,0.79665,0.0322,0.03107,0.03107,0.5565,0.0,0.0,0.0,0.0,0.0,0.0
42117,Tioga County,PA,100.00708,False,False,True,83.0,90.0,0.00191,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
36071,Orange County,NY,213.97966,False,False,False,82.0,97.0,0.00188,0.76582,0.12764,0.80933,0.0232,0.02356,0.02356,0.6848,0.0,0.0,0.0,0.0,0.0,0.0
36063,Niagara County,NY,211.32827,False,False,False,81.0,85.0,0.00186,0.84435,0.10564,0.85202,0.0154,0.01606,0.01606,0.5904,0.0,0.0,0.0,0.0,0.0,0.0
36123,Yates County,NY,55.63255,True,True,True,78.0,82.0,0.00179,0.7681,0.13449,0.80976,0.0146,0.01638,0.01638,0.4749,63.16147,1.03478,0.1547,0.10407,0.08096,0.18503
36093,Schenectady County,NY,202.86043,False,False,False,77.0,83.0,0.00177,0.79163,0.14269,0.81155,0.0237,0.02356,0.02356,0.5512,0.0,0.0,0.0,0.0,0.0,0.0
34003,Bergen County,NJ,259.25842,False,False,False,72.0,80.0,0.00165,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
36027,Dutchess County,NY,238.48364,False,False,False,70.0,76.0,0.00161,0.76117,0.15346,0.80463,0.0265,0.02727,0.02727,0.6415,0.0,0.0,0.0,0.0,0.0,0.0
36037,Genesee County,NY,153.0793,False,False,True,68.0,71.0,0.00156,0.88215,0.06741,0.89643,0.0122,0.01354,0.01354,0.4828,0.0,0.0,0.0,0.0,0.0,0.0
09001,,,,False,False,False,67.0,79.0,0.00154,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
36045,Jefferson County,NY,174.96522,False,False,False,64.0,67.0,0.00147,0.85949,0.0769,0.8749,0.0132,0.01408,0.01408,0.4214,0.0,0.0,0.0,0.0,0.0,0.0
36087,Rockland County,NY,249.06831,False,False,False,63.0,66.0,0.00145,0.74234,0.1338,0.80288,0.037,0.03714,0.03714,0.7062,0.0,0.0,0.0,0.0,0.0,0.0
36089,St. Lawrence County,NY,252.88733,False,False,False,63.0,69.0,0.00145,0.83983,0.07298,0.87106,0.0119,0.01295,0.01295,0.418,0.0,0.0,0.0,0.0,0.0,0.0
36083,Rensselaer County,NY,243.98993,False,False,False,62.0,72.0,0.00142,0.78881,0.14033,0.82091,0.0203,0.02103,0.02103,0.5755,0.0,0.0,0.0,0.0,0.0,0.0
36005,Bronx County,NY,281.45167,False,False,False,62.0,68.0,0.00142,0.27897,0.08862,0.83027,0.0219,0.01668,0.01668,0.7106,0.0,0.0,0.0,0.0,0.0,0.0
36051,Livingston County,NY,111.149,False,False,True,60.0,69.0,0.00138,0.83516,0.08564,0.86891,0.0132,0.01417,0.01417,0.5133,0.0,0.0,0.0,0.0,0.0,0.0
36077,Otsego County,NY,119.97499,False,False,True,57.0,60.0,0.00131,0.79243,0.11664,0.82848,0.0159,0.01717,0.01717,0.5135,0.0,0.0,0.0,0.0,0.0,0.0
36019,Clinton County,NY,339.16228,False,False,False,53.0,54.0,0.00122,0.8627,0.07569,0.86617,0.0146,0.01522,0.01522,0.5311,0.0,0.0,0.0,0.0,0.0,0.0
36009,Cattaraugus County,NY,181.44669,False,False,False,52.0,56.0,0.00119,0.85126,0.07967,0.86448,0.0068,0.00714,0.00714,0.4895,0.0,0.0,0.0,0.0,0.0,0.0
51059,Fairfax County,VA,408.51904,False,False,False,49.0,53.0,0.00112,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
36113,Warren County,NY,246.84681,False,False,False,49.0,55.0,0.00112,0.85319,0.09432,0.86072,0.0195,0.02046,0.02046,0.5331,0.0,0.0,0.0,0.0,0.0,0.0
34013,Essex County,NJ,261.85282,False,False,False,47.0,54.0,0.00108,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
36111,Ulster County,NY,190.37313,False,False,False,47.0,58.0,0.00108,0.75377,0.17601,0.78636,0.0302,0.031,0.031,0.6133,0.0,0.0,0.0,0.0,0.0,0.0
36121,Wyoming County,NY,146.33395,False,False,True,45.0,46.0,0.00103,0.85364,0.07246,0.87842,0.0077,0.00867,0.00867,0.4937,0.0,0.0,0.0,0.0,0.0,0.0
42091,Montgomery County,PA,265.8726,False,False,False,45.0,56.0,0.00103,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
25017,Middlesex County,MA,416.51583,False,False,False,43.0,49.0,0.00099,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
36013,Chautauqua County,NY,241.56438,False,False,False,40.0,42.0,0.00092,0.85764,0.0785,0.85826,0.0104,0.011,0.011,0.4989,0.0,0.0,0.0,0.0,0.0,0.0
34027,Morris County,NJ,238.79248,False,False,False,40.0,45.0,0.00092,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
