bg,jobs_total,jobs_residents,jobs_incommuters,jobs_incommuters_screened,incommuter_evs_central,incommuter_mwh_central,incommuter_share_of_jobs,share_of_incommuter_mwh,cumulative_share,rank
361090013021,10667,7474,3193,1964,25.2285,4.5885,0.2993,0.1396,0.1396,1
361090010001,2705,816,1889,1159,15.5152,2.8402,0.6983,0.0864,0.2261,2
361090015001,2260,837,1423,1142,14.3274,2.5964,0.6296,0.079,0.3051,3
361090009003,2352,1128,1224,1077,13.3955,2.4296,0.5204,0.0739,0.379,4
361090015002,1651,650,1001,648,8.4081,1.5296,0.6063,0.0465,0.4256,5
361090001001,2234,1330,904,646,8.2525,1.4973,0.4047,0.0456,0.4711,6
361090001002,1896,1125,771,573,7.2609,1.3169,0.4066,0.0401,0.5112,7
361090012001,2515,998,1517,505,6.7597,1.2354,0.6032,0.0376,0.5488,8
361090020001,1057,461,596,518,6.6461,1.1984,0.5639,0.0365,0.5853,9
361090008001,1460,833,627,463,5.7409,1.0456,0.4295,0.0318,0.6171,10
361090006004,1469,858,611,425,5.4392,0.9894,0.4159,0.0301,0.6472,11
361090011001,1010,576,434,365,4.4007,0.7978,0.4297,0.0243,0.6715,12
361090005001,774,438,336,286,3.5039,0.6339,0.4341,0.0193,0.6908,13
361090016002,542,243,299,253,3.3961,0.6178,0.5517,0.0188,0.7096,14
361090022003,487,225,262,224,3.0932,0.5625,0.538,0.0171,0.7267,15
361090021002,471,188,283,235,3.0953,0.5609,0.6008,0.0171,0.7438,16
361090005003,627,329,298,232,2.8713,0.5202,0.4753,0.0158,0.7596,17
361090015003,458,203,255,195,2.4895,0.4516,0.5568,0.0137,0.7734,18
361090010003,520,199,321,184,2.4411,0.4468,0.6173,0.0136,0.7869,19
361090007002,614,325,289,183,2.4076,0.4394,0.4707,0.0134,0.8003,20
361090010002,407,146,261,160,2.0574,0.3757,0.6413,0.0114,0.8118,21
361090014001,379,179,200,161,2.008,0.3637,0.5277,0.0111,0.8228,22
361090006001,396,195,201,141,1.8128,0.3298,0.5076,0.01,0.8329,23
361090016001,272,118,154,136,1.7908,0.3259,0.5662,0.0099,0.8428,24
361090020002,263,118,145,123,1.6322,0.2942,0.5513,0.009,0.8517,25
361090023002,468,310,158,125,1.6051,0.2931,0.3376,0.0089,0.8607,26
361090014002,221,51,170,121,1.5667,0.2866,0.7692,0.0087,0.8694,27
361090009001,290,143,147,125,1.5704,0.2858,0.5069,0.0087,0.8781,28
361090005002,340,176,164,117,1.5524,0.2825,0.4824,0.0086,0.8867,29
361090019012,266,101,165,113,1.4984,0.274,0.6203,0.0083,0.895,30
361090008002,352,205,147,114,1.4388,0.2614,0.4176,0.008,0.903,31
361090019021,191,87,104,101,1.13,0.2042,0.5445,0.0062,0.9092,32
361090021001,195,86,109,89,1.111,0.2004,0.559,0.0061,0.9153,33
361090022002,133,52,81,71,0.988,0.1796,0.609,0.0055,0.9207,34
361090013023,155,71,84,73,0.9686,0.1791,0.5419,0.0054,0.9262,35
361090020003,141,51,90,74,0.97,0.1752,0.6383,0.0053,0.9315,36
361090018002,249,167,82,80,0.9452,0.1715,0.3293,0.0052,0.9367,37
361090017001,206,94,112,71,0.8942,0.162,0.5437,0.0049,0.9417,38
361090016003,109,43,66,59,0.7634,0.1393,0.6055,0.0042,0.9459,39
361090006003,163,89,74,55,0.7206,0.1313,0.454,0.004,0.9499,40
361090022001,115,50,65,56,0.723,0.1309,0.5652,0.004,0.9539,41
361090011002,159,95,64,55,0.7083,0.1294,0.4025,0.0039,0.9578,42
361090002012,282,142,140,56,0.7046,0.128,0.4965,0.0039,0.9617,43
361090003001,344,190,154,52,0.6542,0.1202,0.4477,0.0037,0.9654,44
361090009002,122,73,49,46,0.5834,0.1064,0.4016,0.0032,0.9686,45
361090013022,183,119,64,43,0.5551,0.1007,0.3497,0.0031,0.9717,46
361090007001,165,103,62,41,0.5239,0.0956,0.3758,0.0029,0.9746,47
361090013012,137,89,48,38,0.4708,0.0852,0.3504,0.0026,0.9772,48
361090002011,139,64,75,35,0.4245,0.0771,0.5396,0.0023,0.9795,49
361090023001,101,56,45,32,0.4056,0.0738,0.4455,0.0022,0.9818,50
361090007003,107,49,58,27,0.3674,0.0671,0.5421,0.002,0.9838,51
361090006002,99,57,42,30,0.3572,0.0646,0.4242,0.002,0.9858,52
361090019011,69,34,35,32,0.3481,0.0629,0.5072,0.0019,0.9877,53
361090013011,64,37,27,22,0.3011,0.0549,0.4219,0.0017,0.9894,54
361090023003,51,18,33,22,0.2871,0.0525,0.6471,0.0016,0.991,55
361090014003,76,33,43,23,0.2755,0.0498,0.5658,0.0015,0.9925,56
361090018001,64,40,24,23,0.2522,0.0455,0.375,0.0014,0.9939,57
361090021003,39,13,26,21,0.2505,0.0452,0.6667,0.0014,0.9953,58
361090017002,67,34,33,20,0.2391,0.0433,0.4925,0.0013,0.9966,59
361090017003,43,22,21,17,0.1889,0.0341,0.4884,0.001,0.9976,60
361090018003,47,34,13,11,0.14,0.0254,0.2766,0.0008,0.9984,61
361090002022,55,37,18,11,0.1304,0.0237,0.3273,0.0007,0.9991,62
361090019022,50,39,11,8,0.1004,0.0181,0.22,0.0006,0.9997,63
361090004001,17,8,9,3,0.032,0.0059,0.5294,0.0002,0.9998,64
361090002021,3,1,2,2,0.0302,0.0055,0.6667,0.0002,1.0,65
