year,date,geography,access,level,stations,ports,count_basis,source,evidence
2014,2014-12-31,New York State,all,DCFC,,16.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2015,2015-12-31,New York State,all,DCFC,,71.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2016,2016-12-31,New York State,all,DCFC,,133.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2017,2017-12-31,New York State,all,DCFC,,176.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2018,2018-12-31,New York State,all,DCFC,,320.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2019,2019-12-31,New York State,all,DCFC,,506.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2020,2020-12-31,New York State,all,DCFC,,657.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2021,2021-12-31,New York State,all,DCFC,,855.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2022,2022-12-31,New York State,all,DCFC,,1164.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2023,2023-12-31,New York State,all,DCFC,,1359.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2024,2024-12-31,New York State,all,DCFC,,2059.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2025,2025-12-31,New York State,all,DCFC,,2962.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2014,2014-12-31,New York State,all,L1,,139.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2015,2015-12-31,New York State,all,L1,,103.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2016,2016-12-31,New York State,all,L1,,86.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2017,2017-12-31,New York State,all,L1,,81.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2018,2018-12-31,New York State,all,L1,,53.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2019,2019-12-31,New York State,all,L1,,25.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2020,2020-12-31,New York State,all,L1,,21.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2021,2021-12-31,New York State,all,L1,,42.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2022,2022-12-31,New York State,all,L1,,41.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2023,2023-12-31,New York State,all,L1,,38.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2024,2024-12-31,New York State,all,L1,,40.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2025,2025-12-31,New York State,all,L1,,57.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2014,2014-12-31,New York State,all,L2,,917.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2015,2015-12-31,New York State,all,L2,,1107.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2016,2016-12-31,New York State,all,L2,,1458.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2017,2017-12-31,New York State,all,L2,,1695.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2018,2018-12-31,New York State,all,L2,,2189.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2019,2019-12-31,New York State,all,L2,,4000.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2020,2020-12-31,New York State,all,L2,,5456.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2021,2021-12-31,New York State,all,L2,,6749.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2022,2022-12-31,New York State,all,L2,,8330.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2023,2023-12-31,New York State,all,L2,,9717.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2024,2024-12-31,New York State,all,L2,,15617.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2025,2025-12-31,New York State,all,L2,,17344.0,ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2007,2007-12-31,New York State,all,all,1.0,,"station locations only, 2007-2010","AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2008,2008-12-31,New York State,all,all,1.0,,"station locations only, 2007-2010","AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2009,2009-12-31,New York State,all,all,1.0,,"station locations only, 2007-2010","AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2010,2010-12-31,New York State,all,all,9.0,,"station locations only, 2007-2010","AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2011,2011-12-31,New York State,all,all,,226.0,"outlets (ports) only, 2011-2013","AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2012,2012-12-31,New York State,all,all,,520.0,"outlets (ports) only, 2011-2013","AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2013,2013-12-31,New York State,all,all,,693.0,"outlets (ports) only, 2011-2013","AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2014,2014-12-31,New York State,all,all,503.0,1072.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2015,2015-12-31,New York State,all,all,603.0,1281.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2016,2016-12-31,New York State,all,all,862.0,1677.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2017,2017-12-31,New York State,all,all,954.0,1952.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2018,2018-12-31,New York State,all,all,1157.0,2562.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2019,2019-12-31,New York State,all,all,1655.0,4531.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2020,2020-12-31,New York State,all,all,2036.0,6134.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2021,2021-12-31,New York State,all,all,2983.0,7646.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2022,2022-12-31,New York State,all,all,3326.0,9535.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2023,2023-12-31,New York State,all,all,3898.0,11114.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2024,2024-12-31,New York State,all,all,5182.0,17716.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2025,2025-12-31,New York State,all,all,5482.0,20363.0,stations|ports,"AFDC historical-station-counts.xlsx (late-Dec, public+private)",B
2014,2014-12-31,New York State,all,DCFC,,16.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,all,DCFC,,71.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,all,DCFC,,133.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,all,DCFC,,176.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,all,DCFC,,320.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,all,DCFC,,506.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,all,DCFC,,657.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,all,DCFC,,855.0,stations|ports,AFDC stations/states?date= page (status E),B
