date,geography,access,open_stations,absent_in_latest,share_absent,absent_no_station_within_100m,share_absent_no_station_within_100m,ports_open,ports_absent_in_latest,ports_absent_no_station_within_100m,latest_snapshot,evidence
2014-12-31,New York State,public,421,345,0.8194774346793349,134,0.3182897862232779,938,823,351,2020-12-31,D
2014-12-31,New York State,private,82,39,0.47560975609756095,27,0.32926829268292684,134,73,60,2020-12-31,D
2014-12-31,New York State,all,503,384,0.7634194831013916,161,0.32007952286282304,1072,896,411,2020-12-31,D
2014-12-31,Tompkins County,public,4,3,0.75,2,0.5,7,6,4,2020-12-31,D
2014-12-31,Tompkins County,private,1,0,0.0,0,0.0,1,0,0,2020-12-31,D
2014-12-31,Tompkins County,all,5,3,0.6,2,0.4,8,6,4,2020-12-31,D
2015-12-31,New York State,public,522,426,0.8160919540229885,140,0.2681992337164751,1144,975,334,2020-12-31,D
2015-12-31,New York State,private,81,36,0.4444444444444444,25,0.30864197530864196,137,74,61,2020-12-31,D
2015-12-31,New York State,all,603,462,0.7661691542288557,165,0.2736318407960199,1281,1049,395,2020-12-31,D
2015-12-31,Tompkins County,public,5,4,0.8,2,0.4,9,8,4,2020-12-31,D
2015-12-31,Tompkins County,private,1,0,0.0,0,0.0,1,0,0,2020-12-31,D
2015-12-31,Tompkins County,all,6,4,0.6666666666666666,2,0.3333333333333333,10,8,4,2020-12-31,D
2016-12-31,New York State,public,750,631,0.8413333333333334,151,0.20133333333333334,1517,1328,361,2020-12-31,D
2016-12-31,New York State,private,112,55,0.49107142857142855,33,0.29464285714285715,160,81,57,2020-12-31,D
2016-12-31,New York State,all,862,686,0.7958236658932715,184,0.21345707656612528,1677,1409,418,2020-12-31,D
2016-12-31,Tompkins County,public,8,7,0.875,3,0.375,13,12,6,2020-12-31,D
2016-12-31,Tompkins County,private,1,0,0.0,0,0.0,1,0,0,2020-12-31,D
2016-12-31,Tompkins County,all,9,7,0.7777777777777778,3,0.3333333333333333,14,12,6,2020-12-31,D
2017-12-31,New York State,public,867,730,0.8419838523644751,132,0.1522491349480969,1831,1588,326,2020-12-31,D
2017-12-31,New York State,private,87,30,0.3448275862068966,15,0.1724137931034483,121,42,24,2020-12-31,D
2017-12-31,New York State,all,954,760,0.7966457023060797,147,0.1540880503144654,1952,1630,350,2020-12-31,D
2017-12-31,Tompkins County,public,12,11,0.9166666666666666,2,0.16666666666666666,21,20,4,2020-12-31,D
2017-12-31,Tompkins County,private,1,0,0.0,0,0.0,1,0,0,2020-12-31,D
2017-12-31,Tompkins County,all,13,11,0.8461538461538461,2,0.15384615384615385,22,20,4,2020-12-31,D
2018-12-31,New York State,public,1063,805,0.7572906867356538,87,0.08184383819379115,2405,1718,191,2020-12-31,D
2018-12-31,New York State,private,94,29,0.30851063829787234,10,0.10638297872340426,157,50,25,2020-12-31,D
2018-12-31,New York State,all,1157,834,0.7208297320656871,97,0.08383751080380294,2562,1768,216,2020-12-31,D
2018-12-31,Tompkins County,public,21,18,0.8571428571428571,2,0.09523809523809523,41,36,4,2020-12-31,D
2018-12-31,Tompkins County,private,1,0,0.0,0,0.0,1,0,0,2020-12-31,D
2018-12-31,Tompkins County,all,22,18,0.8181818181818182,2,0.09090909090909091,42,36,4,2020-12-31,D
2019-12-31,New York State,public,1556,498,0.32005141388174807,52,0.033419023136246784,4277,1118,121,2020-12-31,D
2019-12-31,New York State,private,99,10,0.10101010101010101,2,0.020202020202020204,254,20,12,2020-12-31,D
2019-12-31,New York State,all,1655,508,0.30694864048338366,54,0.03262839879154079,4531,1138,133,2020-12-31,D
2019-12-31,Tompkins County,public,28,16,0.5714285714285714,1,0.03571428571428571,64,34,2,2020-12-31,D
2019-12-31,Tompkins County,private,1,0,0.0,0,0.0,1,0,0,2020-12-31,D
2019-12-31,Tompkins County,all,29,16,0.5517241379310345,1,0.034482758620689655,65,34,2,2020-12-31,D
