year,geography,access,metric,historical_snapshot,open_date_curve,open_date_basis,difference,ratio_open_date_to_snapshot,evidence
2014,Tompkins County,public,stations,4.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-4.0,0.0,D
2014,Tompkins County,public,L2 ports,7.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-7.0,0.0,D
2014,Tompkins County,public,DCFC ports,0.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,,D
2015,Tompkins County,public,stations,5.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-5.0,0.0,D
2015,Tompkins County,public,L2 ports,9.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-9.0,0.0,D
2015,Tompkins County,public,DCFC ports,0.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,,D
2016,Tompkins County,public,stations,8.0,2,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-6.0,0.25,D
2016,Tompkins County,public,L2 ports,11.0,3,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-8.0,0.2727272727272727,D
2016,Tompkins County,public,DCFC ports,2.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-2.0,0.0,D
2017,Tompkins County,public,stations,12.0,2,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-10.0,0.16666666666666666,D
2017,Tompkins County,public,L2 ports,19.0,3,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-16.0,0.15789473684210525,D
2017,Tompkins County,public,DCFC ports,2.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-2.0,0.0,D
2018,Tompkins County,public,stations,21.0,2,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-19.0,0.09523809523809523,D
2018,Tompkins County,public,L2 ports,39.0,3,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-36.0,0.07692307692307693,D
2018,Tompkins County,public,DCFC ports,2.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-2.0,0.0,D
2019,Tompkins County,public,stations,28.0,6,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-22.0,0.21428571428571427,D
2019,Tompkins County,public,L2 ports,53.0,11,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-42.0,0.20754716981132076,D
2019,Tompkins County,public,DCFC ports,11.0,9,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-2.0,0.8181818181818182,D
2020,Tompkins County,public,stations,31.0,17,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-14.0,0.5483870967741935,D
2020,Tompkins County,public,L2 ports,61.0,33,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-28.0,0.5409836065573771,D
2020,Tompkins County,public,DCFC ports,11.0,9,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",-2.0,0.8181818181818182,D
2014,Tompkins County,private,stations,1.0,1,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,1.0,D
2014,Tompkins County,private,L2 ports,1.0,1,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,1.0,D
2014,Tompkins County,private,DCFC ports,0.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,,D
2015,Tompkins County,private,stations,1.0,1,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,1.0,D
2015,Tompkins County,private,L2 ports,1.0,1,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,1.0,D
2015,Tompkins County,private,DCFC ports,0.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,,D
2016,Tompkins County,private,stations,1.0,1,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,1.0,D
