year,ownership_scenario,charging_scenario,annual_mwh_total,annual_mwh_home,annual_mwh_work,annual_mwh_public_l2,annual_mwh_dcfc,annual_mwh_fleet,annual_mwh_passerby,peak_mw_total,peak_hour_of_year,home_peak_mw,load_factor
2026,policy,access+,10851.0895,5701.8375,446.9959,830.7928,1568.8888,1779.6116,522.9629,4.8916,7747,1.7294,0.2532
2030,policy,access+,32753.2885,17213.5656,1868.5751,1785.8875,5465.4263,4598.0251,1821.8088,16.0237,90,5.779,0.2333
2035,policy,access+,90618.6617,50061.2677,6587.0174,3456.4887,13590.8851,12392.7078,4530.295,41.9012,1387,17.1408,0.2469
2040,policy,access+,152326.9719,85896.8979,12110.2637,4612.4416,21416.7814,21151.6603,7138.9271,76.6116,1459,30.8042,0.227
2050,policy,access+,210075.6076,124276.1103,18170.7235,4214.6268,24601.7337,30611.8353,8200.5779,99.9887,66,44.9744,0.2398
2026,policy,base,10851.0895,5701.8375,446.9959,830.7928,1568.8888,1779.6116,522.9629,4.8916,7747,1.7294,0.2532
2030,policy,base,32843.3746,16978.8856,1586.1303,1942.4216,5803.434,4598.0251,1934.478,16.3703,90,5.7305,0.229
2035,policy,base,91173.2603,48537.883,5023.4298,4346.3321,15654.6807,12392.7078,5218.2269,41.5668,1387,17.265,0.2504
2040,policy,base,153152.5942,82819.5812,9085.4947,6128.8289,25475.2719,21151.6603,8491.7573,82.5168,1459,30.7137,0.2119
2050,policy,base,213042.6627,119954.7934,13540.2632,6561.9599,31780.3582,30611.8353,10593.4527,101.9307,66,42.8243,0.2386
2026,policy,managed,10859.4563,5704.809,446.794,831.2423,1572.7495,1779.6116,524.2498,4.7999,7747,1.6741,0.2583
2030,policy,managed,32852.9605,16991.628,1589.0519,1941.5393,5799.5371,4598.0251,1933.179,15.2466,90,4.9171,0.246
2035,policy,managed,90991.5147,48228.3915,4959.714,4352.4849,15793.6624,12392.7078,5264.5541,36.4132,1529,18.0903,0.2853
2040,policy,managed,156896.8525,83903.4169,9113.7622,6198.8525,27396.8705,21151.6603,9132.2902,67.2522,1075,33.6138,0.2663
2050,policy,managed,213257.5659,120464.5975,13876.2026,6503.8998,31350.773,30611.8353,10450.2577,82.2528,498,53.9727,0.296
2026,slow,access+,10851.0895,5701.8375,446.9959,830.7928,1568.8888,1779.6116,522.9629,4.8916,7747,1.7294,0.2532
2030,slow,access+,19115.0465,10106.3338,1087.0542,1116.688,3018.7333,2779.9929,1006.2444,9.1765,90,3.2937,0.2378
2035,slow,access+,31664.9846,17557.0924,2299.1356,1287.5079,4558.6235,4443.0842,1519.5412,14.492,1387,5.9227,0.2494
2040,slow,access+,46872.1201,26465.5765,3723.4124,1458.8725,6493.2714,6566.5634,2164.4238,23.4522,1459,9.444,0.2282
2050,slow,access+,80522.8229,47631.2223,6964.4173,1614.6948,9431.0038,11737.8168,3143.6679,38.3302,66,17.2386,0.2398
2026,slow,base,10851.0895,5701.8375,446.9959,830.7928,1568.8888,1779.6116,522.9629,4.8916,7747,1.7294,0.2532
2030,slow,base,19153.4033,9964.1141,922.2884,1213.1066,3205.4259,2779.9929,1068.4753,9.3676,90,3.2636,0.2334
2035,slow,base,31821.5034,17010.1268,1752.1901,1614.9596,5250.8571,4443.0842,1750.2857,14.3799,1387,5.9523,0.2526
2040,slow,base,47104.4319,25511.0068,2792.5157,1936.0134,7723.7495,6566.5634,2574.5832,25.2357,1459,9.4122,0.2131
2050,slow,base,81660.7323,45975.3034,5189.6975,2514.0361,12182.9088,11737.8168,4060.9696,39.0748,66,16.4144,0.2386
2026,slow,managed,10859.4563,5704.809,446.794,831.2423,1572.7495,1779.6116,524.2498,4.7999,7747,1.6741,0.2583
2030,slow,managed,19159.5008,9971.6843,924.1671,1212.6251,3203.2735,2779.9929,1067.7578,8.7366,90,2.8093,0.2503
2035,slow,managed,31765.081,16909.4065,1731.4926,1617.799,5297.474,4443.0842,1765.8247,12.5004,1529,6.2211,0.2901
2040,slow,managed,48243.4992,25842.0852,2801.6956,1958.0196,8306.3516,6566.5634,2768.7839,20.5931,1075,10.2681,0.2674
2050,slow,managed,81742.9157,46170.5539,5318.477,2491.7633,12018.2286,11737.8168,4006.0762,31.5315,498,20.6877,0.2959
2026,stall,access+,10851.0895,5701.8375,446.9959,830.7928,1568.8888,1779.6116,522.9629,4.8916,7747,1.7294,0.2532
2030,stall,access+,17147.3185,9080.9089,974.3344,1019.8824,2666.4352,2516.9459,888.8117,8.1891,90,2.9355,0.239
2035,stall,access+,30284.5173,16790.911,2198.9459,1230.3424,4362.3921,4247.7952,1454.1307,13.8621,1387,5.6654,0.2494
2040,stall,access+,60737.4768,34263.118,4827.2323,1856.1046,8497.4341,8461.1098,2832.478,30.4959,1459,12.2671,0.2274
2050,stall,access+,147897.9762,87478.9248,12792.2104,2958.7037,17341.1972,21546.5412,5780.3991,70.4307,66,31.6736,0.2397
2026,stall,base,10851.0895,5701.8375,446.9959,830.7928,1568.8888,1779.6116,522.9629,4.8916,7747,1.7294,0.2532
2030,stall,base,17178.2661,8952.0459,826.5433,1107.6108,2831.3401,2516.9459,943.78,8.3579,90,2.9081,0.2346
2035,stall,base,30434.6999,16267.9799,1675.8503,1543.3043,5024.8276,4247.7952,1674.9425,13.7549,1387,5.6939,0.2526
2040,stall,base,61057.2956,33032.8503,3621.1496,2465.25,10107.702,8461.1098,3369.234,32.8359,1459,12.2293,0.2123
2050,stall,base,149995.5828,84440.9715,9532.7151,4607.0288,22401.2447,21546.5412,7467.0816,71.8015,66,30.1592,0.2385
2026,stall,managed,10859.4563,5704.809,446.794,831.2423,1572.7495,1779.6116,524.2498,4.7999,7747,1.6741,0.2583
2030,stall,managed,17183.8584,8958.8695,828.2709,1107.1869,2829.4389,2516.9459,943.1463,7.7978,90,2.5055,0.2516
2035,stall,managed,30380.6445,16171.5532,1656.0346,1546.011,5069.4379,4247.7952,1689.8126,11.9583,1529,5.9512,0.29
2040,stall,managed,62544.5506,33463.9449,3632.6279,2493.3673,10870.1255,8461.1098,3623.3752,26.7732,1075,13.3699,0.2667
2050,stall,managed,150144.5831,84798.0601,9769.4862,4565.909,22098.44,21546.5412,7366.1467,57.9323,498,38.0118,0.2959
2026,trend,access+,10851.0895,5701.8375,446.9959,830.7928,1568.8888,1779.6116,522.9629,4.8916,7747,1.7294,0.2532
2030,trend,access+,22072.9533,11647.6563,1256.486,1262.1838,3548.3117,3175.545,1182.7706,10.6608,90,3.8322,0.2364
2035,trend,access+,50176.4002,27759.6711,3645.4065,1965.8001,7400.6716,6937.9604,2466.8905,23.1045,1387,9.4469,0.2479
2040,trend,access+,93587.1917,52780.2894,7438.8497,2845.8472,13127.1425,13019.3488,4375.7142,47.0338,1459,18.9134,0.2271
2050,trend,access+,173978.0722,102909.1669,15047.2359,3487.0414,20380.743,25360.3041,6793.581,82.8238,66,37.2477,0.2398
2026,trend,base,10851.0895,5701.8375,446.9959,830.7928,1568.8888,1779.6116,522.9629,4.8916,7747,1.7294,0.2532
2030,trend,base,22122.4499,11485.3611,1066.2053,1371.6639,3767.756,3175.545,1255.9187,10.8856,90,3.7981,0.232
2035,trend,base,50459.1414,26906.6469,2779.3045,2469.2638,8524.4743,6937.9604,2841.4914,22.9225,1387,9.5067,0.2513
2040,trend,base,94087.6729,50887.4106,5580.5756,3780.6815,15614.7423,13019.3488,5204.9141,50.6512,1459,18.8566,0.2121
2050,trend,base,176438.3523,99332.2446,11212.8674,5429.3228,26327.7101,25360.3041,8775.9034,84.4333,66,35.467,0.2385
2026,trend,managed,10859.4563,5704.809,446.794,831.2423,1572.7495,1779.6116,524.2498,4.7999,7747,1.6741,0.2583
2030,trend,managed,22129.3064,11494.0534,1068.311,1371.0956,3765.226,3175.545,1255.0753,10.1478,90,3.266,0.2489
2035,trend,managed,50363.137,26740.1347,2745.0491,2473.1205,8600.1543,6937.9604,2866.7181,20.0166,1529,9.9508,0.2872
2040,trend,managed,96383.863,51552.4998,5598.0905,3823.8417,16792.5616,13019.3488,5597.5205,41.2904,1075,20.627,0.2665
2050,trend,managed,176615.4671,99753.7443,11491.1595,5381.1523,25971.8301,25360.3041,8657.2767,68.1321,498,44.7005,0.2959
