dimension,level,n_households,n_hh_with_plugin,w_share_hh_with_plugin,ci90_lo,ci90_hi,relative_to_all_hh,w_plugin_share_of_hh_vehicles
home,apartment_2plus,1437,11,0.0058,0.0025,0.0096,0.197,0.0057
home,attached,748,26,0.0319,0.0209,0.0432,1.092,0.0217
home,detached,5430,201,0.0378,0.0315,0.0436,1.2922,0.0194
home,mobile,263,3,0.0102,0.0012,0.0261,0.3496,0.0058
tenure,own,3670,151,0.0427,0.0355,0.0507,1.4607,0.0218
tenure,rent,2166,71,0.0333,0.0257,0.0415,1.1381,0.0176
inc,<50k,3777,30,0.0091,0.0058,0.0131,0.3117,0.0065
inc,50-100k,2010,65,0.0291,0.0228,0.0363,0.9976,0.015
inc,100-125k,611,20,0.0273,0.0152,0.0417,0.9359,0.0119
inc,125-150k,593,40,0.0647,0.0436,0.0892,2.2152,0.0323
inc,150k+,806,83,0.1084,0.0871,0.1337,3.7091,0.0506
urban,rural,1587,30,0.0206,0.0124,0.0294,0.7045,0.0099
urban,urban,6306,211,0.0313,0.0264,0.0355,1.0707,0.0197
home_tenure,apartment_2plus_own,110,2,0.0263,0.0,0.0662,0.9015,0.0193
home_tenure,apartment_2plus_rent,70,2,0.011,0.0,0.0263,0.3777,0.0087
home_tenure,attached_own,329,16,0.0501,0.0295,0.0727,1.7144,0.0314
home_tenure,attached_rent,184,6,0.0314,0.0094,0.0566,1.0735,0.0197
home_tenure,detached_own,3156,132,0.0436,0.0356,0.0513,1.492,0.0217
home_tenure,detached_rent,1760,61,0.0361,0.028,0.0453,1.2368,0.0183
home_tenure,mobile_own,72,1,0.0047,0.0,0.0154,0.1619,0.002
home_tenure,mobile_rent,145,2,0.0177,0.0,0.0477,0.6047,0.0109
all,all,7893,241,0.0292,,,1.0,
