group,day_type,hour,w_share_last_home_arrival,n
US_all,weekday,0,0.0022,4894
US_all,weekday,1,0.0006,4894
US_all,weekday,2,0.0014,4894
US_all,weekday,3,0.0009,4894
US_all,weekday,4,0.0004,4894
US_all,weekday,5,0.0008,4894
US_all,weekday,6,0.0033,4894
US_all,weekday,7,0.0127,4894
US_all,weekday,8,0.0155,4894
US_all,weekday,9,0.0204,4894
US_all,weekday,10,0.0264,4894
US_all,weekday,11,0.0374,4894
US_all,weekday,12,0.0539,4894
US_all,weekday,13,0.0492,4894
US_all,weekday,14,0.0716,4894
US_all,weekday,15,0.1025,4894
US_all,weekday,16,0.1246,4894
US_all,weekday,17,0.1527,4894
US_all,weekday,18,0.1071,4894
US_all,weekday,19,0.0741,4894
US_all,weekday,20,0.058,4894
US_all,weekday,21,0.0431,4894
US_all,weekday,22,0.0248,4894
US_all,weekday,23,0.0166,4894
US_all,weekend,0,0.0153,1517
US_all,weekend,1,0.0046,1517
US_all,weekend,2,0.0012,1517
US_all,weekend,3,0.001,1517
US_all,weekend,4,0.0,1517
US_all,weekend,5,0.0028,1517
US_all,weekend,6,0.0026,1517
US_all,weekend,7,0.0128,1517
US_all,weekend,8,0.0142,1517
US_all,weekend,9,0.0272,1517
US_all,weekend,10,0.0307,1517
US_all,weekend,11,0.0538,1517
US_all,weekend,12,0.0648,1517
US_all,weekend,13,0.0632,1517
US_all,weekend,14,0.0982,1517
US_all,weekend,15,0.0777,1517
US_all,weekend,16,0.0903,1517
US_all,weekend,17,0.1039,1517
US_all,weekend,18,0.0884,1517
US_all,weekend,19,0.0602,1517
US_all,weekend,20,0.0704,1517
US_all,weekend,21,0.0611,1517
US_all,weekend,22,0.0302,1517
US_all,weekend,23,0.0253,1517
MidAtl_MSA<1M,weekday,0,0.0,181
MidAtl_MSA<1M,weekday,1,0.0,181
MidAtl_MSA<1M,weekday,2,0.0,181
MidAtl_MSA<1M,weekday,3,0.0,181
MidAtl_MSA<1M,weekday,4,0.0,181
MidAtl_MSA<1M,weekday,5,0.0,181
MidAtl_MSA<1M,weekday,6,0.0,181
MidAtl_MSA<1M,weekday,7,0.0242,181
MidAtl_MSA<1M,weekday,8,0.0092,181
MidAtl_MSA<1M,weekday,9,0.0454,181
MidAtl_MSA<1M,weekday,10,0.0649,181
MidAtl_MSA<1M,weekday,11,0.0463,181
MidAtl_MSA<1M,weekday,12,0.0755,181
MidAtl_MSA<1M,weekday,13,0.0292,181
MidAtl_MSA<1M,weekday,14,0.0312,181
MidAtl_MSA<1M,weekday,15,0.1259,181
MidAtl_MSA<1M,weekday,16,0.1106,181
MidAtl_MSA<1M,weekday,17,0.1197,181
MidAtl_MSA<1M,weekday,18,0.1401,181
MidAtl_MSA<1M,weekday,19,0.0433,181
MidAtl_MSA<1M,weekday,20,0.0581,181
MidAtl_MSA<1M,weekday,21,0.0331,181
MidAtl_MSA<1M,weekday,22,0.0308,181
