group,day_type,n_vehicle_days,w_share_used,w_mean_miles,miles_p10,miles_p25,miles_p50,miles_p75,miles_p90,miles_p95,n_home_arrivals,last_home_arr_h_p25,last_home_arr_h_p50,last_home_arr_h_p75,n_work_arrivals,work_arr_h_p50,work_dwell_h_p50,w_mean_kwh_at_0.30kwh_per_mi,ann_miles_per_day_w_mean,ann_miles_per_day_p50
US_all,weekday,10068,0.506,15.165,0.0,0.0,0.838,17.308,41.943,62.588,4894,14.333,16.75,18.5,1979,8.0,8.5,4.55,39.334,19.178
US_all,weekend,3940,0.426,14.834,0.0,0.0,0.0,11.74,39.355,75.57,1517,13.25,16.25,18.833,187,10.0,7.28,4.45,39.321,20.696
US_all,all,14008,0.483,15.07,0.0,0.0,0.0,15.967,41.271,65.539,6411,14.0,16.644,18.583,2166,8.0,8.5,4.521,39.331,19.178
MidAtlantic_all,weekday,1028,0.51,14.013,0.0,0.0,1.13,15.288,39.332,55.965,508,14.5,16.833,18.583,223,8.0,8.25,4.204,36.654,16.438
MidAtlantic_all,weekend,394,0.514,11.104,0.0,0.0,1.838,15.017,28.473,53.947,162,12.796,16.235,19.302,21,9.628,8.25,3.331,48.654,21.918
MidAtlantic_all,all,1422,0.511,13.175,0.0,0.0,1.441,15.198,38.904,55.815,670,14.0,16.75,18.75,244,8.0,8.25,3.953,40.086,19.178
MidAtl_MSA<1M (CDIVMSAR 23),weekday,389,0.47,10.905,0.0,0.0,0.0,11.126,34.039,51.98,181,12.535,16.5,18.25,75,7.798,8.5,3.272,47.039,16.438
MidAtl_MSA<1M (CDIVMSAR 23),weekend,154,0.486,9.137,0.0,0.0,0.0,10.504,27.407,33.702,62,12.822,17.254,18.86,9,7.71,8.705,2.741,52.214,27.397
MidAtl_MSA<1M (CDIVMSAR 23),all,543,0.475,10.417,0.0,0.0,0.0,10.955,32.039,50.364,243,12.584,16.507,18.5,84,8.0,8.465,3.125,48.431,19.351
US_urban,weekday,7617,0.527,14.394,0.0,0.0,2.017,16.296,38.809,56.289,3879,14.333,16.833,18.583,1561,8.0,8.417,4.318,39.977,19.178
US_urban,weekend,3008,0.443,14.595,0.0,0.0,0.0,12.034,37.346,68.047,1223,13.333,16.25,19.0,156,9.959,7.288,4.378,39.741,19.732
US_urban,all,10625,0.502,14.453,0.0,0.0,0.35,15.28,38.648,59.3,5102,14.083,16.75,18.667,1717,8.0,8.333,4.336,39.908,19.178
US_rural,weekday,2451,0.438,17.65,0.0,0.0,0.0,21.721,53.065,74.975,1015,14.167,16.5,18.393,418,7.5,8.75,5.295,37.271,19.726
US_rural,weekend,932,0.367,15.689,0.0,0.0,0.0,10.677,45.311,101.649,294,12.98,16.167,18.75,31,9.64,7.25,4.707,37.814,24.251
US_rural,all,3383,0.419,17.116,0.0,0.0,0.0,19.777,52.172,80.794,1309,13.75,16.463,18.5,449,7.583,8.75,5.135,37.418,21.37
US_MSA<1M_or_nonMSA,weekday,3585,0.483,14.647,0.0,0.0,0.0,14.277,41.167,67.792,1660,14.25,16.575,18.25,687,7.917,8.5,4.394,42.058,19.178
US_MSA<1M_or_nonMSA,weekend,1401,0.389,14.478,0.0,0.0,0.0,8.677,36.91,76.977,492,13.059,16.072,18.5,65,8.296,7.511,4.343,40.591,19.726
US_MSA<1M_or_nonMSA,all,4986,0.456,14.599,0.0,0.0,0.0,13.201,40.379,69.787,2152,13.943,16.5,18.25,752,8.0,8.5,4.38,41.645,19.178
