year,model,cv_poisson_dev,dev_explained_vs_M0,mae,alloc_poisson_dev,alloc_mae,alloc_n_zips
2023,M0_households,160461.8478,0.0,98.1498,27653.8831,28.6151,1361
2023,M1_vehicles,31672.513,0.8026,33.1967,25649.2943,26.5916,1361
2023,M2_class_prior_fixed,55043.9638,0.657,50.2935,34621.8332,31.8377,1361
2023,M3_class_estimated,34261.4008,0.7865,33.64,26587.5447,26.8674,1361
2023,M4_class_no_area,41512.7775,0.7413,40.2481,35166.693,34.2915,1361
2023,M5_tempered_prior,33762.5589,0.7896,34.5021,25542.6719,26.5947,1361
2023,M6_tempered_split,34068.869,0.7877,34.7217,25742.2015,26.6631,1361
2026,M0_households,362883.3372,0.0,219.0233,75507.5306,67.4979,1361
2026,M1_vehicles,78669.6706,0.7832,72.651,68249.6289,61.6532,1361
2026,M2_class_prior_fixed,126414.7061,0.6516,110.68,90301.4928,76.2557,1361
2026,M3_class_estimated,85969.3981,0.7631,79.1877,68234.3403,62.9446,1361
2026,M4_class_no_area,98404.3878,0.7288,88.3962,83803.3417,76.1083,1361
2026,M5_tempered_prior,89622.2828,0.753,82.1836,67575.84,61.4878,1361
2026,M6_tempered_split,89524.2874,0.7533,82.0064,67849.3724,61.616,1361
fit2023->alloc2026,M0_households,,,,79470.8819,68.5978,1361
fit2023->alloc2026,M1_vehicles,,,,72809.1649,64.1239,1361
fit2023->alloc2026,M2_class_prior_fixed,,,,96176.6924,79.0639,1361
fit2023->alloc2026,M3_class_estimated,,,,70645.0881,62.6313,1361
fit2023->alloc2026,M4_class_no_area,,,,83798.9498,75.6036,1361
fit2023->alloc2026,M5_tempered_prior,,,,72049.7079,63.5579,1361
fit2023->alloc2026,M6_tempered_split,,,,72055.3467,63.5615,1361
