year,model,param,estimate,se,rel_risk,rr_lo,rr_hi,prior_rel_risk,n_zips,converged
2023,M3_class_estimated,SF|rent,0.5827,0.243,1.7909,1.1123,2.8836,0.6,1363,True
2023,M3_class_estimated,MF2_4|own,-2.1231,0.5859,0.1197,0.038,0.3773,0.8,1363,True
2023,M3_class_estimated,MF2_4|rent,0.1212,0.2258,1.1289,0.7252,1.7573,0.35,1363,True
2023,M3_class_estimated,MF5P|own,0.038,0.2017,1.0387,0.6995,1.5423,0.7,1363,True
2023,M3_class_estimated,MF5P|rent,0.1336,0.1381,1.1429,0.8719,1.4982,0.25,1363,True
2023,M3_class_estimated,MOBILE|own,-0.3144,0.3603,0.7303,0.3604,1.4798,0.3,1363,True
2023,M3_class_estimated,MOBILE|rent,-1.3222,1.1335,0.2665,0.0289,2.458,0.2,1363,True
2023,M3_class_estimated,<50k,0.0381,0.2749,1.0389,0.6061,1.7806,0.45,1363,True
2023,M3_class_estimated,100-150k,0.0843,0.3339,1.088,0.5655,2.0932,1.5,1363,True
2023,M3_class_estimated,150k+,0.1003,0.254,1.1055,0.672,1.8186,3.0,1363,True
2023,M3_class_estimated,eta,0.8388,0.1654,,,,1.0,1363,True
2023,M3_class_estimated,z_log_home_value,0.3416,0.0263,,,,,1363,True
2023,M3_class_estimated,z_ba_share,0.4222,0.0243,,,,,1363,True
2023,M4_class_no_area,SF|rent,0.5474,0.267,1.7287,1.0243,2.9174,0.6,1363,True
2023,M4_class_no_area,MF2_4|own,-1.5858,0.6323,0.2048,0.0593,0.7072,0.8,1363,True
2023,M4_class_no_area,MF2_4|rent,-0.2817,0.343,0.7545,0.3852,1.478,0.35,1363,True
2023,M4_class_no_area,MF5P|own,0.7471,0.2001,2.1109,1.4261,3.1245,0.7,1363,True
2023,M4_class_no_area,MF5P|rent,0.6482,0.14,1.912,1.453,2.5159,0.25,1363,True
2023,M4_class_no_area,MOBILE|own,-2.4494,0.6515,0.0863,0.0241,0.3096,0.3,1363,True
2023,M4_class_no_area,MOBILE|rent,-1.9397,0.8577,0.1438,0.0268,0.7721,0.2,1363,True
2023,M4_class_no_area,<50k,-1.5228,0.6997,0.2181,0.0553,0.8595,0.45,1363,True
2023,M4_class_no_area,100-150k,0.0728,0.6094,1.0755,0.3258,3.5511,1.5,1363,True
2023,M4_class_no_area,150k+,2.6454,0.2895,14.0892,7.9885,24.8491,3.0,1363,True
2023,M4_class_no_area,eta,0.2929,0.1821,,,,1.0,1363,True
2023,M5_tempered_prior,omega,0.0,0.0674,,,,,1363,True
2023,M5_tempered_prior,eta,0.8247,0.1373,,,,,1363,True
2023,M5_tempered_prior,z_log_home_value,0.3385,0.021,,,,,1363,True
2023,M5_tempered_prior,z_ba_share,0.4475,0.0219,,,,,1363,True
2023,M6_tempered_split,omega_structure_tenure,0.0,0.0957,,,,,1363,True
2023,M6_tempered_split,omega_income,0.0122,0.1146,,,,,1363,True
2023,M6_tempered_split,eta,0.8169,0.1385,,,,,1363,True
2023,M6_tempered_split,z_log_home_value,0.3369,0.0249,,,,,1363,True
2023,M6_tempered_split,z_ba_share,0.4459,0.024,,,,,1363,True
2026,M3_class_estimated,SF|rent,0.2599,0.263,1.2968,0.7745,2.1714,0.6,1363,True
2026,M3_class_estimated,MF2_4|own,-1.9106,0.6021,0.148,0.0455,0.4817,0.8,1363,True
2026,M3_class_estimated,MF2_4|rent,0.6684,0.1413,1.9512,1.4792,2.5738,0.35,1363,True
2026,M3_class_estimated,MF5P|own,-0.5755,0.2291,0.5624,0.3589,0.8812,0.7,1363,True
2026,M3_class_estimated,MF5P|rent,-0.0505,0.129,0.9508,0.7383,1.2244,0.25,1363,True
2026,M3_class_estimated,MOBILE|own,-0.6709,0.3994,0.5112,0.2337,1.1183,0.3,1363,True
2026,M3_class_estimated,MOBILE|rent,-1.5752,0.9764,0.207,0.0305,1.4029,0.2,1363,True
2026,M3_class_estimated,<50k,-0.1325,0.2531,0.8759,0.5334,1.4385,0.45,1363,True
2026,M3_class_estimated,100-150k,-0.0207,0.3165,0.9795,0.5267,1.8215,1.5,1363,True
2026,M3_class_estimated,150k+,0.38,0.2172,1.4622,0.9553,2.2382,3.0,1363,True
2026,M3_class_estimated,eta,0.3262,0.1617,,,,1.0,1363,True
2026,M3_class_estimated,z_log_home_value,0.3602,0.0236,,,,,1363,True
2026,M3_class_estimated,z_ba_share,0.2978,0.0219,,,,,1363,True
2026,M4_class_no_area,SF|rent,0.2508,0.2968,1.2851,0.7183,2.2992,0.6,1363,True
2026,M4_class_no_area,MF2_4|own,-0.5428,0.6019,0.5811,0.1786,1.8907,0.8,1363,True
2026,M4_class_no_area,MF2_4|rent,0.5945,0.192,1.8121,1.2439,2.6399,0.35,1363,True
2026,M4_class_no_area,MF5P|own,0.406,0.2266,1.5008,0.9625,2.34,0.7,1363,True
2026,M4_class_no_area,MF5P|rent,0.6494,0.1294,1.9144,1.4856,2.467,0.25,1363,True
2026,M4_class_no_area,MOBILE|own,-2.6125,0.6338,0.0734,0.0212,0.2541,0.3,1363,True
2026,M4_class_no_area,MOBILE|rent,-2.0677,0.8101,0.1265,0.0259,0.6188,0.2,1363,True
2026,M4_class_no_area,<50k,-1.3261,0.5847,0.2655,0.0844,0.8352,0.45,1363,True
2026,M4_class_no_area,100-150k,-0.1973,0.5549,0.8209,0.2767,2.4359,1.5,1363,True
2026,M4_class_no_area,150k+,2.3836,0.2461,10.8439,6.6947,17.5647,3.0,1363,True
2026,M4_class_no_area,eta,0.2,0.1708,,,,1.0,1363,True
2026,M5_tempered_prior,omega,0.0443,0.0597,,,,,1363,True
2026,M5_tempered_prior,eta,0.4745,0.1274,,,,,1363,True
2026,M5_tempered_prior,z_log_home_value,0.3913,0.0191,,,,,1363,True
2026,M5_tempered_prior,z_ba_share,0.3201,0.0194,,,,,1363,True
2026,M6_tempered_split,omega_structure_tenure,0.0,0.0824,,,,,1363,True
2026,M6_tempered_split,omega_income,0.1286,0.1062,,,,,1363,True
2026,M6_tempered_split,eta,0.4662,0.1279,,,,,1363,True
2026,M6_tempered_split,z_log_home_value,0.3795,0.0228,,,,,1363,True
2026,M6_tempered_split,z_ba_share,0.3106,0.0216,,,,,1363,True
