dataset,port_type,start_period,n,kwh_p50,conn_h_p50,power_kw_p50
boulder_public,L2,00-06,1936,8.644,2.089,5.817
boulder_public,L2,06-10,29520,8.471,2.098,5.471
boulder_public,L2,10-16,54282,6.738,1.666,5.583
boulder_public,L2,16-22,34769,6.889,1.629,5.686
boulder_public,L2,22-24,952,11.171,3.228,5.739
dundee_public,DCFC,00-06,29231,15.697,0.535,32.465
dundee_public,DCFC,06-10,37427,16.808,0.626,29.627
dundee_public,DCFC,10-16,118033,16.5,0.61,29.991
dundee_public,DCFC,16-22,89335,17.09,0.593,31.717
dundee_public,DCFC,22-24,16106,15.924,0.551,31.603
dundee_public,L2,00-06,2977,24.306,8.498,3.319
dundee_public,L2,06-10,10504,16.053,3.058,4.263
dundee_public,L2,10-16,29861,10.561,2.104,5.604
dundee_public,L2,16-22,16119,14.421,2.921,3.82
dundee_public,L2,22-24,1337,20.83,9.09,3.351
dundee_public,other,00-06,1120,30.741,0.626,51.673
dundee_public,other,06-10,1615,23.233,0.537,47.632
dundee_public,other,10-16,3909,26.117,0.624,41.338
dundee_public,other,16-22,3041,27.827,0.576,46.658
dundee_public,other,22-24,568,27.58,0.578,49.547
norway_residential_7kW,L2_home,00-06,2113,12.58,10.9,7.2
norway_residential_7kW,L2_home,06-10,1404,10.79,4.767,7.2
norway_residential_7kW,L2_home,10-16,9685,7.17,4.55,7.2
norway_residential_7kW,L2_home,16-22,18056,9.39,12.833,7.2
norway_residential_7kW,L2_home,22-24,3353,12.86,10.217,7.2
norway_residential,L2_home,00-06,2113,12.58,10.9,3.6
norway_residential,L2_home,06-10,1404,10.79,4.767,3.6
norway_residential,L2_home,10-16,9685,7.17,4.55,3.6
norway_residential,L2_home,16-22,18056,9.39,12.833,3.6
norway_residential,L2_home,22-24,3353,12.86,10.217,3.6
palo_alto_public,L1,00-06,1,9.287,7.701,1.226
palo_alto_public,L1,06-10,1869,3.074,2.855,1.287
palo_alto_public,L1,10-16,1715,3.019,2.783,1.282
palo_alto_public,L1,16-22,704,2.169,1.945,1.288
palo_alto_public,L1,22-24,14,9.979,9.193,1.19
palo_alto_public,L2,00-06,5407,7.045,2.51,3.187
palo_alto_public,L2,06-10,53863,8.384,2.697,3.576
palo_alto_public,L2,10-16,108993,6.823,2.023,3.873
palo_alto_public,L2,16-22,76060,6.505,1.787,4.391
palo_alto_public,L2,22-24,4256,11.276,7.277,4.391
workplace_midwest,L2,00-06,14,14.895,2.265,6.456
workplace_midwest,L2,06-10,209,6.7,2.4,3.3
workplace_midwest,L2,10-16,1851,6.44,2.901,3.3
workplace_midwest,L2,16-22,1214,5.71,2.887,3.3
workplace_midwest,L2,22-24,8,11.305,2.621,4.933
