dataset,port_type,day_type,hour,energy_share
boulder_public,L2,weekday,0,0.0095
boulder_public,L2,weekday,1,0.0077
boulder_public,L2,weekday,2,0.0061
boulder_public,L2,weekday,3,0.0047
boulder_public,L2,weekday,4,0.0038
boulder_public,L2,weekday,5,0.0049
boulder_public,L2,weekday,6,0.0155
boulder_public,L2,weekday,7,0.0306
boulder_public,L2,weekday,8,0.0514
boulder_public,L2,weekday,9,0.0762
boulder_public,L2,weekday,10,0.0837
boulder_public,L2,weekday,11,0.0823
boulder_public,L2,weekday,12,0.0796
boulder_public,L2,weekday,13,0.0765
boulder_public,L2,weekday,14,0.0695
boulder_public,L2,weekday,15,0.0618
boulder_public,L2,weekday,16,0.0598
boulder_public,L2,weekday,17,0.0613
boulder_public,L2,weekday,18,0.0658
boulder_public,L2,weekday,19,0.0586
boulder_public,L2,weekday,20,0.0399
boulder_public,L2,weekday,21,0.024
boulder_public,L2,weekday,22,0.0153
boulder_public,L2,weekday,23,0.0116
boulder_public,L2,weekend,0,0.0109
boulder_public,L2,weekend,1,0.0093
boulder_public,L2,weekend,2,0.0074
boulder_public,L2,weekend,3,0.0058
boulder_public,L2,weekend,4,0.0046
boulder_public,L2,weekend,5,0.0046
boulder_public,L2,weekend,6,0.008
boulder_public,L2,weekend,7,0.0181
boulder_public,L2,weekend,8,0.0353
boulder_public,L2,weekend,9,0.0546
boulder_public,L2,weekend,10,0.0678
boulder_public,L2,weekend,11,0.0824
boulder_public,L2,weekend,12,0.089
boulder_public,L2,weekend,13,0.0898
boulder_public,L2,weekend,14,0.086
boulder_public,L2,weekend,15,0.0772
boulder_public,L2,weekend,16,0.0657
boulder_public,L2,weekend,17,0.0643
boulder_public,L2,weekend,18,0.0641
boulder_public,L2,weekend,19,0.0565
boulder_public,L2,weekend,20,0.0421
boulder_public,L2,weekend,21,0.0261
boulder_public,L2,weekend,22,0.0172
boulder_public,L2,weekend,23,0.0132
dundee_public,DCFC,weekday,0,0.0184
dundee_public,DCFC,weekday,1,0.0153
dundee_public,DCFC,weekday,2,0.0125
dundee_public,DCFC,weekday,3,0.0092
dundee_public,DCFC,weekday,4,0.0089
dundee_public,DCFC,weekday,5,0.0089
