dataset,port_type,method,month,daily_kwh_index,n_months
boulder_public,L2,ratio to 2x12 centred MA,1,1.043,4
boulder_public,L2,ratio to 2x12 centred MA,2,1.015,4
boulder_public,L2,ratio to 2x12 centred MA,3,0.947,3
boulder_public,L2,ratio to 2x12 centred MA,4,1.033,3
boulder_public,L2,ratio to 2x12 centred MA,5,1.061,3
boulder_public,L2,ratio to 2x12 centred MA,6,0.953,2
boulder_public,L2,ratio to 2x12 centred MA,7,1.016,4
boulder_public,L2,ratio to 2x12 centred MA,8,1.037,4
boulder_public,L2,ratio to 2x12 centred MA,9,0.965,4
boulder_public,L2,ratio to 2x12 centred MA,10,1.017,4
boulder_public,L2,ratio to 2x12 centred MA,11,0.937,4
boulder_public,L2,ratio to 2x12 centred MA,12,0.977,4
dundee_public,DCFC,ratio to 2x12 centred MA,1,1.115,4
dundee_public,DCFC,ratio to 2x12 centred MA,2,1.131,4
dundee_public,DCFC,ratio to 2x12 centred MA,3,1.027,3
dundee_public,DCFC,ratio to 2x12 centred MA,4,0.874,3
dundee_public,DCFC,ratio to 2x12 centred MA,5,0.858,3
dundee_public,DCFC,ratio to 2x12 centred MA,6,0.903,3
dundee_public,DCFC,ratio to 2x12 centred MA,7,0.873,3
dundee_public,DCFC,ratio to 2x12 centred MA,8,0.868,3
dundee_public,DCFC,ratio to 2x12 centred MA,9,0.941,3
dundee_public,DCFC,ratio to 2x12 centred MA,10,0.905,3
dundee_public,DCFC,ratio to 2x12 centred MA,11,1.212,3
dundee_public,DCFC,ratio to 2x12 centred MA,12,1.293,3
dundee_public,L2,ratio to 2x12 centred MA,1,1.091,4
dundee_public,L2,ratio to 2x12 centred MA,2,1.137,4
dundee_public,L2,ratio to 2x12 centred MA,3,1.135,3
dundee_public,L2,ratio to 2x12 centred MA,4,0.981,3
dundee_public,L2,ratio to 2x12 centred MA,5,0.904,3
dundee_public,L2,ratio to 2x12 centred MA,6,0.89,3
dundee_public,L2,ratio to 2x12 centred MA,7,0.845,3
dundee_public,L2,ratio to 2x12 centred MA,8,0.904,3
dundee_public,L2,ratio to 2x12 centred MA,9,0.967,3
dundee_public,L2,ratio to 2x12 centred MA,10,0.884,3
dundee_public,L2,ratio to 2x12 centred MA,11,1.191,3
dundee_public,L2,ratio to 2x12 centred MA,12,1.07,3
dundee_public,other,ratio to 2x12 centred MA,1,0.997,3
dundee_public,other,ratio to 2x12 centred MA,2,0.79,3
dundee_public,other,ratio to 2x12 centred MA,3,0.636,2
dundee_public,other,ratio to 2x12 centred MA,4,0.592,2
dundee_public,other,ratio to 2x12 centred MA,5,0.867,2
dundee_public,other,ratio to 2x12 centred MA,6,0.869,2
dundee_public,other,ratio to 2x12 centred MA,7,0.836,2
dundee_public,other,ratio to 2x12 centred MA,8,1.127,2
dundee_public,other,ratio to 2x12 centred MA,9,1.337,2
dundee_public,other,ratio to 2x12 centred MA,10,1.216,3
