dataset,port_type,day_type,hour,share
boulder_public,L2,weekday,0,0.0017
boulder_public,L2,weekday,1,0.0012
boulder_public,L2,weekday,2,0.0007
boulder_public,L2,weekday,3,0.0004
boulder_public,L2,weekday,4,0.0011
boulder_public,L2,weekday,5,0.013
boulder_public,L2,weekday,6,0.0388
boulder_public,L2,weekday,7,0.0542
boulder_public,L2,weekday,8,0.0969
boulder_public,L2,weekday,9,0.0745
boulder_public,L2,weekday,10,0.0661
boulder_public,L2,weekday,11,0.0697
boulder_public,L2,weekday,12,0.0795
boulder_public,L2,weekday,13,0.0716
boulder_public,L2,weekday,14,0.0596
boulder_public,L2,weekday,15,0.0641
boulder_public,L2,weekday,16,0.0736
boulder_public,L2,weekday,17,0.0847
boulder_public,L2,weekday,18,0.0713
boulder_public,L2,weekday,19,0.0412
boulder_public,L2,weekday,20,0.0192
boulder_public,L2,weekday,21,0.009
boulder_public,L2,weekday,22,0.0048
boulder_public,L2,weekday,23,0.003
boulder_public,L2,weekend,0,0.0023
boulder_public,L2,weekend,1,0.002
boulder_public,L2,weekend,2,0.0011
boulder_public,L2,weekend,3,0.0009
boulder_public,L2,weekend,4,0.0007
boulder_public,L2,weekend,5,0.0034
boulder_public,L2,weekend,6,0.0145
boulder_public,L2,weekend,7,0.0389
boulder_public,L2,weekend,8,0.0629
boulder_public,L2,weekend,9,0.0727
boulder_public,L2,weekend,10,0.0871
boulder_public,L2,weekend,11,0.1017
boulder_public,L2,weekend,12,0.099
boulder_public,L2,weekend,13,0.0952
boulder_public,L2,weekend,14,0.0805
boulder_public,L2,weekend,15,0.0753
boulder_public,L2,weekend,16,0.067
boulder_public,L2,weekend,17,0.0715
boulder_public,L2,weekend,18,0.0524
boulder_public,L2,weekend,19,0.0379
boulder_public,L2,weekend,20,0.0165
boulder_public,L2,weekend,21,0.0088
boulder_public,L2,weekend,22,0.0049
boulder_public,L2,weekend,23,0.003
dundee_public,DCFC,weekday,0,0.0166
dundee_public,DCFC,weekday,1,0.0148
dundee_public,DCFC,weekday,2,0.0097
dundee_public,DCFC,weekday,3,0.0089
dundee_public,DCFC,weekday,4,0.0087
dundee_public,DCFC,weekday,5,0.0097
dundee_public,DCFC,weekday,6,0.0139
dundee_public,DCFC,weekday,7,0.0281
dundee_public,DCFC,weekday,8,0.0413
dundee_public,DCFC,weekday,9,0.0587
dundee_public,DCFC,weekday,10,0.0647
dundee_public,DCFC,weekday,11,0.0698
dundee_public,DCFC,weekday,12,0.0728
dundee_public,DCFC,weekday,13,0.0745
dundee_public,DCFC,weekday,14,0.0775
dundee_public,DCFC,weekday,15,0.0712
dundee_public,DCFC,weekday,16,0.0661
dundee_public,DCFC,weekday,17,0.0579
dundee_public,DCFC,weekday,18,0.0506
dundee_public,DCFC,weekday,19,0.0489
dundee_public,DCFC,weekday,20,0.0459
dundee_public,DCFC,weekday,21,0.0388
dundee_public,DCFC,weekday,22,0.0278
dundee_public,DCFC,weekday,23,0.023
dundee_public,DCFC,weekend,0,0.0322
dundee_public,DCFC,weekend,1,0.0451
dundee_public,DCFC,weekend,2,0.0385
dundee_public,DCFC,weekend,3,0.0224
dundee_public,DCFC,weekend,4,0.0221
dundee_public,DCFC,weekend,5,0.0167
dundee_public,DCFC,weekend,6,0.0148
dundee_public,DCFC,weekend,7,0.018
dundee_public,DCFC,weekend,8,0.0267
dundee_public,DCFC,weekend,9,0.0389
dundee_public,DCFC,weekend,10,0.0489
dundee_public,DCFC,weekend,11,0.0568
dundee_public,DCFC,weekend,12,0.0595
dundee_public,DCFC,weekend,13,0.0613
dundee_public,DCFC,weekend,14,0.0624
dundee_public,DCFC,weekend,15,0.0621
