dataset,port_type,site_type,day_type,n_sessions,n_users,period,kwh_mean,kwh_p10,kwh_p50,kwh_p90,conn_h_p50,conn_h_mean,conn_h_p90,charge_h_p50,charge_h_observed,idle_share_of_conn_mean,power_kw_p50,start_hour_mode,share_start_16_22,share_start_06_10,spearman_start_hour_vs_conn_h,spearman_conn_h_vs_kwh,n_raw,n_dropped_cleaning
boulder_public,L2,public,weekday,87047,,2018-01..2023-11,9.825,2.302,7.313,19.537,1.818,2.987,5.074,1.611,True,0.326,5.482,8,0.299,0.264,-0.139,0.756,148136,26677
boulder_public,L2,public,weekend,34412,,2018-01..2023-11,9.267,2.271,6.96,17.857,1.634,2.336,4.028,1.491,True,0.211,5.775,11,0.254,0.189,-0.004,0.79,148136,26677
dundee_public,DCFC,public,weekday,203616,,2021-07..2025-08,19.07,5.989,16.46,36.22,0.596,0.719,1.109,0.596,False,0.0,30.602,14,0.308,0.142,-0.024,0.727,387199,26016
dundee_public,DCFC,public,weekend,86516,,2021-07..2025-08,19.395,6.55,16.898,36.056,0.591,0.724,1.1,0.591,False,0.0,31.627,14,0.307,0.098,0.041,0.743,387199,26016
dundee_public,L2,public,weekday,45476,,2021-07..2025-08,16.163,3.542,12.94,33.26,2.726,5.439,16.143,2.726,False,0.0,4.24,11,0.273,0.197,0.008,0.622,387199,26016
dundee_public,L2,public,weekend,15322,,2021-07..2025-08,16.324,3.73,12.93,33.256,2.385,4.375,12.869,2.385,False,0.0,5.449,12,0.241,0.1,-0.02,0.685,387199,26016
dundee_public,other,public,weekday,7334,,2022-04..2025-08,32.934,9.634,26.285,60.325,0.598,0.644,1.149,0.598,False,0.0,44.373,15,0.285,0.171,0.0,0.642,387199,26016
dundee_public,other,public,weekend,2919,,2022-05..2025-08,33.371,9.701,27.46,60.277,0.586,0.633,1.131,0.586,False,0.0,47.023,15,0.326,0.125,0.023,0.671,387199,26016
norway_residential_7kW,L2_home,home,weekday,25477,267.0,2018-02..2021-08,12.579,2.94,9.02,26.34,11.083,11.77,20.767,1.248,False,0.853,7.2,16,0.542,0.042,0.139,0.302,35377,766
norway_residential_7kW,L2_home,home,weekend,9134,260.0,2018-02..2021-07,13.47,2.973,9.64,28.607,11.516,12.853,24.417,1.336,False,0.855,7.2,18,0.465,0.036,0.172,0.327,35377,766
norway_residential,L2_home,home,weekday,25477,267.0,2018-02..2021-08,12.579,2.94,9.02,26.34,11.083,11.77,20.767,2.383,False,0.722,3.6,16,0.542,0.042,0.139,0.302,35377,766
norway_residential,L2_home,home,weekend,9134,260.0,2018-02..2021-07,13.47,2.973,9.64,28.607,11.516,12.853,24.417,2.525,False,0.724,3.6,18,0.465,0.036,0.172,0.327,35377,766
palo_alto_public,L1,public,weekday,3933,542.0,2011-08..2019-12,3.339,1.246,2.977,5.603,2.791,3.016,4.727,2.656,True,0.057,1.285,8,0.144,0.466,-0.081,0.877,259415,6524
palo_alto_public,L1,public,weekend,370,198.0,2011-10..2019-10,2.967,0.827,1.926,6.214,1.718,2.867,6.243,1.636,True,0.067,1.293,12,0.376,0.1,-0.077,0.895,259415,6524
palo_alto_public,L2,public,weekday,188849,16517.0,2011-07..2020-12,9.022,2.391,7.387,16.72,2.288,2.602,4.337,1.981,True,0.192,3.669,11,0.303,0.235,-0.189,0.752,259415,6524
palo_alto_public,L2,public,weekend,59730,11533.0,2011-07..2020-12,8.303,1.838,6.237,16.29,1.636,2.311,4.483,1.459,True,0.215,4.862,12,0.316,0.159,0.031,0.819,259415,6524
workplace_midwest,L2,workplace,weekday,3213,84.0,2014-11..2015-10,5.956,2.9,6.3,7.12,2.863,2.915,4.095,1.903,False,0.404,3.3,11,0.375,0.061,-0.095,0.424,3395,99
workplace_midwest,L2,workplace,weekend,83,8.0,2015-02..2015-10,6.955,2.1,6.42,12.714,2.421,2.321,3.409,1.784,False,0.279,3.3,10,0.096,0.169,-0.221,0.374,3395,99
boulder_public,L2,public,all,121459,,2018-01..2023-11,9.667,2.293,7.207,19.061,1.757,2.802,4.723,1.576,True,0.299,5.598,8,0.286,0.243,-0.107,0.766,148136,26677
dundee_public,DCFC,public,all,290132,,2021-07..2025-08,19.167,6.128,16.6,36.18,0.594,0.721,1.106,0.594,False,0.0,30.93,14,0.308,0.129,-0.003,0.732,387199,26016
dundee_public,L2,public,all,60798,,2021-07..2025-08,16.204,3.59,12.93,33.26,2.64,5.171,15.564,2.64,False,0.0,4.555,11,0.265,0.173,-0.001,0.637,387199,26016
dundee_public,other,public,all,10253,,2022-04..2025-08,33.058,9.67,26.672,60.317,0.595,0.641,1.143,0.595,False,0.0,45.292,15,0.297,0.158,0.007,0.649,387199,26016
norway_residential_7kW,L2_home,home,all,34611,267.0,2018-02..2021-08,12.814,2.95,9.16,26.91,11.183,12.056,21.65,1.267,False,0.853,7.2,16,0.522,0.041,0.148,0.31,35377,766
norway_residential,L2_home,home,all,34611,267.0,2018-02..2021-08,12.814,2.95,9.16,26.91,11.183,12.056,21.65,2.422,False,0.723,3.6,16,0.522,0.041,0.148,0.31,35377,766
palo_alto_public,L1,public,all,4303,648.0,2011-08..2019-12,3.307,1.158,2.91,5.626,2.745,3.003,4.804,2.591,True,0.058,1.285,8,0.164,0.434,-0.113,0.883,259415,6524
palo_alto_public,L2,public,all,248579,21145.0,2011-07..2020-12,8.849,2.216,7.091,16.618,2.126,2.532,4.365,1.85,True,0.197,3.757,11,0.306,0.217,-0.148,0.773,259415,6524
workplace_midwest,L2,workplace,all,3296,84.0,2014-11..2015-10,5.982,2.865,6.3,7.14,2.843,2.9,4.079,1.9,False,0.401,3.3,11,0.368,0.063,-0.088,0.421,3395,99
