dataset,port_type,n_users_8wk_plus,quantile,sessions_per_week,kwh_per_week
norway_residential_7kW,L2_home,256,0.1,0.692,11.789
norway_residential_7kW,L2_home,256,0.25,1.378,20.246
norway_residential_7kW,L2_home,256,0.5,2.449,35.08
norway_residential_7kW,L2_home,256,0.75,4.107,52.901
norway_residential_7kW,L2_home,256,0.9,5.94,79.156
norway_residential,L2_home,256,0.1,0.692,11.789
norway_residential,L2_home,256,0.25,1.378,20.246
norway_residential,L2_home,256,0.5,2.449,35.08
norway_residential,L2_home,256,0.75,4.107,52.901
norway_residential,L2_home,256,0.9,5.94,79.156
palo_alto_public,L1,257,0.1,0.028,0.049
palo_alto_public,L1,257,0.25,0.049,0.113
palo_alto_public,L1,257,0.5,0.118,0.303
palo_alto_public,L1,257,0.75,0.286,1.012
palo_alto_public,L1,257,0.9,0.557,2.304
palo_alto_public,L2,10237,0.1,0.025,0.126
palo_alto_public,L2,10237,0.25,0.045,0.257
palo_alto_public,L2,10237,0.5,0.099,0.618
palo_alto_public,L2,10237,0.75,0.227,1.671
palo_alto_public,L2,10237,0.9,0.601,5.484
workplace_midwest,L2,55,0.1,0.548,2.979
workplace_midwest,L2,55,0.25,1.25,6.228
workplace_midwest,L2,55,0.5,3.1,19.004
workplace_midwest,L2,55,0.75,3.751,23.404
workplace_midwest,L2,55,0.9,4.417,27.782
