source,dimension,level,indicator,n,k,share_unweighted,wilson95_lo,wilson95_hi,n_weighted,share_weighted,boot95_lo,boot95_hi,kish_n_eff,share_weighted_by_units,boot95_units_lo,boot95_units_hi
general_survey gfhm-wz4s,statewide,all,park_any_amenity,1366,717,0.5249,0.4984,0.5513,1021,0.4212,0.3845,0.4573,675.141,0.6748,0.6092,0.739
general_survey gfhm-wz4s,statewide,all,park_offstreet,1366,687,0.5029,0.4764,0.5294,1021,0.4013,0.3662,0.4368,675.141,0.6418,0.564,0.7118
general_survey gfhm-wz4s,statewide,all,park_garage,1366,238,0.1742,0.155,0.1953,1021,0.164,0.1349,0.1897,675.141,0.3971,0.2947,0.496
general_survey gfhm-wz4s,statewide,all,park_open_lot,1366,551,0.4034,0.3777,0.4296,1021,0.3194,0.2882,0.3493,675.141,0.5436,0.448,0.6239
general_survey gfhm-wz4s,statewide,all,park_street_only,1366,30,0.022,0.0154,0.0312,1021,0.0199,0.0117,0.0288,675.141,0.0329,0.0126,0.066
general_survey gfhm-wz4s,statewide,all,ev_charging,1366,34,0.0249,0.0179,0.0346,1021,0.0178,0.0096,0.0276,675.141,0.0353,0.0137,0.0659
general_survey gfhm-wz4s,size,1-3 floors,park_any_amenity,514,352,0.6848,0.6434,0.7235,514,0.5672,0.5188,0.621,358.0952,0.856,0.7881,0.9021
general_survey gfhm-wz4s,size,1-3 floors,park_offstreet,514,346,0.6732,0.6314,0.7123,514,0.5538,0.501,0.6095,358.0952,0.8477,0.7765,0.8955
general_survey gfhm-wz4s,size,1-3 floors,park_garage,514,77,0.1498,0.1216,0.1833,514,0.1547,0.1204,0.1923,358.0952,0.3713,0.1983,0.5387
general_survey gfhm-wz4s,size,1-3 floors,park_open_lot,514,308,0.5992,0.5563,0.6407,514,0.4727,0.4228,0.5257,358.0952,0.782,0.6872,0.8479
general_survey gfhm-wz4s,size,1-3 floors,park_street_only,514,6,0.0117,0.0054,0.0252,514,0.0134,0.0031,0.0262,358.0952,0.0083,0.0006,0.0205
general_survey gfhm-wz4s,size,1-3 floors,ev_charging,514,6,0.0117,0.0054,0.0252,514,0.0118,0.0031,0.0236,358.0952,0.0466,0.0025,0.1242
general_survey gfhm-wz4s,size,4-7 floors,park_any_amenity,365,118,0.3233,0.2774,0.3729,365,0.252,0.2002,0.3035,250.7431,0.6015,0.4795,0.7105
general_survey gfhm-wz4s,size,4-7 floors,park_offstreet,365,102,0.2795,0.2359,0.3276,365,0.2291,0.1804,0.28,250.7431,0.5525,0.4118,0.6708
general_survey gfhm-wz4s,size,4-7 floors,park_garage,365,68,0.1863,0.1497,0.2294,365,0.163,0.1222,0.2043,250.7431,0.4478,0.2816,0.5753
general_survey gfhm-wz4s,size,4-7 floors,park_open_lot,365,62,0.1699,0.1348,0.2118,365,0.1517,0.1097,0.1969,250.7431,0.4397,0.2765,0.5849
general_survey gfhm-wz4s,size,4-7 floors,park_street_only,365,16,0.0438,0.0272,0.07,365,0.0229,0.0112,0.0388,250.7431,0.049,0.0104,0.115
general_survey gfhm-wz4s,size,4-7 floors,ev_charging,365,11,0.0301,0.0169,0.0532,365,0.0225,0.0093,0.041,250.7431,0.0289,0.008,0.0606
general_survey gfhm-wz4s,size,8+ floors,park_any_amenity,142,70,0.493,0.412,0.5743,142,0.4344,0.3366,0.5272,102.7547,0.5581,0.4238,0.6805
general_survey gfhm-wz4s,size,8+ floors,park_offstreet,142,62,0.4366,0.3578,0.5188,142,0.3879,0.3011,0.4787,102.7547,0.5237,0.389,0.6491
general_survey gfhm-wz4s,size,8+ floors,park_garage,142,36,0.2535,0.1891,0.3309,142,0.2327,0.1637,0.3183,102.7547,0.3189,0.1897,0.4526
general_survey gfhm-wz4s,size,8+ floors,park_open_lot,142,43,0.3028,0.2333,0.3828,142,0.2739,0.1919,0.3667,102.7547,0.4081,0.2683,0.5475
general_survey gfhm-wz4s,size,8+ floors,park_street_only,142,8,0.0563,0.0288,0.1072,142,0.0465,0.0131,0.0886,102.7547,0.0345,0.0115,0.0648
general_survey gfhm-wz4s,size,8+ floors,ev_charging,142,5,0.0352,0.0151,0.0798,142,0.0314,0.0061,0.0675,102.7547,0.0325,0.0026,0.072
general_survey gfhm-wz4s,units_class,10-19,park_any_amenity,223,104,0.4664,0.402,0.5319,171,0.3541,0.2739,0.4418,112.6851,0.3512,0.2757,0.4443
general_survey gfhm-wz4s,units_class,10-19,park_offstreet,223,100,0.4484,0.3846,0.514,171,0.3418,0.2659,0.4312,112.6851,0.3372,0.2583,0.426
general_survey gfhm-wz4s,units_class,10-19,park_garage,223,30,0.1345,0.0959,0.1856,171,0.1338,0.0828,0.194,112.6851,0.1335,0.0812,0.1942
general_survey gfhm-wz4s,units_class,10-19,park_open_lot,223,81,0.3632,0.3029,0.4282,171,0.247,0.1859,0.319,112.6851,0.241,0.1784,0.3133
general_survey gfhm-wz4s,units_class,10-19,park_street_only,223,4,0.0179,0.007,0.0452,171,0.0123,0.0,0.0286,112.6851,0.014,0.0,0.0333
general_survey gfhm-wz4s,units_class,10-19,ev_charging,223,5,0.0224,0.0096,0.0514,171,0.0181,0.0025,0.0398,112.6851,0.0167,0.0026,0.0361
general_survey gfhm-wz4s,units_class,100+,park_any_amenity,141,117,0.8298,0.7592,0.8829,107,0.8706,0.7888,0.9353,67.6327,0.8905,0.8055,0.948
general_survey gfhm-wz4s,units_class,100+,park_offstreet,141,112,0.7943,0.7202,0.8528,107,0.8329,0.7373,0.9086,67.6327,0.8544,0.7443,0.9262
general_survey gfhm-wz4s,units_class,100+,park_garage,141,59,0.4184,0.3402,0.501,107,0.5003,0.3843,0.6163,67.6327,0.5779,0.4153,0.715
general_survey gfhm-wz4s,units_class,100+,park_open_lot,141,90,0.6383,0.5563,0.713,107,0.7166,0.5963,0.8156,67.6327,0.7646,0.6319,0.8625
general_survey gfhm-wz4s,units_class,100+,park_street_only,141,5,0.0355,0.0152,0.0803,107,0.0376,0.0035,0.0905,67.6327,0.0361,0.0026,0.0952
general_survey gfhm-wz4s,units_class,100+,ev_charging,141,9,0.0638,0.0339,0.1169,107,0.0371,0.0047,0.0809,67.6327,0.0358,0.0045,0.0901
general_survey gfhm-wz4s,units_class,20-49,park_any_amenity,320,148,0.4625,0.4086,0.5173,232,0.3661,0.2945,0.4492,144.6011,0.3628,0.2857,0.4536
general_survey gfhm-wz4s,units_class,20-49,park_offstreet,320,140,0.4375,0.3842,0.4923,232,0.3419,0.2768,0.416,144.6011,0.337,0.2693,0.418
general_survey gfhm-wz4s,units_class,20-49,park_garage,320,62,0.1938,0.1542,0.2406,232,0.2022,0.1449,0.2645,144.6011,0.201,0.1422,0.2679
general_survey gfhm-wz4s,units_class,20-49,park_open_lot,320,100,0.3125,0.2642,0.3653,232,0.2318,0.1747,0.295,144.6011,0.2341,0.1748,0.3036
general_survey gfhm-wz4s,units_class,20-49,park_street_only,320,8,0.025,0.0127,0.0485,232,0.0242,0.0066,0.0466,144.6011,0.0258,0.0073,0.0497
general_survey gfhm-wz4s,units_class,20-49,ev_charging,320,6,0.0188,0.0086,0.0403,232,0.0156,0.0015,0.0378,144.6011,0.0153,0.0011,0.0366
general_survey gfhm-wz4s,units_class,5-9,park_any_amenity,491,239,0.4868,0.4428,0.5309,367,0.3503,0.3022,0.4043,266.5178,0.3412,0.2938,0.3969
