source,dimension,level,indicator,n_buildings,n,k,share_unweighted,wilson95_lo,wilson95_hi,n_weighted,share_weighted,boot95_lo,boot95_hi,kish_n_eff
site_visits qwyr-7esw,statewide,all,panel_le60A,358,563,195,0.3464,0.3082,0.3866,528,0.4296,0.3681,0.489,275.9768
site_visits qwyr-7esw,statewide,all,panel_ge100A,358,563,323,0.5737,0.5325,0.6139,528,0.4894,0.4338,0.549,275.9768
site_visits qwyr-7esw,statewide,all,panel_ge125A,358,563,121,0.2149,0.183,0.2507,528,0.1867,0.1436,0.2317,275.9768
site_visits qwyr-7esw,statewide,all,panel_ge200A,358,563,30,0.0533,0.0376,0.075,528,0.0486,0.0283,0.073,275.9768
site_visits qwyr-7esw,statewide,all,panel_208V,352,556,53,0.0953,0.0736,0.1226,530,0.0515,0.0316,0.0739,276.6471
site_visits qwyr-7esw,size,1-3 floors,panel_le60A,195,293,78,0.2662,0.2189,0.3196,280,0.3525,0.2708,0.4282,140.7829
site_visits qwyr-7esw,size,1-3 floors,panel_ge100A,195,293,196,0.6689,0.6132,0.7203,280,0.5838,0.5014,0.6707,140.7829
site_visits qwyr-7esw,size,1-3 floors,panel_ge125A,195,293,68,0.2321,0.1874,0.2837,280,0.1974,0.1375,0.264,140.7829
site_visits qwyr-7esw,size,1-3 floors,panel_ge200A,195,293,19,0.0648,0.0419,0.0991,280,0.055,0.0289,0.0858,140.7829
site_visits qwyr-7esw,size,1-3 floors,panel_208V,194,294,21,0.0714,0.0472,0.1067,281,0.0305,0.0122,0.0561,144.7619
site_visits qwyr-7esw,size,4-7 floors,panel_le60A,114,190,92,0.4842,0.4142,0.5549,172,0.5232,0.4282,0.617,112.9371
site_visits qwyr-7esw,size,4-7 floors,panel_ge100A,114,190,84,0.4421,0.3733,0.5132,172,0.3879,0.3016,0.4752,112.9371
site_visits qwyr-7esw,size,4-7 floors,panel_ge125A,114,190,27,0.1421,0.0995,0.1989,172,0.1564,0.0915,0.2303,112.9371
site_visits qwyr-7esw,size,4-7 floors,panel_ge200A,114,190,4,0.0211,0.0082,0.0529,172,0.0376,0.0061,0.0794,112.9371
site_visits qwyr-7esw,size,4-7 floors,panel_208V,105,173,17,0.0983,0.0623,0.1517,165,0.0709,0.0345,0.113,107.0273
site_visits qwyr-7esw,size,8+ floors,panel_le60A,49,80,25,0.3125,0.2215,0.4207,76,0.292,0.1741,0.4257,48.4444
site_visits qwyr-7esw,size,8+ floors,panel_ge100A,49,80,43,0.5375,0.429,0.6425,76,0.5451,0.4007,0.6775,48.4444
site_visits qwyr-7esw,size,8+ floors,panel_ge125A,49,80,26,0.325,0.2324,0.4336,76,0.3556,0.2206,0.5029,48.4444
site_visits qwyr-7esw,size,8+ floors,panel_ge200A,49,80,7,0.0875,0.043,0.1698,76,0.087,0.0207,0.1701,48.4444
site_visits qwyr-7esw,size,8+ floors,panel_208V,53,89,15,0.1685,0.1049,0.2596,84,0.0786,0.0349,0.1317,51.7527
site_visits qwyr-7esw,own,Affordable census block/NOAH,panel_le60A,72,106,36,0.3396,0.2565,0.434,103,0.4076,0.2908,0.5221,72.388
site_visits qwyr-7esw,own,Affordable census block/NOAH,panel_ge100A,72,106,61,0.5755,0.4804,0.6653,103,0.5155,0.3972,0.6293,72.388
site_visits qwyr-7esw,own,Affordable census block/NOAH,panel_ge125A,72,106,26,0.2453,0.1732,0.3351,103,0.2369,0.1511,0.3354,72.388
site_visits qwyr-7esw,own,Affordable census block/NOAH,panel_ge200A,72,106,4,0.0377,0.0148,0.093,103,0.0449,0.0066,0.1004,72.388
site_visits qwyr-7esw,own,Affordable census block/NOAH,panel_208V,72,107,4,0.0374,0.0146,0.0922,104,0.0212,0.0,0.0442,75.1718
site_visits qwyr-7esw,own,Affordable subsidized,panel_le60A,109,174,59,0.3391,0.2729,0.4122,174,0.4445,0.3528,0.5406,111.1218
site_visits qwyr-7esw,own,Affordable subsidized,panel_ge100A,109,174,102,0.5862,0.5119,0.6568,174,0.473,0.3805,0.5665,111.1218
site_visits qwyr-7esw,own,Affordable subsidized,panel_ge125A,109,174,41,0.2356,0.1787,0.304,174,0.1875,0.1289,0.2519,111.1218
site_visits qwyr-7esw,own,Affordable subsidized,panel_ge200A,109,174,9,0.0517,0.0274,0.0954,174,0.0414,0.0176,0.0727,111.1218
site_visits qwyr-7esw,own,Affordable subsidized,panel_208V,111,178,30,0.1685,0.1207,0.2304,178,0.108,0.0705,0.151,111.4648
site_visits qwyr-7esw,own,Co-op/condo,panel_le60A,33,61,24,0.3934,0.2807,0.5188,59,0.4206,0.2892,0.5742,46.6509
site_visits qwyr-7esw,own,Co-op/condo,panel_ge100A,33,61,25,0.4098,0.2954,0.535,59,0.3984,0.2568,0.5423,46.6509
site_visits qwyr-7esw,own,Co-op/condo,panel_ge125A,33,61,14,0.2295,0.1419,0.3491,59,0.2472,0.1247,0.3802,46.6509
site_visits qwyr-7esw,own,Co-op/condo,panel_ge200A,33,61,4,0.0656,0.0258,0.1568,59,0.1158,0.023,0.2405,46.6509
site_visits qwyr-7esw,own,Co-op/condo,panel_208V,34,63,6,0.0952,0.0444,0.1926,61,0.0638,0.0125,0.1395,48.0751
site_visits qwyr-7esw,own,Market-rate rental,panel_le60A,127,194,69,0.3557,0.2917,0.4252,192,0.4451,0.3545,0.527,131.2699
site_visits qwyr-7esw,own,Market-rate rental,panel_ge100A,127,194,114,0.5876,0.5173,0.6545,192,0.4942,0.4084,0.5805,131.2699
site_visits qwyr-7esw,own,Market-rate rental,panel_ge125A,127,194,34,0.1753,0.1282,0.2349,192,0.1363,0.0873,0.1892,131.2699
site_visits qwyr-7esw,own,Market-rate rental,panel_ge200A,127,194,13,0.067,0.0396,0.1113,192,0.037,0.0165,0.0632,131.2699
site_visits qwyr-7esw,own,Market-rate rental,panel_208V,122,189,11,0.0582,0.0328,0.1012,187,0.0614,0.0272,0.1025,124.2252
