dimension,level,indicator,n,k,share_unweighted,wilson95_lo,wilson95_hi,n_weighted,share_weighted,boot95_lo,boot95_hi,kish_n_eff,note
statewide,all,household_has_ge1_EV,156,8.0,0.0513,0.0262,0.0979,139.0,0.0294,0.0078,0.0581,93.5167,
size,1-3 floors,household_has_ge1_EV,70,2.0,0.0286,0.0079,0.0983,69.0,0.0321,0.0,0.0837,46.9528,
size,4-7 floors,household_has_ge1_EV,51,2.0,0.0392,0.0108,0.1322,51.0,0.018,0.0,0.0494,36.6939,
size,8+ floors,household_has_ge1_EV,19,2.0,0.1053,0.0294,0.3139,19.0,0.0783,0.0,0.1973,13.8698,
own,Affordable census block/NOAH,household_has_ge1_EV,37,1.0,0.027,0.0048,0.1382,37.0,0.0231,0.0,0.0767,28.3756,
own,Affordable subsidized,household_has_ge1_EV,25,1.0,0.04,0.0071,0.1954,25.0,0.058,0.0,0.1941,19.1781,
own,Co-op/condo,household_has_ge1_EV,24,2.0,0.0833,0.0232,0.2585,24.0,0.0457,0.0,0.126,21.5957,
own,Market-rate rental,household_has_ge1_EV,53,2.0,0.0377,0.0104,0.1275,53.0,0.0244,0.0,0.0661,37.0944,
region,ConEd,household_has_ge1_EV,57,2.0,0.0351,0.0097,0.1192,57.0,0.0095,0.0,0.025,44.6786,
region,PSEG-LI,household_has_ge1_EV,10,1.0,0.1,0.0179,0.4042,10.0,0.057,0.0,0.1964,9.1721,
region,CenHud+O&R,household_has_ge1_EV,13,2.0,0.1538,0.0433,0.4224,12.0,0.177,0.0,0.4197,11.7674,
region,NationalGrid,household_has_ge1_EV,43,1.0,0.0233,0.0041,0.1206,43.0,0.0269,0.0,0.0853,39.1793,
region,NYSEG+RG&E,household_has_ge1_EV,17,0.0,0.0,0.0,0.1843,17.0,0.0,0.0,0.0,15.2171,
region,Upstate (NationalGrid+NYSEG+RG&E),household_has_ge1_EV,60,1.0,0.0167,0.0029,0.0886,60.0,0.0135,0.0,0.0428,43.8558,
tenure,other,household_has_ge1_EV,3,1.0,0.3333,0.0615,0.7923,3.0,0.2225,0.0,1.0,2.5175,
tenure,own,household_has_ge1_EV,34,1.0,0.0294,0.0052,0.1492,34.0,0.0114,0.0,0.0398,24.2831,
tenure,rent,household_has_ge1_EV,119,6.0,0.0504,0.0233,0.1056,102.0,0.0321,0.0045,0.0684,67.477,
income,$150k+,household_has_ge1_EV,13,1.0,0.0769,0.0137,0.3331,13.0,0.0266,0.0,0.0997,9.4672,
income,$35-75k,household_has_ge1_EV,27,1.0,0.037,0.0066,0.1828,24.0,0.0423,0.0,0.1399,17.2374,
income,$75-150k,household_has_ge1_EV,23,1.0,0.0435,0.0077,0.2099,23.0,0.0135,0.0,0.0475,17.7936,
income,<$35k,household_has_ge1_EV,70,3.0,0.0429,0.0147,0.1186,57.0,0.0165,0.0,0.0534,39.5651,
income,refused,household_has_ge1_EV,23,2.0,0.087,0.0242,0.268,22.0,0.0558,0.0,0.1674,14.8822,
rent_assist,Don't know,household_has_ge1_EV,11,1.0,0.0909,0.0162,0.3774,9.0,0.1299,0.0,0.456,5.915,
rent_assist,No,household_has_ge1_EV,109,5.0,0.0459,0.0198,0.1029,99.0,0.0279,0.0057,0.0592,68.3856,
rent_assist,Yes,household_has_ge1_EV,36,2.0,0.0556,0.0154,0.1814,31.0,0.0,0.0,0.0,20.5917,
climate_zone,Climate Zone 5,household_has_ge1_EV,20,2.0,0.1,0.0279,0.301,20.0,0.1112,0.0,0.2824,15.7126,
climate_zone,Climate Zone 6,household_has_ge1_EV,6,0.0,0.0,0.0,0.3903,6.0,0.0,0.0,0.0,4.8078,
climate_zone,Long Island,household_has_ge1_EV,3,0.0,0.0,0.0,0.5615,3.0,0.0,0.0,0.0,2.9995,
climate_zone,NYC,household_has_ge1_EV,14,1.0,0.0714,0.0127,0.3147,14.0,0.0169,0.0,0.0601,11.4895,
climate_zone,Westchester County,household_has_ge1_EV,5,0.0,0.0,0.0,0.4345,5.0,0.0,0.0,0.0,4.7985,
statewide,all,household_has_any_vehicle,0,,,,,,,,,,NOT COLLECTED: SMBS asks only about electric vehicles (G15)
statewide,all,EVs_per_household_lower_bound,156,14.0,0.0897,,,139.0,0.0672,,,,"mean count with 'Three or more' coded 3 (value is a mean, not a share)"
