bg,hh,S0,S1,S2,S3,S0_per_hh,S1_per_hh,S2_per_hh,S3_per_hh,max_min_ratio
361090001001,918.0,66.176,29.439,20.8,10.843,0.072,0.032,0.023,0.012,6.103
361090001002,692.0,49.884,29.594,33.51,11.358,0.072,0.043,0.048,0.016,4.392
361090002011,1041.0,75.042,65.61,35.302,7.71,0.072,0.063,0.034,0.007,9.733
361090002012,121.0,8.723,7.308,2.363,0.72,0.072,0.06,0.02,0.006,12.119
361090002021,662.0,47.722,59.908,36.205,18.162,0.072,0.09,0.055,0.027,3.299
361090002022,428.0,30.853,20.124,11.333,7.126,0.072,0.047,0.026,0.017,4.33
361090003001,216.0,15.571,13.021,15.908,12.756,0.072,0.06,0.074,0.059,1.247
361090004001,381.0,27.465,18.117,21.078,16.026,0.072,0.048,0.055,0.042,1.714
361090005001,515.0,37.125,39.939,46.048,56.7,0.072,0.078,0.089,0.11,1.527
361090005002,516.0,37.197,33.557,30.585,33.928,0.072,0.065,0.059,0.066,1.216
361090005003,800.0,57.67,55.122,60.74,60.44,0.072,0.069,0.076,0.076,1.102
361090006001,613.0,44.189,31.035,36.991,59.945,0.072,0.051,0.06,0.098,1.932
361090006002,387.0,27.898,30.726,35.038,45.581,0.072,0.079,0.091,0.118,1.634
361090006003,248.0,17.878,7.257,15.097,5.373,0.072,0.029,0.061,0.022,3.327
361090006004,499.0,35.2,45.477,53.981,89.605,0.071,0.091,0.108,0.18,2.546
361090007001,743.0,53.561,33.557,22.099,10.074,0.072,0.045,0.03,0.014,5.317
361090007002,772.0,55.651,54.692,73.523,97.872,0.072,0.071,0.095,0.127,1.79
361090007003,686.0,49.452,54.195,47.747,43.692,0.072,0.079,0.07,0.064,1.24
361090008001,782.0,56.372,34.277,49.11,26.683,0.072,0.044,0.063,0.034,2.113
361090008002,796.0,57.381,51.262,44.359,31.293,0.072,0.064,0.056,0.039,1.834
361090009001,713.0,51.398,43.902,41.815,30.352,0.072,0.062,0.059,0.043,1.693
361090009002,978.0,70.501,87.34,110.973,149.005,0.072,0.089,0.113,0.152,2.114
361090009003,418.0,30.132,37.726,36.976,32.035,0.072,0.09,0.088,0.077,1.252
361090010001,849.0,61.202,68.092,53.67,33.067,0.072,0.08,0.063,0.039,2.059
361090010002,449.0,29.797,47.007,47.548,72.237,0.066,0.105,0.106,0.161,2.424
361090010003,1129.0,81.386,53.732,72.6,65.83,0.072,0.048,0.064,0.058,1.515
361090011001,1564.0,112.744,95.318,108.986,62.976,0.072,0.061,0.07,0.04,1.79
361090011002,1063.0,76.628,117.14,112.53,131.09,0.072,0.11,0.106,0.123,1.711
361090012001,111.0,8.002,7.566,8.115,6.483,0.072,0.068,0.073,0.058,1.252
361090013011,961.0,69.276,69.378,73.523,54.702,0.072,0.072,0.077,0.057,1.344
