GEOID,owner_share,owner_share_moe,mf5plus_share,mf5plus_share_moe,med_hh_income,med_hh_income_moe,veh_per_hh,college_share,college_share_moe,households,pop,pop_density_km2
361090004001,0.1601,0.0108,0.4529,0.29,57875.0,30305.0,0.9239,0.8658,0.0145,381,5342,1332.9331
361090008001,0.3171,0.1317,0.3605,0.1687,37464.0,27353.0,0.8517,0.1375,0.0908,782,1404,1560.9157
361090012001,0.3063,0.1074,0.4775,0.5523,,,1.3243,0.9661,0.0243,111,3480,2602.124
361090005002,0.3333,0.1931,0.5959,0.1703,96207.0,19710.0,1.2636,0.1162,0.0555,516,1196,1509.7884
361090010001,0.3793,0.1711,0.3952,0.2671,68118.0,30930.0,1.5583,0.2074,0.1791,849,1644,622.1511
361090020001,0.4886,0.048,0.323,0.1321,50833.0,17597.0,1.3679,0.2833,0.048,704,1984,124.4816
361090020002,0.8229,0.0726,0.0658,0.0771,97891.0,29394.0,1.7907,0.0432,0.0388,559,1157,90.228
361090022002,0.6726,0.1681,0.1422,0.0868,92083.0,32560.0,1.5908,0.0502,0.0501,391,936,255.5111
361090023002,0.6724,0.0672,0.1044,0.1464,96815.0,29631.0,1.9775,0.0164,0.0178,757,1763,34.1704
361090020003,0.7283,0.0958,0.0931,0.0903,93017.0,21648.0,1.9396,0.0292,0.0241,530,1163,44.1654
361090022001,0.675,0.1068,0.0,0.0391,58262.0,14932.0,1.9972,0.0181,0.0165,717,1771,38.976
361090023003,0.8378,0.0862,0.0214,0.052,81098.0,19930.0,1.8868,0.0,0.0131,592,1510,34.1726
361090014002,0.4212,0.0921,0.1554,0.1163,78125.0,30969.0,1.6227,0.1875,0.1162,546,1120,48.9108
361090017002,0.885,0.0692,0.0155,0.0474,79554.0,42276.0,1.7795,0.0563,0.0376,635,1474,41.6987
361090008002,0.3116,0.1372,0.1302,0.0975,66603.0,17509.0,1.2513,0.2187,0.0865,796,1381,3720.9779
361090022003,0.7287,0.0884,0.1514,0.091,63056.0,16969.0,1.6625,0.0105,0.0133,634,1328,43.9551
361090021001,0.7516,0.1826,0.0126,0.0425,94063.0,25472.0,2.0164,0.0385,0.0376,608,1716,47.8961
361090021003,0.6991,0.2304,0.0213,0.0384,79365.0,7246.0,1.9346,0.0985,0.0658,811,2051,55.0348
361090003001,0.5185,0.1862,0.4359,0.2105,,,1.1713,0.9433,0.0244,216,3157,811.9747
361090005003,0.4738,0.0578,0.3919,0.1278,79048.0,14823.0,1.3388,0.2315,0.021,800,1935,818.691
361090017003,0.7642,0.1201,0.0,0.069,114688.0,19110.0,2.4824,0.003,0.012,369,1335,35.1678
361090014003,0.7308,0.2252,0.0,0.0437,165313.0,102220.0,1.8238,0.0846,0.0584,613,1561,71.9945
361090014001,0.3442,0.2075,0.123,0.1123,83750.0,35138.0,1.5854,0.0174,0.0236,398,747,88.2768
361090018001,0.7975,0.0973,0.0357,0.0514,56280.0,20905.0,2.0037,0.0316,0.0386,805,1708,27.7331
361090021002,0.5649,0.0907,0.1571,0.1161,76912.0,27088.0,1.6569,0.012,0.0102,478,1000,69.6717
361090010002,0.9688,0.7222,0.0,0.0541,158942.0,94033.0,2.2739,0.0,0.0185,449,1068,38.263
361090001001,0.0381,0.0306,0.8449,0.1507,43214.0,4430.0,0.6231,0.4123,0.1134,918,1169,4829.9398
361090009001,0.3843,0.0614,0.3662,0.1202,55521.0,26621.0,1.1964,0.0257,0.0236,713,1519,119.8132
361090009002,0.9131,0.0928,0.0593,0.0736,121250.0,44860.0,1.7352,0.0495,0.0447,978,2059,341.7242
361090009003,0.7225,0.1321,0.1911,0.1532,95833.0,18403.0,1.7536,0.0634,0.0512,418,867,145.7688
361090015002,0.5449,0.0887,0.2346,0.1337,73750.0,16482.0,1.5582,0.1106,0.0702,1125,2594,88.4932
361090015003,0.7828,0.1522,0.0768,0.0804,167992.0,34417.0,2.3202,0.1483,0.1444,534,1612,139.5548
361090010003,0.3942,0.1638,0.3363,0.1777,57688.0,55244.0,0.9247,0.0647,0.0447,1129,2210,3881.5444
361090011002,0.7103,0.1195,0.0334,0.0467,103466.0,32856.0,2.1411,0.5159,0.0617,1063,3425,337.3687
361090016001,0.6767,0.1084,0.0,0.0308,72318.0,28166.0,1.7514,0.1599,0.1212,696,1520,44.1344
361090016002,0.5736,0.2055,0.0956,0.0514,72554.0,36834.0,1.5989,0.0202,0.0173,713,1334,396.479
361090016003,0.7564,0.1533,0.0492,0.0549,49006.0,7153.0,1.7894,0.0811,0.0713,698,1517,51.6937
361090017001,0.7355,0.065,0.043,0.0778,81813.0,28953.0,1.7872,0.0671,0.0439,639,1282,27.6739
361090006002,0.6176,0.1319,0.1792,0.1251,116563.0,73137.0,1.5426,0.4149,0.1319,387,1369,1301.3271
361090006003,0.0,0.0565,0.3826,0.2823,,,0.5685,0.9215,0.1358,248,815,2588.7562
361090023001,0.9471,0.0807,0.0255,0.047,87039.0,24786.0,2.0271,0.0424,0.0664,850,2100,28.3858
361090018002,0.8,0.1383,0.0378,0.0545,68875.0,30337.0,1.8365,0.0073,0.0152,850,1928,63.8966
361090018003,0.7932,0.1307,0.0247,0.0618,81343.0,24558.0,1.575,0.0236,0.0301,527,1018,13.8732
361090006004,0.8878,0.0963,0.0751,0.0998,239007.0,130001.0,1.8096,0.0782,0.034,499,1547,246.2451
361090007001,0.1144,0.0861,0.785,0.2104,,,0.8775,0.7682,0.1824,743,1156,2721.9406
361090007002,0.8346,0.0709,0.0,0.0326,110900.0,28179.0,1.3766,0.1059,0.0517,786,1568,1717.165
361090007003,0.4286,0.1408,0.0463,0.0625,76806.0,10345.0,1.535,0.1765,0.0949,686,1224,5050.3383
361090006001,0.4323,0.1724,0.5074,0.178,172587.0,62560.0,0.9837,0.0559,0.0561,613,1074,640.4458
361090005001,0.6602,0.1817,0.1065,0.0718,109861.0,34476.0,1.5068,0.067,0.0558,515,1253,590.69
361090019012,0.7483,0.0898,0.0398,0.0507,97298.0,16800.0,1.7705,0.0217,0.0217,719,1702,25.1344
361090019022,0.8107,0.1228,0.0,0.0414,95556.0,42576.0,2.0725,0.0733,0.0945,676,1638,33.1011
361090019021,0.8839,0.0849,0.0,0.0393,122750.0,60891.0,1.8869,0.0426,0.0343,663,1618,24.9601
361090013012,0.4435,0.0941,0.5792,0.1755,96477.0,61742.0,1.0503,0.3835,0.1091,1053,1867,2382.8699
361090019011,0.5475,0.0804,0.0,0.039,61875.0,18803.0,1.5773,0.0614,0.0483,705,1401,16.2862
361090013021,0.8523,0.0734,0.0768,0.0963,128438.0,25966.0,1.507,0.0559,0.0675,643,1234,342.1675
361090015001,0.1899,0.0733,0.6166,0.3343,71975.0,7261.0,1.4194,0.0747,0.06,1111,2436,689.0424
361090011001,0.2583,0.0237,0.2938,0.19,29430.0,18463.0,1.1841,0.3346,0.1668,1564,2729,356.2023
361090013023,0.8041,0.2002,0.0763,0.1233,,,2.3791,0.1145,0.0911,393,795,67.3191
361090013011,0.2289,0.0557,0.2933,0.1237,43310.0,15074.0,1.4027,0.342,0.2873,961,1646,4794.7799
361090013022,0.224,0.0864,0.4865,0.1882,83750.0,77696.0,1.0254,0.1096,0.0952,433,684,271.4736
361090001002,0.0347,0.0402,0.5237,0.0944,37051.0,7520.0,0.8309,0.3996,0.2464,692,1031,3841.7826
361090002012,0.1538,0.2047,0.6685,0.371,2499.0,,1.1469,0.804,0.1729,143,1000,10679.1969
361090002021,0.1767,0.1079,0.4454,0.2019,75797.0,65849.0,1.7583,0.6982,0.2531,662,1627,9281.444
361090002022,0.2103,0.2173,0.4634,0.3534,,,0.9136,0.6728,0.3749,428,599,5484.2431
361090002011,0.0,0.0134,0.7358,0.2185,41611.0,16121.0,1.2246,0.7985,0.2323,1042,1439,23557.7238
