month,original_all,original_decoded,original_bev,original_phev,original_fuel_electric,rebates
2024-09,843,777,26,19,26,26.0
2024-10,876,819,29,21,29,24.0
2024-11,792,757,34,14,34,25.0
2024-12,816,769,41,21,42,39.0
2025-01,772,738,31,13,31,35.0
2025-02,721,696,21,12,21,34.0
2025-03,983,924,26,10,26,17.0
2025-04,1014,933,33,20,35,25.0
2025-05,1034,931,28,13,30,22.0
2025-06,1034,909,26,10,27,18.0
2025-07,1111,974,39,12,41,31.0
2025-08,1217,1121,48,21,50,26.0
2025-09,1044,960,69,16,69,44.0
2025-10,1000,927,38,8,39,24.0
2025-11,681,650,26,14,27,8.0
2025-12,736,692,19,7,19,11.0
2026-01,664,633,18,6,19,16.0
2026-02,625,584,14,7,14,9.0
2026-03,902,850,25,13,26,14.0
2026-04,938,843,30,9,31,13.0
2026-05,905,818,21,11,22,20.0
2026-06,1101,975,30,17,31,11.0
2026-07,1072,959,29,16,29,28.0
2026-08,1116,1017,38,20,39,0.0
