snapshot_date,BEV,PHEV,source,EV
2011-03-03,18.9,0.0,EValuateNY v11 (ZIP pop-share weighted),18.9
2012-03-09,22.9,2.0,EValuateNY v11 (ZIP pop-share weighted),24.9
2013-03-08,26.6,29.8,EValuateNY v11 (ZIP pop-share weighted),56.4
2014-03-08,31.0,60.8,EValuateNY v11 (ZIP pop-share weighted),91.8
2015-03-08,51.3,85.6,EValuateNY v11 (ZIP pop-share weighted),137.0
2016-03-08,57.0,93.6,EValuateNY v11 (ZIP pop-share weighted),150.6
2017-07-20,78.3,162.8,EValuateNY v11 (ZIP pop-share weighted),241.2
2017-08-08,80.0,175.8,EValuateNY v11 (ZIP pop-share weighted),255.9
2017-09-08,88.2,183.5,EValuateNY v11 (ZIP pop-share weighted),271.7
2017-11-17,103.3,199.7,EValuateNY v11 (ZIP pop-share weighted),303.1
2018-01-02,107.7,210.6,EValuateNY v11 (ZIP pop-share weighted),318.3
2018-03-05,110.7,217.3,EValuateNY v11 (ZIP pop-share weighted),328.0
2018-04-03,109.7,225.2,EValuateNY v11 (ZIP pop-share weighted),334.9
2018-05-09,114.7,236.3,EValuateNY v11 (ZIP pop-share weighted),350.9
2018-06-26,116.3,248.2,EValuateNY v11 (ZIP pop-share weighted),364.6
2018-07-03,116.7,256.3,EValuateNY v11 (ZIP pop-share weighted),372.9
2018-08-02,117.6,273.2,EValuateNY v11 (ZIP pop-share weighted),390.9
2018-09-02,121.6,284.7,EValuateNY v11 (ZIP pop-share weighted),406.3
2018-10-02,126.0,298.7,EValuateNY v11 (ZIP pop-share weighted),424.7
2018-11-02,135.4,320.0,EValuateNY v11 (ZIP pop-share weighted),455.4
2018-12-02,140.3,329.4,EValuateNY v11 (ZIP pop-share weighted),469.7
2019-01-02,153.5,341.1,EValuateNY v11 (ZIP pop-share weighted),494.6
2019-02-02,161.8,361.0,EValuateNY v11 (ZIP pop-share weighted),522.8
2019-03-02,163.4,367.1,EValuateNY v11 (ZIP pop-share weighted),530.5
2019-04-02,167.2,374.3,EValuateNY v11 (ZIP pop-share weighted),541.4
2019-05-02,173.9,379.1,EValuateNY v11 (ZIP pop-share weighted),553.1
2019-06-02,180.3,384.9,EValuateNY v11 (ZIP pop-share weighted),565.3
2019-07-02,186.4,395.1,EValuateNY v11 (ZIP pop-share weighted),581.6
2019-08-02,196.7,403.0,EValuateNY v11 (ZIP pop-share weighted),599.8
2019-09-03,198.7,417.0,EValuateNY v11 (ZIP pop-share weighted),615.8
2019-10-11,203.4,428.6,EValuateNY v11 (ZIP pop-share weighted),631.9
2019-11-02,221.7,441.6,EValuateNY v11 (ZIP pop-share weighted),663.2
2019-12-02,226.7,453.6,EValuateNY v11 (ZIP pop-share weighted),680.3
2020-01-02,233.1,460.4,EValuateNY v11 (ZIP pop-share weighted),693.5
2020-02-02,238.1,462.9,EValuateNY v11 (ZIP pop-share weighted),700.9
2020-03-02,244.4,476.4,EValuateNY v11 (ZIP pop-share weighted),720.9
2020-04-02,249.4,486.3,EValuateNY v11 (ZIP pop-share weighted),735.8
2020-05-04,250.4,489.3,EValuateNY v11 (ZIP pop-share weighted),739.8
2020-06-02,248.4,483.3,EValuateNY v11 (ZIP pop-share weighted),731.7
2020-07-02,253.4,493.0,EValuateNY v11 (ZIP pop-share weighted),746.4
2020-08-02,259.6,491.8,EValuateNY v11 (ZIP pop-share weighted),751.5
2020-09-02,267.3,511.2,EValuateNY v11 (ZIP pop-share weighted),778.6
2020-10-02,282.3,522.5,EValuateNY v11 (ZIP pop-share weighted),804.8
2020-11-02,291.4,529.1,EValuateNY v11 (ZIP pop-share weighted),820.4
2020-12-02,299.3,534.5,EValuateNY v11 (ZIP pop-share weighted),833.8
2021-01-12,307.3,536.1,EValuateNY v11 (ZIP pop-share weighted),843.4
