year,scale,entity,metric,index,factor,variance_share,ci_low,ci_high,ci_type,mean,sd,n_draws,design
2026,block_group,361090001001,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,placement,0.49559,0.3908,0.6011,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,total_effect,placement,0.73926,0.65972,0.82308,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,behaviour,0.26074,0.17692,0.34028,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,total_effect,behaviour,0.50441,0.3989,0.6092,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,interaction,0.24367,0.20284,0.28947,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,placement:weighting,0.24872,0.17325,0.35089,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,placement:sampling,0.2349,0.1154,0.38742,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,placement:weighting_x_sampling,0.01197,0.00352,0.02151,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,behaviour:parameters,0.2536,0.16775,0.33747,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,behaviour:stochastic,0.00635,-0.00628,0.02783,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001001,annual_mwh_home,first_order,behaviour:parameters_x_stochastic,0.00079,-0.00221,0.00513,bootstrap_95_bias_shifted,32.02064,16.82147,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,placement,0.61827,0.55176,0.68867,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,total_effect,placement,0.86405,0.80883,0.91072,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,behaviour,0.13595,0.08928,0.19117,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,total_effect,behaviour,0.38173,0.31133,0.44824,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,interaction,0.24578,0.20147,0.29306,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,placement:weighting,0.42818,0.33327,0.50998,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,placement:sampling,0.14333,0.06982,0.21493,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,placement:weighting_x_sampling,0.04676,0.0226,0.0787,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,behaviour:parameters,0.13029,0.08588,0.18433,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,behaviour:stochastic,0.0048,-0.00652,0.02219,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090001002,annual_mwh_home,first_order,behaviour:parameters_x_stochastic,0.00085,-0.00225,0.00619,bootstrap_95_bias_shifted,28.23198,14.21041,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,placement,0.42785,0.2789,0.57823,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,total_effect,placement,0.82552,0.74479,0.89523,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,behaviour,0.17448,0.10477,0.25521,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,total_effect,behaviour,0.57215,0.42177,0.7211,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,interaction,0.39767,0.29123,0.5114,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,placement:weighting,0.08491,0.05235,0.13437,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,placement:sampling,0.32843,0.15599,0.49982,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,placement:weighting_x_sampling,0.01451,0.00533,0.02713,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,behaviour:parameters,0.18236,0.10811,0.25957,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,behaviour:stochastic,-0.00713,-0.02663,0.02815,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002011,annual_mwh_home,first_order,behaviour:parameters_x_stochastic,-0.00074,-0.00537,0.01012,bootstrap_95_bias_shifted,28.3533,10.99789,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,placement,0.38382,0.20919,0.5236,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,total_effect,placement,0.9496,0.89727,0.9904,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,behaviour,0.0504,0.0096,0.10273,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,total_effect,behaviour,0.61618,0.4764,0.79081,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,interaction,0.56579,0.43849,0.72528,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,placement:weighting,0.01703,-0.00534,0.06017,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,placement:sampling,0.32942,0.11553,0.4947,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,placement:weighting_x_sampling,0.03737,0.00724,0.09261,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,behaviour:parameters,0.05257,0.0269,0.09272,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,behaviour:stochastic,-0.00567,-0.03054,0.03723,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002012,annual_mwh_home,first_order,behaviour:parameters_x_stochastic,0.00349,-0.00515,0.01567,bootstrap_95_bias_shifted,2.00943,2.78264,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,placement,0.47812,0.34581,0.59135,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,total_effect,placement,0.80658,0.72114,0.89051,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,behaviour,0.19342,0.10949,0.27886,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,total_effect,behaviour,0.52188,0.40865,0.65419,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,interaction,0.32846,0.26103,0.42152,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,placement:weighting,0.11149,0.04037,0.19647,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,placement:sampling,0.30939,0.19616,0.42494,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,placement:weighting_x_sampling,0.05724,0.02548,0.10047,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,behaviour:parameters,0.19521,0.11341,0.27603,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,behaviour:stochastic,-0.00317,-0.01929,0.02351,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002021,annual_mwh_home,first_order,behaviour:parameters_x_stochastic,0.00138,-0.00306,0.00919,bootstrap_95_bias_shifted,44.39209,13.93756,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,placement,0.39839,0.27743,0.52765,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,total_effect,placement,0.76102,0.65854,0.84753,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,behaviour,0.23898,0.15247,0.34146,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,total_effect,behaviour,0.60161,0.47235,0.72257,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,interaction,0.36263,0.28231,0.44624,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,placement:weighting,0.1527,0.06462,0.24311,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,placement:sampling,0.17709,0.08789,0.29305,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,placement:weighting_x_sampling,0.06859,0.02668,0.11004,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,behaviour:parameters,0.23541,0.15661,0.32591,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,behaviour:stochastic,-0.00157,-0.01612,0.02777,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090002022,annual_mwh_home,first_order,behaviour:parameters_x_stochastic,0.00514,-0.00097,0.01483,bootstrap_95_bias_shifted,28.16789,11.15675,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,placement,0.61911,0.45572,0.72652,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,total_effect,placement,0.92512,0.87129,0.971,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,behaviour,0.07488,0.029,0.12871,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,total_effect,behaviour,0.38089,0.27348,0.54428,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,interaction,0.30601,0.21736,0.42915,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,placement:weighting,-0.01093,-0.03413,0.05656,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,placement:sampling,0.41609,0.22897,0.60723,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,placement:weighting_x_sampling,0.21394,0.08648,0.38242,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,behaviour:parameters,0.05949,0.02884,0.09635,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,behaviour:stochastic,0.00913,-0.00733,0.03248,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090003001,annual_mwh_home,first_order,behaviour:parameters_x_stochastic,0.00625,-0.0011,0.01932,bootstrap_95_bias_shifted,31.39178,8.63507,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,first_order,placement,0.78649,0.73372,0.82934,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,total_effect,placement,0.92882,0.8956,0.95457,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,first_order,behaviour,0.07118,0.04543,0.1044,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,total_effect,behaviour,0.21351,0.17066,0.26628,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,first_order,interaction,0.14233,0.11569,0.17824,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,first_order,placement:weighting,0.63045,0.53694,0.71024,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
2026,block_group,361090004001,annual_mwh_home,first_order,placement:sampling,0.12792,0.05172,0.21729,bootstrap_95_bias_shifted,49.87865,21.42569,8192,M2×UP16×TH16×UB16
