year,scale,entity,metric,index,factor,variance_share,ci_low,ci_high,ci_type,mean,sd,n_draws,design
2026,county,Tompkins County,annual_mwh_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,placement,0.2097,0.14279,0.34009,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,total_effect,placement,0.23429,0.15953,0.37017,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,behaviour,0.76571,0.62983,0.84047,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,total_effect,behaviour,0.7903,0.65991,0.85721,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,interaction,0.02459,0.01627,0.03597,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,placement:weighting,0.20457,0.13806,0.32823,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,placement:sampling,0.00375,0.00055,0.00817,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,placement:weighting_x_sampling,0.00139,0.00037,0.00272,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,behaviour:parameters,0.76497,0.62888,0.83963,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,behaviour:stochastic,0.00048,-0.00078,0.00238,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,annual_mwh_home,first_order,behaviour:parameters_x_stochastic,0.00026,-9e-05,0.00077,bootstrap_95_bias_shifted,5865.81689,529.40238,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,peak_kw_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,1902.32668,303.31573,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,peak_kw_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,1902.32668,303.31573,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,peak_kw_home,first_order,placement,0.05546,0.00807,0.22139,bootstrap_95_bias_shifted,1902.32668,303.31573,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,peak_kw_home,total_effect,placement,0.11542,0.03333,0.39006,bootstrap_95_bias_shifted,1902.32668,303.31573,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,peak_kw_home,first_order,behaviour,0.88458,0.60994,0.96667,bootstrap_95_bias_shifted,1902.32668,303.31573,8192,M2×UP16×TH16×UB16
2026,county,Tompkins County,peak_kw_home,total_effect,behaviour,0.94454,0.77861,0.99193,bootstrap_95_bias_shifted,1902.32668,303.31573,8192,M2×UP16×TH16×UB16
