year,scale,entity,metric,index,factor,variance_share,ci_low,ci_high,ci_type,mean,sd,n_draws,design
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement,0.75361,0.74397,0.76247,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,placement,0.99054,0.98267,0.99687,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour,0.00946,0.00313,0.01733,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,behaviour,0.24639,0.23753,0.25603,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,interaction,0.23693,0.22912,0.24557,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:weighting,0.01052,0.00649,0.01658,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:sampling,0.63028,0.61849,0.64081,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:weighting_x_sampling,0.11281,0.1055,0.11986,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters,0.00069,0.00013,0.00152,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:stochastic,0.00612,0.00194,0.01152,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.00265,0.00061,0.00494,bootstrap_95_bias_shifted,0.45064,1.85016,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement,0.7057,0.6947,0.71757,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,placement,0.98707,0.97774,0.99469,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour,0.01293,0.00531,0.02226,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,behaviour,0.2943,0.28243,0.3053,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,interaction,0.28137,0.27199,0.28972,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:weighting,0.01319,0.00891,0.01851,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:sampling,0.58423,0.57035,0.59707,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:weighting_x_sampling,0.10828,0.10415,0.11203,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters,0.00167,0.0008,0.00276,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:stochastic,0.00807,0.00308,0.01436,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.0032,0.00078,0.00599,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
