factor_group,factor,parameter,unit,central_2026,range_2026,central_2035,range_2035,distribution,levels_2026,levels_2035,source_or_rationale
stock,stock,"county EV stock, year-end (trend)",EVs,"3,233 observed (DMV 2026-09); 2,855 personal EVs placed",fixed (observed),"13,097","MC p05–p95 8,205–22,052; strata draws 8,835, 10,375, 11,456, 11,999, 12,896, 14,237, 14,842, 16,015, 18,781, 21,724","growth.project Monte Carlo (400 draws: θ=(t0,k,m)~N(θ̂,Σ̂), N_new ±15 %, λ ±2 y); stratified, one draw per equal-probability stratum",1,10,src.model.growth; personal EVs per ZIP scaled by EV_s / EV_p50; φ held at central
stock,stock,BEV share of EV stock,share,ZIP observed,fixed,0.856,MC p05–p95 0.827–0.878,joint with stock draw,1,10,logistic BEV share of additions (growth fit)
placement,placement:weighting,dwelling-unit weighting,-,ensemble,model | individual,"ensemble, w^φ (φ=0.81)",model | individual,"enumerated, equal probability",2,2,src.model.ownership_allocation.weights; central ensemble per decision 0005
placement,placement:sampling,which vehicle slots own the T_z EVs; drivetrain,-,,Efraimidis–Spirakis slot sampling within ZIP,,"same, T_z scaled by stock draw","per-slot U(0,1) keys (iid seeds)",16,10,as ownership_allocation.allocate_status_quo realizations
behaviour,behaviour:parameters,l2_power_mult -> l2_kw_bev; l2_kw_phev (capped at 7.2 kW),× year value,BEV 7.2 kW / PHEV 3.6 kW,BEV 6.1–9.7 kW; PHEV 3.1–4.9 kW,BEV 8.0 kW / PHEV 5.0 kW,BEV 6.8–10.8 kW; PHEV 4.2–6.8 kW,uniform,16,10,home L2 power: 30 A (7.2 kW) EVSE central; 6.6 kW legacy onboard chargers to 40–48 A EVSE (9.6–11.5 kW) limited by onboard chargers; report §8 names 9.6–11.5 kW as a sensitivity
behaviour,behaviour:parameters,e_wheel_mult -> e_wheel_bev_kwh_per_mi; e_wheel_phev_kwh_per_mi,× year value,BEV 0.31 kWh/mi,BEV 0.264–0.356 kWh/mi (PHEV same multiplier),BEV 0.29 kWh/mi,BEV 0.246–0.333 kWh/mi (PHEV same multiplier),uniform,16,10,energy per mile: assumption (EPA-label-like fleet mix); ±15 % spans sedan-heavy to SUV/pickup-heavy mixes
behaviour,behaviour:parameters,annual_miles_mult -> annual_miles_bev; annual_miles_phev,× year value,"BEV 10,670 mi/yr","BEV 9,070–13,338 mi/yr (PHEV same multiplier)","BEV 10,670 mi/yr","BEV 9,070–13,338 mi/yr (PHEV same multiplier)",uniform,16,10,"Drive Clean 2024 self-reported miles (B); NHTS 2022 BEVs imply ≈ +40 % energy (C, n=166) -> asymmetric range"
behaviour,behaviour:parameters,mf_access_delta -> home_access_mf2_4; home_access_mf5p (clipped 0.02–0.98),additive (prob),2–4 units 0.55; 5+ units 0.35,2–4 units 0.35–0.75; 5+ units 0.15–0.55,2–4 units 0.62; 5+ units 0.45,2–4 units 0.42–0.82; 5+ units 0.25–0.65,uniform,16,10,multifamily home access: SMBS upstate 84 % of MF units with off-street parking vs 5.7 % of MF buildings with EV charging (B); central 0.55 / 0.35 in 2026 are assumptions
behaviour,behaviour:parameters,"freq_dirichlet_concentration -> freq_{daily,few_week,weekly,rare}_{bev,phev}",Dirichlet α = 50 · p_base,BEV daily/few-wk/weekly/rare 0.38/0.31/0.22/0.08,Dirichlet(50·p); daily share 90 % interval ≈ ±0.11 (BEV),BEV daily/few-wk/weekly/rare 0.36/0.32/0.23/0.08,Dirichlet(50·p); daily share 90 % interval ≈ ±0.11 (BEV),Dirichlet,16,10,"Drive Clean 2024 frequency shares (B, self-report, rebate recipients); effective sample size 50 reflects category mapping and representativeness rather than survey sampling error"
behaviour,behaviour:stochastic,archetype and simulated EV-year per EV,-,,36 unmanaged archetypes × 60 EV-years,,same (2035 calendar and parameters),"per-slot U(0,1) (iid seeds)",16,10,load_assembly.archetype_probs; charging_library.simulate_ev (event model)
