model,term,coef,irr_per_sd,irr_lo,irr_hi,p,alpha,n,deviance_explained
NB_full,const,-3.3118,0.0364,0.0356,0.0373,0.0,0.1749,1356,0.7329
NB_full,log_income,-0.0307,0.9697,0.9004,1.0444,0.4171,0.1749,1356,0.7329
NB_full,ba_plus_share,0.2177,1.2433,1.1676,1.3239,0.0,0.1749,1356,0.7329
NB_full,owner_sfd_share,-0.0292,0.9712,0.9143,1.0317,0.343,0.1749,1356,0.7329
NB_full,renter_mf5_share,-0.0038,0.9962,0.9364,1.0597,0.9036,0.1749,1356,0.7329
NB_full,log_density,0.0581,1.0598,1.002,1.121,0.0425,0.1749,1356,0.7329
NB_full,veh_per_hh,-0.0311,0.9694,0.8815,1.066,0.5211,0.1749,1356,0.7329
NB_full,zero_veh_share,-0.6064,0.5453,0.5005,0.5942,0.0,0.1749,1356,0.7329
NB_full,commute30plus_share,-0.0718,0.9307,0.8954,0.9675,0.0003,0.1749,1356,0.7329
NB_full,wfh_share,0.0396,1.0404,1.0029,1.0792,0.0342,0.1749,1356,0.7329
NB_full,transit_share,0.1068,1.1128,1.0359,1.1953,0.0034,0.1749,1356,0.7329
NB_full,college_share,0.024,1.0243,0.9943,1.0551,0.1134,0.1749,1356,0.7329
NB_full,med_age,-0.0245,0.9757,0.9442,1.0083,0.1429,0.1749,1356,0.7329
NB_full,built2000plus_share,0.0535,1.055,1.0271,1.0837,0.0001,0.1749,1356,0.7329
NB_full,log_home_value,0.3947,1.4839,1.3967,1.5766,0.0,0.1749,1356,0.7329
NB_full,inc150k_share,0.0826,1.0861,1.0026,1.1766,0.043,0.1749,1356,0.7329
NB_small,const,-3.2785,0.0377,0.0367,0.0387,0.0,0.2417,1356,0.6381
NB_small,log_income,0.1239,1.1319,1.0629,1.2054,0.0001,0.2417,1356,0.6381
NB_small,ba_plus_share,0.4102,1.5071,1.4275,1.5912,0.0,0.2417,1356,0.6381
NB_small,owner_sfd_share,-0.0893,0.9146,0.8564,0.9767,0.0078,0.2417,1356,0.6381
NB_small,log_density,0.1808,1.1982,1.1389,1.2605,0.0,0.2417,1356,0.6381
NB_small,veh_per_hh,0.4576,1.5803,1.474,1.6943,0.0,0.2417,1356,0.6381
NB_small,commute30plus_share,0.021,1.0212,0.989,1.0545,0.1998,0.2417,1356,0.6381
NB_small,college_share,0.0232,1.0235,0.9931,1.0548,0.1314,0.2417,1356,0.6381
